
[00:00:00.000 --> 00:00:05.640]  有一間教會 他們主任牧師的職位出現了空缺
[00:00:05.640 --> 00:00:12.280]  於是教會就立即成立了聘牧委員會
[00:00:12.280 --> 00:00:16.640]  他們四出去搜尋適合的人選
[00:00:16.640 --> 00:00:19.980]  並且進行會面
[00:00:19.980 --> 00:00:24.060]  接著就整理成為檔案
[00:00:24.060 --> 00:00:31.480]  然後他們將所有的評估的結果紀錄是這樣的
[00:00:31.480 --> 00:00:34.820]  第一個候選人是亞當
[00:00:34.820 --> 00:00:37.620]  不評於是他耳朵太遠
[00:00:37.620 --> 00:00:41.980]  時時被他太太的意見所左右
[00:00:41.980 --> 00:00:45.060]  第二個候選人是阿伯拉罕
[00:00:45.060 --> 00:00:51.460]  傳言說他企圖謀殺自己的獨生子
[00:00:51.460 --> 00:00:56.320]  還想消失 毀滅證據
[00:00:56.320 --> 00:00:59.500]  第三個候選人是摩西
[00:00:59.500 --> 00:01:05.540]  說他脾氣不好 而且還有時有少少的漏口
[00:01:05.540 --> 00:01:11.440]  有40年的時間 他的履歷表是空白的
[00:01:11.440 --> 00:01:16.800]  聽說他離開他對上一份職位
[00:01:16.800 --> 00:01:22.940]  是因為警察報告說他殺了一個人
[00:01:22.940 --> 00:01:24.740]  第四個候選人是戴維
[00:01:24.740 --> 00:01:28.840]  很有恩賜 很有才華 似乎是最佳的人選
[00:01:28.840 --> 00:01:33.960]  但是他有案底
[00:01:33.960 --> 00:01:36.000]  第五個候選人是索羅門
[00:01:36.000 --> 00:01:39.080]  他思想出眾 講道一流
[00:01:39.080 --> 00:01:45.220]  但是我們的牧師宿舍容納不到他的1000個太太
[00:01:45.220 --> 00:01:48.300]  第六個候選人是伊利亞
[00:01:48.300 --> 00:01:51.360]  個性好像火一樣的激烈
[00:01:51.360 --> 00:01:56.240]  曾經做過一兩件大的事工
[00:01:56.240 --> 00:02:00.060]  但是很容易他的情緒沮喪
[00:02:00.060 --> 00:02:04.680]  壓力大的時候還會崩潰
[00:02:04.680 --> 00:02:07.500]  第七個候選人是約翰
[00:02:07.500 --> 00:02:11.580]  他自己說他自己相信浸泥
[00:02:11.580 --> 00:02:17.480]  但是他的穿著完全不像浸信會的門人
[00:02:17.480 --> 00:02:22.340]  他住在曠野 飲食習慣很古怪
[00:02:22.340 --> 00:02:26.180]  他太會批評教會的領袖
[00:02:26.180 --> 00:02:33.340]  有容易激怒當權的執政者
[00:02:33.340 --> 00:02:35.640]  第八個候選人是彼得
[00:02:35.640 --> 00:02:41.780]  他藍領階層的味道太重脾氣來得太快
[00:02:41.780 --> 00:02:43.580]  第九個候選人是保羅
[00:02:43.580 --> 00:02:47.160]  似乎是開荒的最好的人才
[00:02:47.160 --> 00:02:49.980]  可惜他講道太長
[00:02:49.980 --> 00:02:56.120]  甚至試過通宵這樣講 問你怕不怕
[00:02:56.120 --> 00:02:59.700]  第十個候選人是耶穌
[00:02:59.700 --> 00:03:01.760]  非常有魅力
[00:03:01.760 --> 00:03:08.160]  他的會眾曾經試過一堂道有五千人
[00:03:08.160 --> 00:03:12.520]  但是他竟然出言不遜得罪會眾
[00:03:12.520 --> 00:03:16.860]  最後只剩下十二個人
[00:03:16.860 --> 00:03:19.420]  最後一個是尤大
[00:03:19.420 --> 00:03:22.500]  評語是他心思甚密
[00:03:22.500 --> 00:03:24.540]  曾經做過師傅
[00:03:24.540 --> 00:03:27.880]  知道怎樣處理金錢
[00:03:27.880 --> 00:03:31.200]  經常和權貴打交道
[00:03:31.200 --> 00:03:36.580]  看來最適合我們教會
[00:03:36.580 --> 00:03:38.620]  雖然是笑話一則
[00:03:38.620 --> 00:03:40.420]  但是提醒我們
[00:03:40.420 --> 00:03:42.980]  作為教會 作為基督徒
[00:03:42.980 --> 00:03:45.800]  我們是以什麼的原則
[00:03:45.800 --> 00:03:51.180]  去對待人 事 物 以至對神
[00:03:51.180 --> 00:03:56.040]  以世界的看法 或以神的教導
[00:03:56.040 --> 00:03:59.100]  以聖經為藍本
[00:03:59.100 --> 00:04:06.780]  亦或是以世界作為標準
[00:04:06.780 --> 00:04:10.360]  我們是要時時的審查
[00:04:10.360 --> 00:04:15.220]  有些時候我們講起來是頭頭是道
[00:04:15.220 --> 00:04:23.680]  但是是不是神的心意呢
[00:04:23.680 --> 00:04:27.260]  讓我們再看一幅的漫畫
[00:04:27.260 --> 00:04:31.100]  這裡說 如果教會只有精彩的活動
[00:04:31.100 --> 00:04:32.900]  而沒有真理
[00:04:32.900 --> 00:04:35.200]  撒旦一點都不擔心
