
[00:00:00.000 --> 00:00:02.800]  在網上有一個這樣的報導
[00:00:02.800 --> 00:00:05.400]  有一個西人一邊走進茶餐廳
[00:00:05.400 --> 00:00:09.000]  一邊用無線耳筒在講電話
[00:00:09.000 --> 00:00:10.080]  他坐下來的時候
[00:00:10.080 --> 00:00:11.600]  那個夥計不知道他在講電話
[00:00:11.600 --> 00:00:13.520]  就問他要什麼
[00:00:13.520 --> 00:00:16.440]  那個西人就在用英文講電話
[00:00:16.440 --> 00:00:18.920]  講到「Show me your love」
[00:00:18.920 --> 00:00:20.120]  那個夥計說「行」
[00:00:20.120 --> 00:00:24.400]  然後就放下一碟粟米肉粒飯給他
[00:00:24.400 --> 00:00:27.880]  那個西人就說「你又知道我叫什麼?」
[00:00:27.880 --> 00:00:31.520]  那個夥計說「當然知道,Show me your love」
[00:00:31.520 --> 00:00:33.320]  「愛」就不是只有「講」字
[00:00:33.320 --> 00:00:35.480]  是用具體行動表達出來
[00:00:35.480 --> 00:00:37.880]  於是就放一碟粟米肉粒飯給他
[00:00:37.880 --> 00:00:40.800]  從此,粟米肉粒飯就叫做
[00:00:40.800 --> 00:00:43.680]  「Show me your love, rise」
[00:00:43.680 --> 00:00:46.960]  我邀請大家看看以下這張照片
[00:00:46.960 --> 00:00:49.320]  大家看到些什麼呢?
[00:00:49.320 --> 00:00:51.480]  這張照片我找到的時候
[00:00:51.480 --> 00:00:54.600]  是有一句英文在他旁邊的
[00:00:54.600 --> 00:00:59.520]  他說「The world is changed by your example」
[00:00:59.520 --> 00:01:01.760]  「not by your opinion」
[00:01:01.760 --> 00:01:05.360]  「世界會因為你的行為見證改變」
[00:01:05.360 --> 00:01:07.520]  「不是你的意見」
[00:01:07.520 --> 00:01:09.720]  這句說話跟我們今天的講道
[00:01:09.720 --> 00:01:13.200]  「活出愛」是非常關係密切的
[00:01:13.200 --> 00:01:15.320]  「愛」從來都不是只有「講」字
[00:01:15.320 --> 00:01:17.800]  又或者高談闊論的理論
[00:01:17.800 --> 00:01:19.320]  那些道德的理論
[00:01:19.320 --> 00:01:23.000]  而是用具體行動實踐出來的
[00:01:23.000 --> 00:01:28.480]  「活出愛」的來源是在哪裡呢?
[00:01:28.480 --> 00:01:32.000]  就是看回我們今季的金句
[00:01:32.000 --> 00:01:34.400]  《新命記》六章四字、五字頂尖
[00:01:34.400 --> 00:01:35.520]  我們一起讀,好嗎?
[00:01:35.520 --> 00:01:36.760]  一二三
[00:01:36.760 --> 00:01:38.600]  「以色列,你要聽」
[00:01:38.600 --> 00:01:41.640]  「耶和華,我們一神是獨一的主」
[00:01:41.640 --> 00:01:44.440]  「你要盡心、盡性、盡力」
[00:01:44.440 --> 00:01:47.640]  「愛耶和華,你的神」
[00:01:47.640 --> 00:01:50.920]  「活出愛」其實根源、來源
[00:01:50.920 --> 00:01:53.240]  是我們人和神的關係
[00:01:53.240 --> 00:01:57.320]  換句話說,根源是我們怎樣去愛神
[00:01:57.320 --> 00:01:59.920]  獨一的主,獨一是什麼?
[00:01:59.920 --> 00:02:01.400]  獨一的意思就是說
[00:02:01.400 --> 00:02:02.800]  我們不可以
[00:02:02.800 --> 00:02:04.160]  我們在我們的人生裡面
[00:02:04.160 --> 00:02:06.240]  有耶穌,又有其他的神
[00:02:06.240 --> 00:02:09.320]  又或者比神更重要的東西
[00:02:09.320 --> 00:02:12.240]  這個「愛」也包括了「敬畏神」
[00:02:12.240 --> 00:02:13.920]  你知道什麼是「敬畏神」嗎?
[00:02:13.920 --> 00:02:15.240]  我們經常都說
[00:02:15.240 --> 00:02:18.840]  簡單來說就是「以神為神,以人為人」
[00:02:18.840 --> 00:02:20.440]  人和神是不同的
[00:02:20.440 --> 00:02:22.280]  我們不可以調換位置
[00:02:22.280 --> 00:02:25.000]  換句話說,神是創造者
[00:02:25.000 --> 00:02:26.680]  我們是被創造的
[00:02:26.680 --> 00:02:28.280]  神是主宰
[00:02:28.280 --> 00:02:29.880]  我們是祂的僕人
[00:02:29.880 --> 00:02:31.160]  我們是跟從祂的
[00:02:31.160 --> 00:02:32.600]  所以兩個位置是不同的
[00:02:32.600 --> 00:02:34.440]  我們不可以調換位置
[00:02:34.440 --> 00:02:36.280]  「以神為人」是什麼意思呢?
[00:02:36.280 --> 00:02:40.240]  把神降格成為我們有求不應的叮噹八寶袋
[00:02:40.240 --> 00:02:41.480]  不是這樣的
[00:02:41.480 --> 00:02:44.240]  如果是這樣的話,我們就當神是人
[00:02:44.240 --> 00:02:47.720]  調換過來,我們也不可以「以人為神」
[00:02:47.720 --> 00:02:49.520]  就是說我們決定一切
[00:02:49.520 --> 00:02:51.120]  我決定什麼對我最好
[00:02:51.120 --> 00:02:52.800]  什麼對我最有利
[00:02:52.800 --> 00:02:55.920]  於是就「搶神」去成就我的計劃
[00:02:55.920 --> 00:02:58.600]  這個就是「以人為神」
[00:02:58.600 --> 00:03:00.840]  但是呢,我們「愛神」
[00:03:00.840 --> 00:03:02.240]  我們學習「愛神」
[00:03:02.240 --> 00:03:04.680]  究竟為我們生命帶來些什麼呢?
[00:03:04.680 --> 00:03:06.880]  我們看回剛才的金句
[00:03:06.880 --> 00:03:08.200]  之前那句說話
