
[00:00:00.000 --> 00:00:01.720]  丁梓梅主席 內平安
[00:00:01.720 --> 00:00:04.760]  在過去的講道裏面
[00:00:04.760 --> 00:00:07.880]  楊牧師和賴偉業傳道曾經提過
[00:00:07.880 --> 00:00:11.960]  整卷的尼加書有三個聽
[00:00:11.960 --> 00:00:14.480]  即是先知有三個訊息
[00:00:14.480 --> 00:00:16.600]  或者宣告要人去聽的
[00:00:16.600 --> 00:00:18.720]  在尼加書第一章第二節那裏說
[00:00:18.720 --> 00:00:20.560]  萬民要聽
[00:00:20.560 --> 00:00:22.600]  然後在第三章第一節就說
[00:00:22.600 --> 00:00:24.400]  首領要聽
[00:00:24.400 --> 00:00:26.560]  然後在第六章第一節就說
[00:00:26.560 --> 00:00:28.560]  以色列民要聽
[00:00:28.560 --> 00:00:32.080]  今天我們來到尼加書第六章和第七章
[00:00:32.080 --> 00:00:34.200]  來到第三個聽
[00:00:34.200 --> 00:00:38.000]  究竟先知有甚麼要我們去聽呢
[00:00:38.000 --> 00:00:40.000]  有甚麼訊息向我們宣告呢
[00:00:40.000 --> 00:00:43.200]  或者我們一起首先打開尼加書第六章
[00:00:43.200 --> 00:00:47.200]  我們一同讀尼加書第六章一到第五節
[00:00:47.200 --> 00:00:51.520]  尼加書第六章一到第五節
[00:00:51.520 --> 00:00:55.360]  在教會聖經第1267年
[00:00:55.360 --> 00:00:57.680]  我都希望大家都打開
[00:00:58.560 --> 00:01:01.240]  打開了讀完之後不要蓋上
[00:01:01.240 --> 00:01:04.040]  因為我們會跟著讀第七章
[00:01:04.040 --> 00:01:07.400]  第六章第一到第五節
[00:01:07.400 --> 00:01:08.400]  請
[00:01:08.400 --> 00:01:09.680]  以色列人啊
[00:01:09.680 --> 00:01:11.800]  當聽耶和華的話
[00:01:11.800 --> 00:01:14.680]  要起來向山領爭辯
[00:01:14.680 --> 00:01:17.000]  使綱領聽你的話
[00:01:17.000 --> 00:01:19.760]  山領和地永久的根基啊
[00:01:19.760 --> 00:01:22.440]  要聽耶和華爭辯的話
[00:01:22.440 --> 00:01:26.080]  因為耶和華要與他的百姓爭辯
[00:01:26.080 --> 00:01:28.080]  與以色列爭論
[00:01:28.560 --> 00:01:29.920]  我的百姓啊
[00:01:29.920 --> 00:01:32.280]  我向你作了甚麼呢
[00:01:32.280 --> 00:01:35.280]  我就是甚麼事上使你厭煩
[00:01:35.280 --> 00:01:38.080]  你可以對我證明
[00:01:38.080 --> 00:01:41.400]  我曾將你從埃及地領出來
[00:01:41.400 --> 00:01:44.680]  從作奴僕之家救贖你
[00:01:44.680 --> 00:01:50.160]  我也差遣摩西、阿倫和米利安載你行
[00:01:50.160 --> 00:01:51.600]  我的百姓啊
[00:01:51.600 --> 00:01:56.040]  你們當追念摩押王巴勒所設的謀
[00:01:56.040 --> 00:02:00.360]  和比爾的兒子巴蘭回答他的話
[00:02:00.360 --> 00:02:05.240]  並你們從什廷到吉甲所遇見的事
[00:02:05.240 --> 00:02:10.240]  好使你們知道耶和華公義的作為
[00:02:10.240 --> 00:02:14.240]  耶和華上帝在此首先要向他的百姓說
[00:02:14.240 --> 00:02:16.480]  與他爭辯
[00:02:16.480 --> 00:02:19.120]  有譯本譯做是指控
[00:02:19.120 --> 00:02:23.160]  或者英文譯本用這兩個字
[00:02:23.160 --> 00:02:23.960]  問題是怎樣
[00:02:23.960 --> 00:02:26.280]  我相信在新普的譯本
[00:02:26.280 --> 00:02:28.280]  用這段經文這樣去翻譯
[00:02:28.280 --> 00:02:31.960]  群山你要聽上主的控訴
[00:02:31.960 --> 00:02:33.960]  他要起訴他的子民
[00:02:33.960 --> 00:02:36.760]  對以色列提出訴訟
