
[00:00:00.000 --> 00:00:02.640]  《伯太福音》第七章第21節
[00:00:02.640 --> 00:00:05.160]  「到凡稱呼我主也主也的人
[00:00:05.160 --> 00:00:07.000]  不能都進天國
[00:00:07.000 --> 00:00:11.000]  唯有遵行我天父旨意的人才能進去」
[00:00:11.000 --> 00:00:12.740]  那首歌觸動我就是
[00:00:12.740 --> 00:00:14.900]  你究竟是否真的愛主呢?
[00:00:14.900 --> 00:00:16.320]  你稱耶穌爲主
[00:00:16.320 --> 00:00:18.440]  但是你究竟有沒有遵從祂呢?
[00:00:18.440 --> 00:00:21.540]  有一篇文章想跟大家分享
[00:00:21.540 --> 00:00:24.000]  然後繼續今晚我們的茶經
[00:00:24.000 --> 00:00:25.940]  「你稱我爲主
[00:00:25.940 --> 00:00:27.840]  你聽從了我嗎?
[00:00:27.840 --> 00:00:29.560]  你稱我爲綱
[00:00:29.560 --> 00:00:32.040]  你看見我了嗎?
[00:00:32.040 --> 00:00:33.680]  你稱我爲道路
[00:00:33.680 --> 00:00:36.160]  你行在其上面嗎?
[00:00:36.160 --> 00:00:37.880]  你稱我爲生命
[00:00:37.880 --> 00:00:40.640]  你盼望得到我嗎?
[00:00:40.640 --> 00:00:42.360]  你稱我爲王
[00:00:42.360 --> 00:00:44.760]  你願意侍奉我嗎?
[00:00:44.760 --> 00:00:46.800]  你稱我爲仁慈
[00:00:46.800 --> 00:00:49.000]  你尋求我嗎?
[00:00:49.000 --> 00:00:51.160]  你稱我爲尊貴
[00:00:51.160 --> 00:00:53.000]  你尊明我嗎?
[00:00:53.000 --> 00:00:54.640]  你稱我爲全能
[00:00:54.640 --> 00:00:56.440]  你倚靠我嗎?
[00:00:56.440 --> 00:00:58.000]  你稱我爲公義
[00:00:58.000 --> 00:01:00.800]  你敬畏我嗎?
[00:01:00.800 --> 00:01:02.400]  你稱我爲主
[00:01:02.400 --> 00:01:04.720]  卻不願意順從我
[00:01:04.720 --> 00:01:06.080]  你稱我爲綱
[00:01:06.080 --> 00:01:08.280]  卻看不見我
