
[00:00:00.000 --> 00:00:03.000]  今日我們繼續思想真言
[00:00:03.000 --> 00:00:06.000]  我們先溫習一下
[00:00:06.000 --> 00:00:10.000]  過去已經學習了的真言的金句
[00:00:10.000 --> 00:00:13.000]  我鼓勵大家盡量背這些金句
[00:00:13.000 --> 00:00:17.000]  因為這些金句會帶給我們做人的智慧
[00:00:17.000 --> 00:00:19.000]  使我們一生受用
[00:00:19.000 --> 00:00:22.000]  讓我們一起讀真言的金句
[00:00:22.000 --> 00:00:24.000]  一章第七節
[00:00:24.000 --> 00:00:28.000]  敬畏上主是智慧的開端
[00:00:28.000 --> 00:00:30.000]  二章二十節
[00:00:30.000 --> 00:00:35.000]  所以你要以好人為榜樣過正直的生活
[00:00:35.000 --> 00:00:37.000]  三章五至六節
[00:00:37.000 --> 00:00:39.000]  要專心仰賴上主
[00:00:39.000 --> 00:00:41.000]  不可以靠自己的聰明
[00:00:41.000 --> 00:00:43.000]  無論做什麼事
[00:00:43.000 --> 00:00:46.000]  都要以上主的旨意為依歸
[00:00:46.000 --> 00:00:49.000]  他就會指示你走正路
[00:00:49.000 --> 00:00:51.000]  四章二十三節
[00:00:51.000 --> 00:00:53.000]  你要謹守你的心
[00:00:53.000 --> 00:00:55.000]  勝過謹守一切
[00:00:55.000 --> 00:00:59.000]  因為生命的存源由此而出
[00:00:59.000 --> 00:01:01.000]  五章二十一節
[00:01:01.000 --> 00:01:04.000]  上主監察你一切的作為
[00:01:04.000 --> 00:01:07.000]  使你復記
[00:01:07.000 --> 00:01:10.000]  八章三十五節
[00:01:10.000 --> 00:01:13.000]  找到我就是找到生命
[00:01:13.000 --> 00:01:16.000]  他會獲得上主的恩惠
[00:01:16.000 --> 00:01:18.000]  九章十節
[00:01:18.000 --> 00:01:21.000]  敬畏上主是智慧的開端
[00:01:21.000 --> 00:01:25.000]  認識至聖者就是明智
[00:01:52.000 --> 00:01:55.000]  一開始第一節就有些特別
[00:01:55.000 --> 00:01:57.000]  他開始的時候說
[00:01:57.000 --> 00:02:00.000]  以下是所羅門的真言
[00:02:00.000 --> 00:02:02.000]  十章第一節
[00:02:02.000 --> 00:02:04.000]  這句話特別的地方
[00:02:04.000 --> 00:02:06.000]  就是在第一章一節
[00:02:06.000 --> 00:02:08.000]  其實都出現過的
[00:02:08.000 --> 00:02:12.000]  第一章一節說
[00:02:12.000 --> 00:02:15.000]  大衛的兒子以色列王
[00:02:15.000 --> 00:02:17.000]  所羅門的真言
[00:02:17.000 --> 00:02:19.000]  為什麼在這裡
[00:02:19.000 --> 00:02:21.000]  要重複再說一次
[00:02:21.000 --> 00:02:23.000]  說明下面的說話
[00:02:23.000 --> 00:02:26.000]  是所羅門的真言呢?
[00:02:26.000 --> 00:02:32.000]  原因不是怕讀者忘記了所羅門
[00:02:32.000 --> 00:02:35.000]  而是這句說話
[00:02:35.000 --> 00:02:36.000]  重複一次
[00:02:36.000 --> 00:02:39.000]  是用來做一個分段的標記
[00:02:39.000 --> 00:02:41.000]  在古代的時候
[00:02:41.000 --> 00:02:43.000]  是沒有紙張的
[00:02:43.000 --> 00:02:45.000]  現在我們的紙很方便
[00:02:45.000 --> 00:02:46.000]  用完就丟掉
[00:02:46.000 --> 00:02:47.000]  但是古代的時候
[00:02:47.000 --> 00:02:49.000]  由未有紙張發明之前
[00:02:49.000 --> 00:02:50.000]  寫這些字
[00:02:50.000 --> 00:02:53.000]  記錄聖經是寄在羊皮卷上面
[00:02:53.000 --> 00:02:55.000]  所以羊皮卷很矜貴
[00:02:55.000 --> 00:02:58.000]  寫東西要盡量節省地方
[00:02:58.000 --> 00:03:00.000]  所以以前的文字
[00:03:00.000 --> 00:03:01.000]  無論中國也好
[00:03:01.000 --> 00:03:02.000]  古代也好
[00:03:02.000 --> 00:03:04.000]  是沒有標點符號的
[00:03:04.000 --> 00:03:06.000]  節省位置
[00:03:06.000 --> 00:03:07.000]  也不會說
[00:03:07.000 --> 00:03:09.000]  開一段新段的時候
[00:03:09.000 --> 00:03:10.000]  我們留空一行
[00:03:10.000 --> 00:03:12.000]  或者在前面留空空位
[00:03:12.000 --> 00:03:14.000]  是不會的
[00:03:14.000 --> 00:03:17.000]  以色列人就會用說話
[00:03:17.000 --> 00:03:19.000]  來讓人家明白
[00:03:19.000 --> 00:03:21.000]  段落的開始
[00:03:21.000 --> 00:03:23.000]  所以在這裡再重複一次
[00:03:23.000 --> 00:03:26.000]  以下所羅門的真言
[00:03:26.000 --> 00:03:29.000]  就是因為
[00:03:29.000 --> 00:03:32.000]  這是一個新的段落的開始
[00:03:32.000 --> 00:03:35.000]  第二個特點
[00:03:35.000 --> 00:03:40.000]  就是這張經文
[00:03:40.000 --> 00:03:43.000]  好像沒有什麼文理
[00:03:43.000 --> 00:03:46.000]  上一句和下一句
[00:03:46.000 --> 00:03:49.000]  在思想上是沒有什麼連貫性的
[00:03:49.000 --> 00:03:51.000]  我舉一個例子給大家看看
[00:03:51.000 --> 00:03:53.000]  在第十一節就說
