
[00:00:00.000 --> 00:00:04.800]  教會是耶穌基督的教會
[00:00:04.800 --> 00:00:07.840]  教會和這個世界不同
[00:00:07.840 --> 00:00:11.680]  彼得前書說你們是被揀選的族類
[00:00:11.680 --> 00:00:13.680]  是有君尊的祭司
[00:00:13.680 --> 00:00:15.680]  是聖潔的國度
[00:00:15.680 --> 00:00:17.680]  是屬神的子民
[00:00:17.680 --> 00:00:22.400]  意思是告訴我們我們和這個世界是不同的
[00:00:22.400 --> 00:00:25.120]  我們有什麼不同呢?
[00:00:25.120 --> 00:00:27.120]  在彼得前書這段經文
[00:00:27.120 --> 00:00:30.640]  我們可以看到三方面的不同
[00:00:30.640 --> 00:00:37.520]  第一是教會是以耶穌基督為根基的
[00:00:37.520 --> 00:00:43.360]  而這個世界不是以耶穌基督為根基的
[00:00:43.360 --> 00:00:45.360]  對這個世界來說
[00:00:45.360 --> 00:00:49.360]  耶穌就好像一個半腳的石頭
[00:00:49.360 --> 00:00:52.640]  是一個跌人的盆石
[00:00:52.640 --> 00:00:56.320]  他們是會避開這一點的
[00:00:56.320 --> 00:00:59.920]  他們是會忽略這一點
[00:00:59.920 --> 00:01:01.920]  最好不要接觸
[00:01:01.920 --> 00:01:03.920]  不要來搭上
[00:01:03.920 --> 00:01:09.760]  我們現在走路很少有半腳石
[00:01:09.760 --> 00:01:12.880]  在香港我們的路都比較好
[00:01:12.880 --> 00:01:16.320]  不會無緣無故有個石頭在路上
[00:01:16.320 --> 00:01:18.000]  很容易踢到你
[00:01:18.000 --> 00:01:20.000]  很容易跌倒
[00:01:20.000 --> 00:01:22.720]  基本上就沒有這個困難
[00:01:22.720 --> 00:01:24.720]  除非你去行山
[00:01:24.720 --> 00:01:26.720]  如果你行山路
[00:01:26.720 --> 00:01:28.720]  現在有些人不是被跌倒
[00:01:28.720 --> 00:01:30.720]  現在是滾下山
[00:01:30.720 --> 00:01:32.720]  原來什麼人都會滾下山
[00:01:32.720 --> 00:01:37.760]  但是行山路你就要很小心
[00:01:37.760 --> 00:01:40.720]  特別如果你跑山的話
[00:01:40.720 --> 00:01:42.720]  你更加要小心
[00:01:42.720 --> 00:01:45.760]  你看到石頭你一不小心踩上去
[00:01:45.760 --> 00:01:47.280]  或者被跌倒
[00:01:47.280 --> 00:01:48.800]  你就會跌倒
[00:01:48.800 --> 00:01:50.800]  你就會受傷
[00:01:50.800 --> 00:01:52.800]  但是在以前
[00:01:52.800 --> 00:01:56.720]  人們不是主要走路
[00:01:56.720 --> 00:01:57.840]  走路是主要的
[00:01:57.840 --> 00:02:03.840]  但是另一樣在路上更加常發生的問題
[00:02:03.840 --> 00:02:05.840]  就是騎馬
[00:02:05.840 --> 00:02:07.840]  香港我們很少會騎馬
[00:02:07.840 --> 00:02:10.640]  騎馬是很特殊的人才會騎
[00:02:10.640 --> 00:02:15.360]  但是以前騎馬是一個很普通的交通工具
[00:02:15.360 --> 00:02:19.040]  馬在路上走都是泥路
[00:02:19.040 --> 00:02:21.040]  有石頭是很危險的
[00:02:21.040 --> 00:02:23.040]  因為馬被跌倒
[00:02:23.040 --> 00:02:26.320]  就不只是跌倒那麼簡單
[00:02:26.320 --> 00:02:28.320]  馬如果跑得高速的時候
[00:02:28.320 --> 00:02:30.320]  被跌倒整個馬就會趴下
[00:02:30.320 --> 00:02:32.320]  人就會飛出去
[00:02:32.320 --> 00:02:34.320]  跟撞車差不多
[00:02:34.320 --> 00:02:37.200]  是一件相當危險的事
[00:02:37.200 --> 00:02:41.040]  所以古代晚上騎馬是很危險的
[00:02:41.040 --> 00:02:44.080]  因為你不知道路上有沒有石頭
[00:02:44.080 --> 00:02:45.600]  會被跌倒的馬
[00:02:45.600 --> 00:02:48.000]  或者有馬踩到也會有問題
[00:02:48.000 --> 00:02:51.600]  所以避開這些絆腳石
[00:02:51.600 --> 00:02:53.600]  是一個很重要的
[00:02:53.600 --> 00:02:56.720]  當時人的安全措施
[00:02:56.720 --> 00:02:58.720]  對於這個世界來說
[00:02:58.720 --> 00:03:00.720]  耶穌就是絆腳石
[00:03:00.720 --> 00:03:03.360]  他們是不會來聽的
[00:03:03.360 --> 00:03:06.080]  他們是不會來跟隨的
[00:03:06.080 --> 00:03:09.280]  他們甚至是不喜歡提及的
[00:03:09.280 --> 00:03:11.280]  這個世界的人
[00:03:11.280 --> 00:03:13.280]  對於說到耶穌的事情
[00:03:13.280 --> 00:03:16.000]  就是覺得是不想聽的事情
[00:03:16.000 --> 00:03:18.000]  所以他們不想聽你說話
[00:03:18.000 --> 00:03:20.000]  就說你說耶穌
[00:03:20.000 --> 00:03:22.000]  說耶穌就不聽了
[00:03:22.000 --> 00:03:24.000]  所以對他們來說是絆腳石
[00:03:24.000 --> 00:03:26.000]  但是對教會來說
[00:03:26.000 --> 00:03:28.000]  耶穌卻是防角石
[00:03:28.000 --> 00:03:30.000]  因為聖經說
[00:03:30.000 --> 00:03:34.000]  神將所揀選的寶貴的防角石安
[00:03:34.000 --> 00:03:36.000]  放在石安
[00:03:36.000 --> 00:03:38.000]  信靠他的人不至於羞愧
[00:03:38.000 --> 00:03:40.000]  所以像人所起的石頭
