
[00:00:00.000 --> 00:00:03.760]  今天我講到的也是教會的安排
[00:00:03.760 --> 00:00:06.460]  到今天要講這個題目
[00:00:06.460 --> 00:00:09.340]  雖然教會也給了我們一個自由度
[00:00:09.340 --> 00:00:12.160]  他說如果你不想講也可以講第二個題目
[00:00:12.160 --> 00:00:16.160]  但是當我自己去思考這次這個安排的時候
[00:00:16.160 --> 00:00:18.000]  講到一樣
[00:00:18.000 --> 00:00:21.520]  我們很多時候都會發生在我們心靈裏面
[00:00:21.520 --> 00:00:25.320]  是關於一個題目叫做「疾倒」
[00:00:25.320 --> 00:00:26.960]  即是「倒忌」
[00:00:26.960 --> 00:00:33.480]  但當然這個題目是怎樣去勝過我們的疾倒
[00:00:33.480 --> 00:00:34.520]  我們看回聖經
[00:00:34.520 --> 00:00:38.520]  很多經文是講到家庭裏面
[00:00:38.520 --> 00:00:41.280]  兄弟之間的疾倒
[00:00:41.280 --> 00:00:43.080]  無論今天我們所講的
[00:00:43.080 --> 00:00:44.280]  該隱阿伯
[00:00:44.280 --> 00:00:46.880]  我們比較熟悉的在創世紀裏面
[00:00:46.880 --> 00:00:51.280]  而同樣也都看到摩西和阿倫和米利安
[00:00:51.280 --> 00:00:53.960]  甚至聖經裏面的約瑟
[00:00:53.960 --> 00:00:55.160]  教會裏面的約瑟
[00:00:55.160 --> 00:00:59.480]  他的哥哥倒忌他自己的弟弟
[00:00:59.480 --> 00:01:04.280]  今天我要特別看該隱和阿伯
[00:01:04.280 --> 00:01:07.080]  我們可能會比較熟悉的一個內容
[00:01:07.080 --> 00:01:10.080]  就是當該隱和阿伯獻祭的時候
[00:01:10.080 --> 00:01:15.280]  神越納阿伯卻不越納該隱
[00:01:15.280 --> 00:01:18.080]  為什麼他不越納該隱呢?
[00:01:18.080 --> 00:01:19.880]  甚至到了後期
[00:01:19.880 --> 00:01:23.680]  該隱就殺了自己的弟弟阿伯
[00:01:23.680 --> 00:01:27.480]  但是上帝仍然給該隱有個保護
[00:01:27.480 --> 00:01:28.880]  給他有個恩基
[00:01:28.880 --> 00:01:31.280]  他說沒有人可以殺你
[00:01:31.280 --> 00:01:34.880]  當然當我自己去思考這個題目
[00:01:34.880 --> 00:01:36.680]  和這段聖經的時候
[00:01:36.680 --> 00:01:38.680]  我就回想回到我自己
[00:01:38.680 --> 00:01:39.880]  當我回來香港
[00:01:39.880 --> 00:01:41.880]  我1985年回來香港侍奉
[00:01:41.880 --> 00:01:45.680]  因為去到大概1992、93年的時候
[00:01:45.680 --> 00:01:48.080]  大概七年的侍奉之後
[00:01:48.080 --> 00:01:49.680]  我就發覺有一天
[00:01:49.680 --> 00:01:52.680]  我自己忽然之間不太想回教會
[00:01:52.680 --> 00:01:54.280]  我不太想侍奉
[00:01:54.280 --> 00:01:57.480]  我覺得好像很不開心
[00:01:57.480 --> 00:01:59.080]  當時我又不太懂得
[00:01:59.080 --> 00:02:02.280]  什麼叫做沮喪、抑鬱
[00:02:02.280 --> 00:02:03.480]  我都不太懂這些東西
[00:02:03.480 --> 00:02:05.680]  我整天覺得信耶穌怎麼會抑鬱
[00:02:05.680 --> 00:02:07.280]  信耶穌怎麼會沮喪
[00:02:07.280 --> 00:02:09.880]  但是真的不想回教會
[00:02:09.880 --> 00:02:10.680]  去到一個地步
[00:02:10.680 --> 00:02:16.280]  我真的想離開這個牧養的位置
[00:02:16.280 --> 00:02:20.080]  但是當時我就去找一些求助
[00:02:20.080 --> 00:02:26.080]  去找一個心理輔導的一位姐妹
[00:02:26.080 --> 00:02:28.480]  這位姐妹很細心
[00:02:28.480 --> 00:02:30.880]  每次去見她
[00:02:30.880 --> 00:02:34.480]  她都叫我從後門進出
[00:02:34.480 --> 00:02:37.480]  不要讓人看到我去見心理輔導
[00:02:37.480 --> 00:02:40.080]  因為如果被會友看到我去看心理輔導
[00:02:40.080 --> 00:02:43.080]  就會覺得我的牧師瘋了
[00:02:43.080 --> 00:02:45.880]  很害怕去看心理輔導
[00:02:45.880 --> 00:02:47.880]  所以每次都是從後門進出
[00:02:47.880 --> 00:02:50.280]  沒有人知道我去看心理輔導
[00:02:50.280 --> 00:02:51.880]  但是我第一次去
[00:02:51.880 --> 00:02:53.080]  我一去到
[00:02:53.080 --> 00:02:54.280]  她沒有什麼話要說
[00:02:54.280 --> 00:02:55.480]  她就幫我祈禱
[00:02:55.480 --> 00:02:56.880]  一祈禱我就哭了
[00:02:56.880 --> 00:02:59.480]  哭了大概三十多分鐘
[00:02:59.480 --> 00:03:00.480]  哭完之後
[00:03:00.480 --> 00:03:01.480]  她說可以了你走吧
[00:03:01.480 --> 00:03:02.480]  你下星期再來見我
[00:03:02.480 --> 00:03:03.680]  我說怎麼搞的
[00:03:03.680 --> 00:03:05.080]  你還沒說話就祈禱了
[00:03:05.080 --> 00:03:06.480]  我哭完之後她叫我走
[00:03:06.480 --> 00:03:08.080]  她說可以了你下星期再來見我
[00:03:08.080 --> 00:03:11.080]  如是者十二個星期
[00:03:11.080 --> 00:03:13.680]  幸好是免費的
[00:03:13.680 --> 00:03:16.080]  不然我真的覺得不太划算
[00:03:16.080 --> 00:03:17.680]  我哭了十二次
[00:03:17.680 --> 00:03:20.880]  最後一次十二次的時候
[00:03:20.880 --> 00:03:22.480]  在我哭的時候
[00:03:22.480 --> 00:03:24.480]  忽然間神跟我說了一句話
[00:03:24.480 --> 00:03:27.480]  我覺得當時我還沒有這樣的經歷
[00:03:27.480 --> 00:03:29.480]  神什麼聲音都沒有
[00:03:29.480 --> 00:03:31.880]  但是我感受到一個聲音
[00:03:31.880 --> 00:03:36.680]  祂說你和你大哥比較
[00:03:36.680 --> 00:03:38.680]  你嫉妒你的大哥
[00:03:38.680 --> 00:03:40.080]  怎麼會啊
[00:03:40.080 --> 00:03:41.680]  我大哥比我大十多年
[00:03:41.680 --> 00:03:45.280]  他是一個對我非常好的大哥
[00:03:45.280 --> 00:03:48.480]  我第一份玩具都是我大哥買給我的
[00:03:48.480 --> 00:03:50.480]  所以我覺得沒有理由
[00:03:50.480 --> 00:03:52.480]  於是我就跟這位心理輔導
[00:03:52.480 --> 00:03:54.280]  就是這位醫生跟他說
[00:03:54.280 --> 00:03:57.880]  我好像覺得神跟我說
[00:03:57.880 --> 00:03:59.880]  我和大哥比較
[00:03:59.880 --> 00:04:02.480]  我嫉妒我大哥
[00:04:02.480 --> 00:04:03.280]  他說可以了
[00:04:03.280 --> 00:04:04.480]  你下星期不用回來
[00:04:04.480 --> 00:04:05.280]  你好了
[00:04:05.280 --> 00:04:06.480]  我說好了
[00:04:06.480 --> 00:04:07.280]  他說是的
[00:04:07.280 --> 00:04:08.480]  我說你不要說話
[00:04:08.480 --> 00:04:09.480]  神不要說話
[00:04:09.480 --> 00:04:11.480]  神說話就可以了
[00:04:11.480 --> 00:04:14.280]  你回去想想這句話究竟是什麼意思
[00:04:14.280 --> 00:04:15.680]  我真的回去想
[00:04:15.680 --> 00:04:17.680]  究竟這句話是什麼意思
[00:04:17.680 --> 00:04:19.480]  我總覺得大哥對我很好
[00:04:19.480 --> 00:04:23.680]  我從來沒有想過我會妒忌我大哥
[00:04:23.680 --> 00:04:26.680]  但是當我真的想的時候
[00:04:26.680 --> 00:04:29.480]  我就發覺原來我大哥很厲害
[00:04:29.480 --> 00:04:32.880]  我大哥讀書一直都是考第一名
[00:04:32.880 --> 00:04:35.080]  甚至在上個世紀50年代
[00:04:35.080 --> 00:04:41.080]  他能夠考進台灣國防醫學院做醫生
[00:04:41.080 --> 00:04:44.680]  我覺得他簡直是很厲害的一個人
[00:04:44.680 --> 00:04:46.280]  在我自己心目中
[00:04:46.280 --> 00:04:50.080]  到他畢業那年在台灣
[00:04:50.080 --> 00:04:54.080]  他是全台灣所有醫學生的考試
[00:04:54.080 --> 00:04:55.880]  他是考第二名
[00:04:55.880 --> 00:04:57.480]  真的很厲害
[00:04:57.480 --> 00:05:01.080]  所以我一直覺得他真的很厲害
[00:05:01.080 --> 00:05:04.080]  其實我內心就跟他有些比較
[00:05:04.080 --> 00:05:05.480]  後來我才發覺
[00:05:05.480 --> 00:05:07.080]  原來我不止跟我大哥比較
[00:05:07.080 --> 00:05:08.480]  因為這個影響
[00:05:08.480 --> 00:05:11.280]  其實我經常跟其他教會比較
[00:05:11.280 --> 00:05:12.280]  大家明白我的意思嗎
[00:05:12.280 --> 00:05:13.880]  你知道我們教會旁邊有間
[00:05:13.880 --> 00:05:16.280]  在柏屯山的大學教會有很多人
[00:05:16.280 --> 00:05:18.280]  在那個年代我們教會有百多人
