
[00:00:00.000 --> 00:00:02.200]  有一套非常出色的電影
[00:00:02.200 --> 00:00:06.080]  這套電影的名字叫《矛盾》
[00:00:06.080 --> 00:00:08.800]  有多少人看過這套電影?
[00:00:08.800 --> 00:00:11.600]  沒什麼人,只有Philip一個人看過
[00:00:11.600 --> 00:00:15.300]  回去盡量在YouTube看
[00:00:15.300 --> 00:00:18.600]  這套電影是根據一個真實的故事
[00:00:18.600 --> 00:00:21.400]  講述五個非常出色
[00:00:21.400 --> 00:00:24.800]  無論在學術,無論在前途方面
[00:00:24.800 --> 00:00:27.400]  是很出色的五個美國青年人
[00:00:27.400 --> 00:00:30.400]  去到薩爾瓦多一個色人族的地方
[00:00:30.400 --> 00:00:33.600]  去做傳教,結果五個都是被殺犧牲
[00:00:33.600 --> 00:00:36.600]  或者在我們還沒討論這段聖經之前
[00:00:36.600 --> 00:00:39.600]  我們來看看這套電影的一些片段
[00:00:57.400 --> 00:01:14.400]  (音樂)
[00:01:27.400 --> 00:01:53.400]  (音樂)
[00:01:53.400 --> 00:02:12.400]  (音樂)
[00:02:23.400 --> 00:02:52.400]  (音樂)
[00:02:52.400 --> 00:03:18.400]  (音樂)
[00:03:18.400 --> 00:03:26.400]  (音樂)
[00:03:26.400 --> 00:03:48.400]  (音樂)
[00:03:48.400 --> 00:04:00.400]  (音樂)
[00:04:18.400 --> 00:04:47.400]  (音樂)
[00:04:47.400 --> 00:05:01.400]  (音樂)
[00:05:01.400 --> 00:05:20.400]  (音樂)
[00:05:20.400 --> 00:05:49.400]  (音樂)
[00:05:49.400 --> 00:06:13.400]  (音樂)
[00:06:13.400 --> 00:06:27.400]  (音樂)
[00:06:27.400 --> 00:06:56.400]  (音樂)
[00:06:56.400 --> 00:07:06.400]  (音樂)
[00:07:06.400 --> 00:07:16.400]  (音樂)
[00:07:16.400 --> 00:07:33.400]  (音樂)
[00:07:33.400 --> 00:07:50.400]  (音樂)
[00:07:50.400 --> 00:08:18.400]  (廣東話)
[00:08:18.400 --> 00:08:32.400]  (廣東話)
[00:08:32.400 --> 00:08:33.400]  正如我剛才所說
[00:08:33.400 --> 00:08:37.400]  在2005年,荷里活拍了一套非常感人的電影
[00:08:37.400 --> 00:08:41.400]  這套電影叫做《矛盾》
[00:08:41.400 --> 00:08:44.400]  是根據一個真實的故事而改編的
[00:08:44.400 --> 00:08:47.400]  在1956年,有五個年輕的美國人
[00:08:47.400 --> 00:08:52.400]  他們都是芝加哥威頓大學的畢業生
[00:08:52.400 --> 00:08:55.400]  擁有崇高的學位
[00:08:55.400 --> 00:08:58.400]  高度的智慧,美好的前途
[00:08:58.400 --> 00:09:01.400]  但是他們毅然放棄了一切
[00:09:01.400 --> 00:09:05.400]  來到南美洲的阿爾加多
[00:09:05.400 --> 00:09:08.400]  Wildani的一個紅藩族
[00:09:08.400 --> 00:09:10.400]  這是食人族
[00:09:10.400 --> 00:09:13.400]  因為這群人是時常廝殺
[00:09:13.400 --> 00:09:15.400]  彼此鬥爭
[00:09:15.400 --> 00:09:17.400]  不少人類學家相信
[00:09:17.400 --> 00:09:20.400]  沒多久,整個族群就會毀滅
[00:09:20.400 --> 00:09:23.400]  但是,這五個青年人
[00:09:23.400 --> 00:09:26.400]  他覺得他們都是上帝所愛的人
[00:09:26.400 --> 00:09:30.400]  毅然來到這個未開化的地方
[00:09:30.400 --> 00:09:32.400]  這五個人包括了
[00:09:32.400 --> 00:09:35.400]  剛才我們所看到的Nate Singh
[00:09:35.400 --> 00:09:38.400]  也包括Jim Elliott
[00:09:38.400 --> 00:09:40.400]  就是Elizabeth Elliott的丈夫
[00:09:40.400 --> 00:09:42.400]  和其他三個孫教士
[00:09:42.400 --> 00:09:45.400]  他們拿著飛機
[00:09:45.400 --> 00:09:48.400]  在Wildani族的上空徘徊
[00:09:48.400 --> 00:09:50.400]  然後放下他們的食物
[00:09:50.400 --> 00:09:53.400]  他們的衣物,他們的其他用品
[00:09:53.400 --> 00:09:55.400]  表示友善
[00:09:55.400 --> 00:09:58.400]  經過了幾個月的盤旋
[00:09:58.400 --> 00:10:00.400]  他們覺得時機熟了
[00:10:00.400 --> 00:10:03.400]  於是,飛機就著陸
[00:10:03.400 --> 00:10:06.400]  當他們一著陸的時候
[00:10:06.400 --> 00:10:08.400]  馬上被土人包圍住
[00:10:08.400 --> 00:10:11.400]  雖然他們每個手持手槍
[00:10:11.400 --> 00:10:13.400]  是可以維護他們自己
[00:10:13.400 --> 00:10:15.400]  但沒有一個開槍
[00:10:15.400 --> 00:10:17.400]  一個個被長矛
[00:10:17.400 --> 00:10:20.400]  戳穿他們的胸膛
[00:10:20.400 --> 00:10:22.400]  臨死的時候
[00:10:22.400 --> 00:10:24.400]  他就說
[00:10:24.400 --> 00:10:27.400]  我們是你真正的朋友
[00:10:27.400 --> 00:10:30.400]  這件事轟動了整個美國
[00:10:30.400 --> 00:10:33.400]  成為了報章裡面的頭條新聞
[00:10:33.400 --> 00:10:37.400]  記者訪問他們的妻子
[00:10:37.400 --> 00:10:41.400]  你們的丈夫本來有美好的前途
[00:10:41.400 --> 00:10:45.400]  這樣的白白的犧牲,值不值得呢?
[00:10:45.400 --> 00:10:47.400]  他們的妻子就這樣回答
[00:10:47.400 --> 00:10:51.400]  我們的丈夫並沒有白白的犧牲
[00:10:51.400 --> 00:10:53.400]  他們早就預備了
[00:10:53.400 --> 00:10:56.400]  由這一天,這件事的發生
[00:10:56.400 --> 00:10:59.400]  只不過是完成了他們的夢想
[00:10:59.400 --> 00:11:04.400]  事實上,這個故事並沒有因此而結束
[00:11:04.400 --> 00:11:07.400]  這五個宣教士的妻子
[00:11:07.400 --> 00:11:10.400]  拖著他們的子女和親戚
[00:11:10.400 --> 00:11:14.400]  五年之後,再回到這一塊
[00:11:14.400 --> 00:11:18.400]  曾經他們丈夫被殺死的地方
[00:11:18.400 --> 00:11:21.400]  他們沒有懷恨
[00:11:21.400 --> 00:11:24.400]  他們繼續他們丈夫的心志
[00:11:24.400 --> 00:11:28.400]  其中包括這位姓的姐姐叫Rachel
[00:11:28.400 --> 00:11:34.400]  她在華爾丹尼族裡一直工作到1994年
[00:11:34.400 --> 00:11:36.400]  在那裡無私的愛
[00:11:36.400 --> 00:11:38.400]  冒著生命的危險
[00:11:38.400 --> 00:11:40.400]  疾病的傳染
[00:11:40.400 --> 00:11:44.400]  去愛他們,教育他們,醫治他們
[00:11:44.400 --> 00:11:49.400]  病的就醫,死的就葬,生的就教
[00:11:49.400 --> 00:11:53.400]  是因為這幾個的太太
[00:11:53.400 --> 00:11:57.400]  在這個華爾丹尼族裡傳教
[00:11:57.400 --> 00:12:03.400]  整個教,整個族受到感染就信得住
[00:12:03.400 --> 00:12:08.400]  這套電影故事是講述Nate的兒子Steven
[00:12:08.400 --> 00:12:12.400]  和其中一個華爾丹尼族的尤長
[00:12:12.400 --> 00:12:14.400]  叫米卡兒的關係
[00:12:14.400 --> 00:12:16.400]  當Steve長大
[00:12:16.400 --> 00:12:20.400]  他決定走回華爾丹尼這個森林區裡
[00:12:20.400 --> 00:12:26.400]  看看他父親被殺死的情況和環境
[00:12:26.400 --> 00:12:31.400]  帶他去的地方就是米卡兒
[00:12:31.400 --> 00:12:36.400]  來到他父親被殺死的河裡
[00:12:36.400 --> 00:12:38.400]  還有一些殘骸
[00:12:38.400 --> 00:12:41.400]  當他看完的時候
[00:12:41.400 --> 00:12:47.400]  這個尤長米卡兒對Steve說
[00:12:47.400 --> 00:12:53.400]  Steve,我很想坦白告訴你一個秘密
[00:12:53.400 --> 00:12:59.400]  你爸爸被我殺死
[00:12:59.400 --> 00:13:04.400]  是用這支長矛戳穿他的翅膀
[00:13:04.400 --> 00:13:08.400]  其中有一截是凸了出來
[00:13:08.400 --> 00:13:12.400]  我現在交回給你
