
[00:00:00.000 --> 00:00:04.000]  今日的題目是耶穌是誰
[00:00:04.000 --> 00:00:06.000]  不如問一下你旁邊那個
[00:00:06.000 --> 00:00:10.000]  如果有人問你耶穌是哪一個
[00:00:10.000 --> 00:00:12.000]  你怎樣形容主耶穌
[00:00:12.000 --> 00:00:15.000]  你問一下旁邊那個 看看旁邊那個怎樣回答你
[00:00:15.000 --> 00:00:17.000]  試一試
[00:00:17.000 --> 00:00:22.000]  你怎樣介紹主耶穌
[00:00:31.000 --> 00:00:33.000]  我相信有不同的答案
[00:00:33.000 --> 00:00:38.000]  外面的人也有很多人在介紹主耶穌
[00:00:38.000 --> 00:00:44.000]  各人有用自己的方式去理解這位主耶穌
[00:00:44.000 --> 00:00:52.000]  所以當有些人覺得主耶穌是非常慈愛的
[00:00:52.000 --> 00:00:57.000]  於是乎他就接納一個愛的主耶穌
[00:00:57.000 --> 00:01:00.000]  當他的禱告不蒙應允的時候
[00:01:00.000 --> 00:01:03.000]  他覺得這個耶穌不再愛
[00:01:03.000 --> 00:01:06.000]  不像他想像中那麼愛
[00:01:06.000 --> 00:01:08.000]  這個主耶穌他不要
[00:01:08.000 --> 00:01:12.000]  有些人覺得主耶穌是非常公義
[00:01:12.000 --> 00:01:15.000]  而那種公義就是一見到不公義的東西
[00:01:15.000 --> 00:01:17.000]  他就會出手
[00:01:17.000 --> 00:01:19.000]  所以當自己受委屈
[00:01:19.000 --> 00:01:23.000]  當社會有些不公義的東西的時候
[00:01:23.000 --> 00:01:25.000]  他求告神
[00:01:25.000 --> 00:01:27.000]  神沒有馬上出手
[00:01:27.000 --> 00:01:31.000]  他就覺得這個神不行了
[00:01:31.000 --> 00:01:37.000]  也有人覺得主耶穌應該是充滿愛
[00:01:37.000 --> 00:01:40.000]  能夠接納我所有的一切
[00:01:40.000 --> 00:01:42.000]  所以當聖經裡有些東西
[00:01:42.000 --> 00:01:44.000]  關係到主耶穌的聖潔
[00:01:44.000 --> 00:01:46.000]  關係到主耶穌的吩咐
[00:01:46.000 --> 00:01:48.000]  他覺得不順耳的時候
[00:01:48.000 --> 00:01:50.000]  他用另外一些東西去解釋
[00:01:50.000 --> 00:01:54.000]  以致他想像中的主耶穌
[00:01:54.000 --> 00:01:58.000]  能夠合乎他自己的期望
[00:01:58.000 --> 00:02:03.000]  自己去建構他心目中的神
[00:02:03.000 --> 00:02:06.000]  有些時候我們可能也是這樣
[00:02:06.000 --> 00:02:08.000]  耶穌帶領一群門徒去到
[00:02:08.000 --> 00:02:10.000]  凱撒尼亞菲勒比的境內
[00:02:10.000 --> 00:02:12.000]  一個愛邦人的地方
[00:02:12.000 --> 00:02:14.000]  問門徒
[00:02:14.000 --> 00:02:17.000]  那些人說我是誰
[00:02:17.000 --> 00:02:20.000]  於是那些門徒就說
[00:02:20.000 --> 00:02:21.000]  有人說你是施西約翰
[00:02:21.000 --> 00:02:22.000]  有人說你是伊利亞
[00:02:22.000 --> 00:02:24.000]  有人說你是耶利米
[00:02:24.000 --> 00:02:27.000]  或者先知中的其中一位
[00:02:27.000 --> 00:02:28.000]  簡單一點
[00:02:28.000 --> 00:02:31.000]  全部都是別人說
[00:02:31.000 --> 00:02:34.000]  主耶穌你是誰
[00:02:34.000 --> 00:02:36.000]  但對於耶穌來說
[00:02:36.000 --> 00:02:40.000]  並不滿足
[00:02:40.000 --> 00:02:43.000]  主耶穌最重要最重要的就是問
[00:02:43.000 --> 00:02:45.000]  你們說呢
[00:02:45.000 --> 00:02:47.000]  我是誰
[00:02:47.000 --> 00:02:49.000]  在你們心目中
[00:02:49.000 --> 00:02:53.000]  我是誰
[00:02:53.000 --> 00:02:55.000]  不知道那群門徒會不會
