
[00:00:00.000 --> 00:00:05.000]  今天來到我們時事記講道系列的第七課
[00:00:05.000 --> 00:00:08.000]  我們終於來到結尾的部分
[00:00:08.000 --> 00:00:10.000]  在結尾的部分
[00:00:10.000 --> 00:00:14.000]  我們上星期講完十六章
[00:00:14.000 --> 00:00:17.000]  今天星期我們從十七章開始講
[00:00:17.000 --> 00:00:24.000]  十七章到二十一章算是時事記結尾的部分
[00:00:24.000 --> 00:00:27.000]  結尾的部分就不再講時事了
[00:00:27.000 --> 00:00:31.000]  上星期梁牧師和大家分享了參孫的故事
[00:00:31.000 --> 00:00:35.000]  參孫已經是時事記裡最後一個的時事
[00:00:35.000 --> 00:00:38.000]  十七章開始就不再有時事出現
[00:00:38.000 --> 00:00:41.000]  十七章到二十一章是屬於什麼部分呢
[00:00:41.000 --> 00:00:45.000]  其實應該是屬於時事記結尾的部分
[00:00:45.000 --> 00:00:47.000]  在結尾的部分
[00:00:47.000 --> 00:00:49.000]  其實作者只是告訴我們
[00:00:49.000 --> 00:00:55.000]  到底時事記的年代為什麼會這麼混亂
[00:00:55.000 --> 00:00:57.000]  他給一句話的總結就是
[00:00:57.000 --> 00:01:00.000]  當時的時事年代沒有王
[00:01:00.000 --> 00:01:03.000]  各人任意而行
[00:01:03.000 --> 00:01:05.000]  他講了這個原因
[00:01:05.000 --> 00:01:07.000]  就是因為沒有王就沒有王館
[00:01:07.000 --> 00:01:09.000]  所以大家就任意而行
[00:01:09.000 --> 00:01:12.000]  各人按照自己的喜好去行事
[00:01:12.000 --> 00:01:15.000]  造成的後果當然是混亂
[00:01:15.000 --> 00:01:17.000]  十七章到二十一章
[00:01:17.000 --> 00:01:22.000]  作者分了兩部分來形容這種混亂
[00:01:22.000 --> 00:01:25.000]  十七章到十八章是第一個部分
[00:01:25.000 --> 00:01:28.000]  講到宗教方面的混亂
[00:01:28.000 --> 00:01:30.000]  十九到二十一章
[00:01:30.000 --> 00:01:34.000]  就是講到社會道德倫理上的混亂
[00:01:34.000 --> 00:01:36.000]  兩方面都混亂
[00:01:36.000 --> 00:01:38.000]  今天我們首先會看第一部分
[00:01:38.000 --> 00:01:41.000]  就是我們先看看十七到十八章
[00:01:41.000 --> 00:01:46.000]  當在宗教上所有的民族離棄神
[00:01:46.000 --> 00:01:48.000]  然後轉移去敬拜偶像
[00:01:48.000 --> 00:01:53.000]  就造成一個宗教上的非常混亂
[00:01:53.000 --> 00:01:56.000]  在今年的七月
[00:01:56.000 --> 00:01:59.000]  中國的佛教協會出了一條
[00:01:59.000 --> 00:02:02.000]  充滿黑色幽默的新聞
[00:02:02.000 --> 00:02:03.000]  大家知道什麼黑色幽默
[00:02:03.000 --> 00:02:04.000]  就是整件事很悲哀
[00:02:04.000 --> 00:02:06.000]  但是過程很荒謬
[00:02:06.000 --> 00:02:07.000]  很低能
[00:02:07.000 --> 00:02:09.000]  所以你又覺得很搞笑
[00:02:09.000 --> 00:02:11.000]  這個新聞是這樣說的
[00:02:11.000 --> 00:02:13.000]  一個小和尚
[00:02:13.000 --> 00:02:14.000]  舉報一個老和尚
[00:02:14.000 --> 00:02:16.000]  性侵一個小尼姑
[00:02:16.000 --> 00:02:20.000]  這個就是一個很低能的新聞
[00:02:20.000 --> 00:02:22.000]  當然這個老和尚就不承認
[00:02:22.000 --> 00:02:24.000]  就說這個小和尚你詆毀我
[00:02:24.000 --> 00:02:26.000]  就告他
[00:02:26.000 --> 00:02:28.000]  這個小和尚就不知道
[00:02:28.000 --> 00:02:30.000]  用什麼方式就找到這個老和尚
[00:02:30.000 --> 00:02:33.000]  發給這個不同尼姑的短信
[00:02:33.000 --> 00:02:34.000]  就公開了出來
