
[00:00:00.000 --> 00:00:02.820]  今天我們來看看
[00:00:02.820 --> 00:00:05.740]  學習調教自己的意念
[00:00:05.740 --> 00:00:11.480]  這是下一站幸福的第四個題目
[00:00:11.480 --> 00:00:14.780]  學習調教自己的意念
[00:00:14.780 --> 00:00:16.780]  稍後我們讀這段經文
[00:00:16.780 --> 00:00:21.020]  其實是我們這個星期需要背誦的經文
[00:00:21.020 --> 00:00:26.640]  經文在《羅馬書》第十二章第二節
[00:00:26.640 --> 00:00:28.980]  我們一同讀讀這段經文
[00:00:28.980 --> 00:00:33.420]  我們一同讀讀
[00:00:33.420 --> 00:00:41.620]  「不要被這世界同化,要讓上帝改造你們,更新你們的心思意念。
[00:00:41.620 --> 00:00:49.520]  好明察什麼是他的旨意,知道什麼是良善完全,可蒙月立的。」
[00:00:49.520 --> 00:00:52.160]  《羅馬書》第十二章第二節
[00:00:52.160 --> 00:00:57.100]  這個禮拜大家需要彼此背誦
[00:00:57.100 --> 00:00:58.900]  在這段經文裏面
[00:00:58.900 --> 00:01:08.500]  保羅提醒我們要靠神去改造我們的心思和意念
[00:01:08.500 --> 00:01:15.400]  這段經文很明顯提到神沒有說要改造我們周圍的環境
[00:01:15.400 --> 00:01:23.020]  其實你可以看到神是更加關心我們內在的心思意念
[00:01:23.020 --> 00:01:29.380]  以及靈命的成長是多於環境
[00:01:29.380 --> 00:01:33.500]  或者是在我們環境周圍所發生的事
[00:01:33.500 --> 00:01:36.300]  其實我們很多時候都會祈禱
[00:01:36.300 --> 00:01:41.980]  求神拿去我們的困難、痛苦、傷痛、苦難
[00:01:41.980 --> 00:01:44.920]  或者是一些病痛、一些掙扎
[00:01:44.920 --> 00:01:48.360]  但是神卻在這裏跟我們說
[00:01:48.360 --> 00:01:50.040]  其實這些都很重要
[00:01:50.040 --> 00:01:51.140]  這些不是說不重要
[00:01:51.140 --> 00:01:52.040]  這些都很重要
[00:01:52.040 --> 00:01:54.460]  但是更加重要的
[00:01:54.460 --> 00:01:56.240]  就是在這些事情裏面
[00:01:56.240 --> 00:02:03.620]  我們怎樣可以有一個內在生命的改變和成長
[00:02:03.620 --> 00:02:05.840]  所以我們今天就看看
[00:02:05.840 --> 00:02:09.840]  一個健康的心思意念
[00:02:09.840 --> 00:02:20.600]  是一個被神更新去創造的心思意念
[00:02:20.600 --> 00:02:26.220]  其實怎樣來調教自己的意念
[00:02:26.220 --> 00:02:33.400]  當你改變了、調教了、更新了你的意念的時候
[00:02:33.400 --> 00:02:37.180]  你會發覺你的生命不再一樣
[00:02:37.180 --> 00:02:40.400]  我們就看看怎樣去調教自己的意念
[00:02:40.400 --> 00:02:44.480]  第一件事就是要讓神的道充滿我們
[00:02:44.480 --> 00:02:47.220]  要被神的道充滿
[00:02:47.220 --> 00:02:53.020]  我們都知道我們身體需要營養
[00:02:53.020 --> 00:02:55.300]  怎樣才能有健康的身體呢?
[00:02:55.300 --> 00:02:56.600]  其實有幾樣東西
[00:02:56.600 --> 00:02:59.040]  就是要有健康的飲食
[00:02:59.040 --> 00:03:02.080]  以及要有一個健康的飲食習慣
[00:03:02.080 --> 00:03:04.720]  這樣才能有一個健康的身體
[00:03:04.720 --> 00:03:07.280]  我認識一位弟兄
[00:03:07.280 --> 00:03:12.660]  他很注重飲食、運動、健康
[00:03:12.660 --> 00:03:17.760]  他現在正在鍛鍊六塊腹肌
[00:03:17.760 --> 00:03:21.280]  我問他有什麼秘訣呢?
[00:03:21.280 --> 00:03:24.120]  原來他說要注意飲食
[00:03:24.120 --> 00:03:26.120]  如果只是做運動也不夠
[00:03:26.120 --> 00:03:30.400]  也不可能有很健康的六塊腹肌
[00:03:30.400 --> 00:03:32.400]  究竟有什麼秘訣呢?
[00:03:32.400 --> 00:03:34.400]  原來他說食物也很重要
[00:03:34.400 --> 00:03:36.400]  他現在吃什麼呢?
[00:03:36.400 --> 00:03:37.400]  就是吃沙律
[00:03:37.400 --> 00:03:43.200]  還有雞不能煎、不能炒、不能炸
[00:03:43.200 --> 00:03:44.480]  那雞要怎樣做呢?
[00:03:44.480 --> 00:03:46.480]  他說要用水來煮
[00:03:46.480 --> 00:03:51.200]  這樣他就可以鍛鍊出六塊腹肌
