
[00:00:00.000 --> 00:00:03.500]  今季講道的主題
[00:00:03.500 --> 00:00:10.740]  會由漢德健的「愛」轉為另一個主題
[00:00:10.740 --> 00:00:15.560]  上星期謝牧師已經講了第一課
[00:00:15.560 --> 00:00:17.560]  不知道你們還記不記得
[00:00:17.560 --> 00:00:20.380]  「明白主的心」
[00:00:20.380 --> 00:00:22.920]  主的心是怎樣的呢?
[00:00:22.920 --> 00:00:26.300]  我們所依靠、所愛的神
[00:00:26.300 --> 00:00:28.300]  又是一個怎樣的神呢?
[00:00:28.300 --> 00:00:33.420]  盼望透過這一季不同的同工在神裡面的領受
[00:00:33.420 --> 00:00:38.040]  讓我們明白多一點神的性情
[00:00:38.040 --> 00:00:40.780]  神對我們每一個弟兄姊妹的心意
[00:00:40.780 --> 00:00:42.780]  以致我們能夠拉近
[00:00:42.780 --> 00:00:45.820]  並且加深跟神的關係
[00:00:45.820 --> 00:00:49.580]  所以今天很想跟大家思想一個題目
[00:00:49.580 --> 00:00:52.660]  就是「神的同在」
[00:00:52.660 --> 00:00:55.140]  神的同在是甚麼回事呢?
[00:00:55.140 --> 00:00:56.900]  好像很抽象、很深
[00:00:56.900 --> 00:00:59.820]  先跟大家講一個故事
[00:00:59.820 --> 00:01:01.820]  是我編造的
[00:01:01.820 --> 00:01:03.820]  故事是編造的嘛
[00:01:03.820 --> 00:01:05.820]  即是有一點
[00:01:05.820 --> 00:01:08.420]  話說有一天
[00:01:08.420 --> 00:01:11.420]  一個六歲的小朋友小明
[00:01:11.420 --> 00:01:13.420]  彈著就跟爸爸說
[00:01:13.420 --> 00:01:18.740]  「爸爸!爸爸!今天老師介紹了一隻很厲害的猛獸給我聽」
[00:01:18.740 --> 00:01:20.740]  你知道爸爸的
[00:01:20.740 --> 00:01:22.740]  甚麼猛獸?有多厲害?
[00:01:22.740 --> 00:01:24.740]  他的名字很厲害的
[00:01:24.740 --> 00:01:29.340]  叫做阿里羅匹特梅利路卡(Aleropetra Meluluca)
[00:01:29.340 --> 00:01:31.340]  爸爸看著他眨眼
[00:01:31.340 --> 00:01:33.340]  「甚麼?你再讀一次,讀到哒哒咳咳」
[00:01:33.340 --> 00:01:37.340]  阿里羅匹特梅利路卡(Aleropetra Meluluca)
[00:01:37.340 --> 00:01:39.340]  老師還給了我一張照片
[00:01:39.340 --> 00:01:41.340]  這隻猛獸很厲害的
