
[00:00:00.000 --> 00:00:03.200]  領子妹,讀了那麼長的聖經,從第八章讀到第十章
[00:00:03.200 --> 00:00:04.740]  以色列人在那裡還有什麼呢?
[00:00:04.740 --> 00:00:08.580]  守節
[00:00:08.580 --> 00:00:09.640]  什麼節啊?
[00:00:09.640 --> 00:00:13.240]  駐彭節,是啊,你……
[00:00:13.240 --> 00:00:16.320]  雖然我經常說,很多時候聖經那些出版商
[00:00:16.320 --> 00:00:20.000]  貼的標題呢,不必然是正確,但是有時候也是方便的
[00:00:20.000 --> 00:00:22.800]  就是,他也寫了「守駐彭節」
[00:00:22.800 --> 00:00:25.460]  原來從第八章開始呢,就開始說了一件事
[00:00:25.460 --> 00:00:28.320]  李敏記,如果這一陣子你有看著我們《靈修書》
[00:00:28.320 --> 00:00:31.140]  又一路這樣禱告的時候,你也知道在說
[00:00:31.140 --> 00:00:35.120]  重建城牆,重新藉著修造城牆這件事
[00:00:35.120 --> 00:00:38.480]  尼西米,當然,你常常見到以色列的
[00:00:38.480 --> 00:00:41.420]  所以,以色列尼西米兩本書一起看的
[00:00:41.420 --> 00:00:44.560]  大家寫,大家做的事,寫你做的事
[00:00:44.560 --> 00:00:47.400]  藉著這個修造城牆
[00:00:47.400 --> 00:00:50.200]  整個以色列的民眾達成一次的復興
[00:00:50.200 --> 00:00:53.400]  去到剛剛第八章,其實呢,那裡好像說
[00:00:53.400 --> 00:00:56.480]  哇,這麼長的聖經,其實在說幾天的事情而已
[00:00:57.180 --> 00:01:00.920]  這班人守駐彭節,駐彭節是什麼來的呢?
[00:01:00.920 --> 00:01:05.920]  搭棚子,起棚子,他寫著
[00:01:05.920 --> 00:01:08.320]  如果你看回剛剛那十三啊
[00:01:08.320 --> 00:01:11.040]  打後啊,十五六節,他拿一些橄欖樹啊
[00:01:11.040 --> 00:01:13.900]  拿一些枝子出來,十六節還說
[00:01:13.900 --> 00:01:16.500]  出去了,拿樹枝,然後搭在屋頂
[00:01:16.500 --> 00:01:19.500]  院內,或者神的院內,甚至搭出去
[00:01:19.500 --> 00:01:22.780]  甚至駐彭節這件事,守到耶穌的時代
[00:01:22.780 --> 00:01:25.760]  還在守著,那時候哪有這麼多
[00:01:25.800 --> 00:01:28.820]  就是每個家都在後院而已,甚至那時候
[00:01:28.820 --> 00:01:31.880]  很多人不住耶路撒冷,甚至要去到一個地步
[00:01:31.880 --> 00:01:35.300]  駐彭節在耶路撒冷,這個城市是山頂的
[00:01:35.300 --> 00:01:38.980]  在旁邊的山頭野嶺呢,就搭棚子
[00:01:38.980 --> 00:01:40.260]  你覺得像什麼呢?
[00:01:40.260 --> 00:01:42.340]  大露營啊
[00:01:42.340 --> 00:01:45.180]  大露營來的,真的很厲害啊,我那時候在想
[00:01:45.180 --> 00:01:46.520]  駐彭節為了什麼事而懸掛呢?
[00:01:46.520 --> 00:01:49.720]  很有趣啊,還提到藥書啊
[00:01:49.720 --> 00:01:52.340]  原來,如果整件事要追溯的話,就是在說
[00:01:52.480 --> 00:01:56.520]  出埃及,又說出埃及,既然不用看就不用看,說一說就行了
[00:01:56.520 --> 00:01:58.320]  就摩西帶伊斯蘭人出埃及
[00:01:58.320 --> 00:02:02.120]  壞了啦,礦業飄流,四十年
[00:02:02.120 --> 00:02:04.860]  真是,我覺得伊斯蘭人很厲害,幾百萬人
[00:02:04.860 --> 00:02:08.500]  四十年露營,現在很多時候我們四天都喊救命
[00:02:08.500 --> 00:02:11.340]  四十年就在礦業那裡不停轉
[00:02:11.340 --> 00:02:13.760]  終於到,藥書的時候
[00:02:13.760 --> 00:02:15.980]  入加南了,英許地
