
[00:00:00.000 --> 00:00:05.500]  我相信我們常理都知道唱歌是用口唱
[00:00:05.500 --> 00:00:09.000]  或是用聲音唱
[00:00:09.000 --> 00:00:13.000]  當然有姿勢可以行動去唱
[00:00:13.000 --> 00:00:17.000]  但是用靈唱到底靈是什麼呢?
[00:00:17.000 --> 00:00:20.000]  今天早上我想透過這個時刻
[00:00:20.000 --> 00:00:22.000]  和大家一起思想
[00:00:22.000 --> 00:00:24.000]  我們今天在座每一位
[00:00:24.000 --> 00:00:27.000]  可不可以用靈歌唱
[00:00:27.000 --> 00:00:32.000]  如果用靈歌唱到底要怎樣唱呢?
[00:00:32.000 --> 00:00:36.000]  我們今天聚會開始的時候
[00:00:36.000 --> 00:00:39.000]  唱一首詩歌
[00:00:39.000 --> 00:00:42.000]  你沒有唱,台上唱
[00:00:42.000 --> 00:00:50.000]  請問那首是詩歌還是祈禱?
[00:00:50.000 --> 00:00:56.000]  是大家手上的第278首詩歌
[00:00:56.000 --> 00:00:59.000]  求主察函
[00:00:59.000 --> 00:01:02.000]  你說是詩歌還是祈禱呢?
[00:01:02.000 --> 00:01:05.000]  是祈禱
[00:01:05.000 --> 00:01:15.000]  讚美詩歌是回應上帝一個的禱文
[00:01:15.000 --> 00:01:19.000]  今天想透過聖經上的記載
[00:01:19.000 --> 00:01:21.000]  讓我們重新去看看
[00:01:21.000 --> 00:01:26.000]  到底你和我一個蒙恩得救的人
[00:01:26.000 --> 00:01:29.000]  有沒有用靈歌唱
[00:01:29.000 --> 00:01:31.000]  還是只是用喉嚨歌唱
[00:01:31.000 --> 00:01:33.000]  我們從低頭祈禱
[00:01:33.000 --> 00:01:35.000]  天父求你施恩
[00:01:35.000 --> 00:01:37.000]  因為你照著你的應許
[00:01:37.000 --> 00:01:39.000]  你憐憫我們
[00:01:39.000 --> 00:01:41.000]  你不但在我們缺志
[00:01:41.000 --> 00:01:43.000]  相信你的時候救贖我們
[00:01:43.000 --> 00:01:46.000]  我們也相信到將來永恆
[00:01:46.000 --> 00:01:47.000]  你救贖我們
[00:01:47.000 --> 00:01:49.000]  我們更加深知
[00:01:49.000 --> 00:01:52.000]  你今天每一天都是救贖我們
