
[00:00:00.000 --> 00:00:03.000]  各位大型節目,早晨,平安
[00:00:03.000 --> 00:00:07.000]  今日我又回到你這裏,好像回鄉一樣
[00:00:07.000 --> 00:00:11.000]  回到宋記禮拜堂這個信仰大家庭
[00:00:11.000 --> 00:00:13.000]  我們今日在這裏共聚
[00:00:13.000 --> 00:00:16.000]  希望能夠盼望聖道的臨在
[00:00:16.000 --> 00:00:19.000]  讓我首先和大家一起分享一個
[00:00:19.000 --> 00:00:22.000]  多得而樂的故事
[00:00:22.000 --> 00:00:26.000]  從前有一個小朋友
[00:00:26.000 --> 00:00:27.000]  他很快樂
[00:00:27.000 --> 00:00:30.000]  天天歡欣地過日子
[00:00:30.000 --> 00:00:34.000]  其實平時的食物都很平常
[00:00:34.000 --> 00:00:36.000]  但他吃得很開心
[00:00:36.000 --> 00:00:40.000]  有人問他為何這麼開心
[00:00:40.000 --> 00:00:43.000]  Why are you so joyful?
[00:00:43.000 --> 00:00:45.000]  他說因為可以吃
[00:00:45.000 --> 00:00:49.000]  慢慢咀嚼,其實食物都很好吃
[00:00:49.000 --> 00:00:54.000]  家裏有的玩具其實不多
[00:00:54.000 --> 00:00:57.000]  不過這個小朋友玩得很開心
[00:00:57.000 --> 00:01:01.000]  有人問他為何這麼歡欣
[00:01:01.000 --> 00:01:03.000]  他說因為可以玩
[00:01:03.000 --> 00:01:06.000]  其實以前的玩具不多
[00:01:06.000 --> 00:01:08.000]  玩完又玩,玩完又玩
[00:01:08.000 --> 00:01:10.000]  其實玩具都很好玩
[00:01:10.000 --> 00:01:15.000]  有機會的時候,這個小朋友會親親大自然
[00:01:15.000 --> 00:01:19.000]  他覺得一花一樹都很美麗
[00:01:19.000 --> 00:01:22.000]  小鳥歌唱的時候,他會細聽
[00:01:22.000 --> 00:01:25.000]  他會覺得很好聽
[00:01:25.000 --> 00:01:30.000]  蝴蝶飛舞在花間,他會細看
[00:01:30.000 --> 00:01:35.000]  他會感到很好看,又感到很歡欣
[00:01:35.000 --> 00:01:38.000]  有人問他為何這麼歡欣
[00:01:38.000 --> 00:01:42.000]  他說因為這些都不是我應得的
[00:01:42.000 --> 00:01:44.000]  這些都是我多得的
[00:01:44.000 --> 00:01:48.000]  所以我感到蒙恩待
[00:01:48.000 --> 00:01:51.000]  所以就歡欣喜樂
[00:01:51.000 --> 00:01:54.000]  今天我們思考我們因信耶穌基督
[00:01:54.000 --> 00:01:57.000]  在上主面前得蒙恩待
[00:01:57.000 --> 00:02:02.000]  可以輕易而歡欣喜樂的信仰
[00:02:02.000 --> 00:02:08.000]  我們今天經課是羅馬書第五章第一至第十一節
[00:02:08.000 --> 00:02:10.000]  請大家打開聖經
[00:02:10.000 --> 00:02:15.000]  聖經新約的168頁
[00:02:16.000 --> 00:02:21.000]  聖經新約的168頁
[00:02:21.000 --> 00:02:29.000]  168頁上半版
[00:02:29.000 --> 00:02:36.000]  第五章的一至十一節
[00:02:36.000 --> 00:02:44.000]  這段經文有很多很多的恩惠、所以、藉著這些詞彙
[00:02:44.000 --> 00:02:49.000]  我們今天試圖借助三個關鍵字
[00:02:49.000 --> 00:02:52.000]  來分解當中的道
[00:02:52.000 --> 00:02:56.000]  這三個關鍵字就是我們今天講道的題目
[00:02:56.000 --> 00:03:01.000]  恩、信、清、義的恩、恩、恩
[00:03:01.000 --> 00:03:05.000]  在廣東話三個音都是同音
[00:03:05.000 --> 00:03:08.000]  當然在普通話就不同
[00:03:08.000 --> 00:03:13.000]  Rejoice in grace justified by faith
[00:03:13.000 --> 00:03:15.000]  第一個關鍵字是恩
[00:03:15.000 --> 00:03:17.000]  英文是cause或者because
[00:03:17.000 --> 00:03:21.000]  是一個邏輯連接詞
[00:03:21.000 --> 00:03:25.000]  意思是陳述思考論理的前因後果
[00:03:25.000 --> 00:03:29.000]  將它整個結構連接呈現起來
[00:03:29.000 --> 00:03:32.000]  第二個關鍵字是恩
[00:03:32.000 --> 00:03:34.000]  恩典的恩grace
[00:03:34.000 --> 00:03:38.000]  是一個名詞描述人的存有狀態
[00:03:38.000 --> 00:03:39.000]  State of being
[00:03:39.000 --> 00:03:42.000]  以及存有狀態的性質
[00:03:43.000 --> 00:03:45.000]  第三個關鍵字是欣
[00:03:45.000 --> 00:03:47.000]  欣賞的欣、歡欣的欣
[00:03:47.000 --> 00:03:50.000]  Rejoice或者joyfulness
[00:03:50.000 --> 00:03:52.000]  是一個動態詞
[00:03:52.000 --> 00:03:56.000]  意思是表述人的活動狀態
[00:03:56.000 --> 00:04:01.000]  或者是一種心靈的動態
[00:04:01.000 --> 00:04:03.000]  我們先由第一個關鍵字
[00:04:03.000 --> 00:04:07.000]  恩惠的恩、原因的恩入手
[00:04:07.000 --> 00:04:10.000]  我們一起數一數
[00:04:10.000 --> 00:04:13.000]  究竟你們的和合本這十一節經文
[00:04:13.000 --> 00:04:14.000]  一共有多少個恩字呢
[00:04:14.000 --> 00:04:15.000]  大家數一數
