
[00:00:00.000 --> 00:00:03.000]  開學一星期
[00:00:03.000 --> 00:00:05.000]  在開學第二天
[00:00:05.000 --> 00:00:07.000]  未夠一星期
[00:00:07.000 --> 00:00:09.000]  當我看新聞的時候
[00:00:09.000 --> 00:00:11.000]  有一位姓鍾的少年人
[00:00:11.000 --> 00:00:14.000]  竟然墮樓來身亡
[00:00:14.000 --> 00:00:15.000]  在第二天
[00:00:15.000 --> 00:00:18.000]  有一位年青人
[00:00:18.000 --> 00:00:20.000]  他在家裏
[00:00:20.000 --> 00:00:23.000]  亦都來自殺身亡
[00:00:23.000 --> 00:00:24.000]  在昨天
[00:00:24.000 --> 00:00:27.000]  當看新聞的時候
[00:00:27.000 --> 00:00:31.000]  來統計
[00:00:31.000 --> 00:00:34.000]  上年一些長者
[00:00:34.000 --> 00:00:36.000]  來自殺的數字
[00:00:36.000 --> 00:00:38.000]  三百多位
[00:00:38.000 --> 00:00:41.000]  差不多每一日一位
[00:00:41.000 --> 00:00:43.000]  聽到很多人
[00:00:43.000 --> 00:00:46.000]  因為不知道什麼事情
[00:00:46.000 --> 00:00:51.000]  來自我摧毀自己的生命
[00:00:51.000 --> 00:00:53.000]  心裏便會感覺到
[00:00:53.000 --> 00:00:55.000]  做人真是很難
[00:00:55.000 --> 00:00:56.000]  做人難
[00:00:56.000 --> 00:00:57.000]  難做人
[00:00:57.000 --> 00:00:59.000]  人難做
[00:00:59.000 --> 00:01:03.000]  真是做人很難
[00:01:03.000 --> 00:01:05.000]  不知道有時候
[00:01:05.000 --> 00:01:07.000]  可能一個人的情緒
[00:01:07.000 --> 00:01:09.000]  病影響自己
[00:01:09.000 --> 00:01:12.000]  或者生活真的面對種種的壓力
[00:01:12.000 --> 00:01:14.000]  有人統計
[00:01:14.000 --> 00:01:17.000]  現代人每日所面對的困難
[00:01:17.000 --> 00:01:19.000]  壓力有多少呢
[00:01:19.000 --> 00:01:20.000]  有人說
[00:01:20.000 --> 00:01:22.000]  每日有二十三件
[00:01:22.000 --> 00:01:24.000]  你要處理的難處
[00:01:24.000 --> 00:01:27.000]  我不知道大家贊不贊同
[00:01:27.000 --> 00:01:29.000]  我看看
[00:01:29.000 --> 00:01:31.000]  有一次坐車的時候
[00:01:31.000 --> 00:01:32.000]  剛剛開學
[00:01:32.000 --> 00:01:35.000]  有一個K1的小朋友
[00:01:35.000 --> 00:01:37.000]  就大聲在車裏喊
