
[00:00:00.000 --> 00:00:04.160]  今天我們來到一個新的港島系列
[00:00:04.160 --> 00:00:06.880]  隨著美國總統大選的落幕
[00:00:06.880 --> 00:00:11.720]  我們上一個港島系列跟美國大選有關
[00:00:11.720 --> 00:00:13.320]  已經告一段落了
[00:00:13.320 --> 00:00:15.880]  我們現在正式進入
[00:00:15.880 --> 00:00:17.400]  還有兩個星期就是感恩節
[00:00:17.400 --> 00:00:19.840]  我們就進入Thanksgiving的季節
[00:00:19.840 --> 00:00:21.600]  我們就想有一個感恩
[00:00:21.600 --> 00:00:24.120]  有關感恩的港島系列
[00:00:24.120 --> 00:00:26.440]  我知道在美國的感恩節
[00:00:26.440 --> 00:00:31.680]  其實感恩節是關於購物和吃東西的
[00:00:31.680 --> 00:00:33.800]  基本上今年有很多好的消息
[00:00:33.800 --> 00:00:35.280]  例如Paragon開了
[00:00:35.280 --> 00:00:37.400]  我知道很多人都已經去逛過了
[00:00:37.400 --> 00:00:40.240]  今年還有很多的商店都提早開門
[00:00:40.240 --> 00:00:41.680]  Walmart 往年12點
[00:00:41.680 --> 00:00:45.480]  今年聽說星期四8點就開門了
[00:00:45.480 --> 00:00:48.680]  所以就說很早想搶客
[00:00:48.680 --> 00:00:50.480]  所以Thanksgiving是很開心的日子
[00:00:50.480 --> 00:00:53.280]  有很多便宜的東西可以買
[00:00:53.280 --> 00:00:57.000]  但是在1621年
[00:00:57.000 --> 00:00:59.360]  當他們的清教徒從英國來到美國
[00:00:59.360 --> 00:01:02.800]  第一個感恩節跟我們今天的感恩節很不一樣
[00:01:02.800 --> 00:01:05.720]  當時他們的感恩節沒有今天那麼豐富
[00:01:05.720 --> 00:01:07.720]  有購物 很多東西吃
[00:01:07.720 --> 00:01:10.200]  他們一開始來的時候很艱苦
[00:01:10.200 --> 00:01:13.000]  因為當時他們受到英國國教的迫害
[00:01:13.000 --> 00:01:15.400]  於是一群的基督徒就決定
[00:01:15.400 --> 00:01:19.600]  來到美國去尋找一個更自由的地方可以敬拜神
[00:01:19.600 --> 00:01:21.440]  於是他們就坐船來到這裡
[00:01:21.440 --> 00:01:23.960]  在船上有經過風浪
[00:01:23.960 --> 00:01:29.080]  有經過水不足 食物不足 又有瘟疫
[00:01:29.080 --> 00:01:31.240]  其實在船上已經死了很多人
[00:01:31.240 --> 00:01:33.280]  能夠來到的都很感恩
[00:01:33.280 --> 00:01:36.520]  但是他們來到美國之後的第一個寒冬是很艱苦的
[00:01:36.520 --> 00:01:38.920]  因為他們不熟悉這裡的環境
[00:01:38.920 --> 00:01:41.600]  不知道還能有什麼可以生長
[00:01:41.600 --> 00:01:43.560]  所以第一個冬季
[00:01:43.560 --> 00:01:46.920]  他們所有來到這裡的人又死了一半
[00:01:46.920 --> 00:01:48.600]  只有一半的人可以生存
[00:01:48.600 --> 00:01:50.440]  雖然那個寒冬是很艱苦
[00:01:50.440 --> 00:01:53.200]  但是他們在那個寒冬決定
[00:01:53.200 --> 00:01:56.560]  他們仍然想舉行一個感謝祭的聚會
[00:01:56.560 --> 00:01:59.040]  因為這是他們在英國的時候有的傳統
[00:01:59.040 --> 00:02:02.160]  就是每一年到年尾他們豐收的時間
[00:02:02.160 --> 00:02:05.520]  他們就有一個感謝祭向神來獻上他們的感恩
[00:02:05.520 --> 00:02:08.400]  他們覺得無論環境有多艱苦
[00:02:08.400 --> 00:02:09.920]  總要有這樣的傳統
[00:02:09.920 --> 00:02:11.640]  仍然是應該感恩的
[00:02:11.640 --> 00:02:13.320]  所以是因為一節經文
[00:02:13.320 --> 00:02:18.160]  在徹薩羅里加前書五章十六十八節
[00:02:18.160 --> 00:02:21.560]  那裡說要常常喜樂 常常祈禱
[00:02:21.560 --> 00:02:24.120]  在任何環境中都要感謝
[00:02:24.120 --> 00:02:31.000]  這是上帝為你們這些屬於基督耶穌的人所定的旨意
[00:02:31.000 --> 00:02:32.560]  就是因為他們是基督徒
[00:02:32.560 --> 00:02:35.400]  他們知道神向他們所定的旨意
[00:02:35.400 --> 00:02:38.800]  就是在任何環境中都應該感謝
[00:02:38.800 --> 00:02:40.920]  所以他們覺得雖然第一個冬季
[00:02:40.920 --> 00:02:43.360]  死了很多親朋好友
[00:02:43.360 --> 00:02:45.400]  都不知道他們能否生存到這個冬季
[00:02:45.400 --> 00:02:50.120]  但他們都覺得他們應該仍然有感恩的聚會
[00:02:50.120 --> 00:02:53.960]  因為任何環境中都應該感恩
[00:02:53.960 --> 00:02:55.640]  我們很多時候不知道神的旨意
[00:02:55.640 --> 00:02:58.040]  到底在我們身上 要我們做什麼工作
[00:02:58.040 --> 00:02:59.120]  買那隻股票
[00:02:59.120 --> 00:03:00.480]  我們很多時候都想知道
[00:03:00.480 --> 00:03:01.800]  但很多時候都不知道
[00:03:01.800 --> 00:03:05.240]  但神其實在聖經中給我們很多啟示
[00:03:05.240 --> 00:03:08.840]  告訴我們 神創造我們在人生活著
[00:03:08.840 --> 00:03:10.800]  應該有一個什麼目標
[00:03:10.800 --> 00:03:13.360]  其中一個目標就是這節經文說得很清楚
[00:03:13.360 --> 00:03:16.040]  神要我們在學識任何環境中
[00:03:16.040 --> 00:03:18.240]  懂得喜樂 懂得禱告
[00:03:18.240 --> 00:03:20.560]  在任何環境中懂得感謝
[00:03:20.560 --> 00:03:22.160]  所以感恩 真正的感恩
[00:03:22.160 --> 00:03:24.240]  神要我們學識那種感恩
