
[00:00:00.000 --> 00:00:02.900]  我們繼續在上帝的話語上
[00:00:02.900 --> 00:00:05.700]  我們去認識的時候
[00:00:05.700 --> 00:00:07.800]  我們做一個禱告
[00:00:07.800 --> 00:00:10.400]  稱日主我們今天在你面前的時候
[00:00:10.400 --> 00:00:12.800]  我們都帶著一個謙卑的心
[00:00:12.800 --> 00:00:16.000]  因為上帝你自己實在太偉大
[00:00:16.000 --> 00:00:17.300]  我們在你面前的時候
[00:00:17.300 --> 00:00:19.800]  我們要恭敬
[00:00:19.800 --> 00:00:21.500]  我們要謹慎
[00:00:21.500 --> 00:00:23.700]  讓我們在你自己話語當中
[00:00:23.700 --> 00:00:25.800]  我們再被你自己激勵
[00:00:25.800 --> 00:00:27.500]  再被你提醒
[00:00:27.500 --> 00:00:29.200]  我們願意我們一生
[00:00:29.200 --> 00:00:31.100]  都給主你去使用
[00:00:31.100 --> 00:00:33.600]  因為我們願意高舉主你的聖名
[00:00:33.600 --> 00:00:34.500]  我們祈禱考堂
[00:00:34.500 --> 00:00:35.500]  奉主命求
[00:00:35.500 --> 00:00:37.700]  阿們
[00:00:37.700 --> 00:00:41.700]  今天我們一起去學習的經文
[00:00:41.700 --> 00:00:44.500]  大家都應該很熟悉的
[00:00:44.500 --> 00:00:46.300]  主土文
[00:00:46.300 --> 00:00:48.400]  信了主很久的
[00:00:48.400 --> 00:00:51.600]  都應該很認識這段經文
[00:00:51.600 --> 00:00:53.800]  懂得背的
[00:00:53.800 --> 00:00:56.500]  如果你是剛剛信耶穌不久
[00:00:56.500 --> 00:01:01.400]  這一段經文也是你一生的基督徒的生命當中
[00:01:01.400 --> 00:01:03.700]  都需要去學習的一段經文
[00:01:03.700 --> 00:01:07.000]  這個經文無論在什麼場合
[00:01:07.000 --> 00:01:09.900]  其實你都很多時會聽過的
[00:01:09.900 --> 00:01:11.500]  無論在學校
[00:01:11.500 --> 00:01:13.600]  在宣教工場
[00:01:13.600 --> 00:01:15.300]  在婚禮上面
[00:01:15.300 --> 00:01:18.000]  有沒有人在婚禮聽過主土文
[00:01:18.000 --> 00:01:20.200]  在葬禮都有
[00:01:20.200 --> 00:01:21.300]  所以這段經文
[00:01:21.300 --> 00:01:23.500]  耶穌基督教導我們這段經文
[00:01:23.500 --> 00:01:28.800]  其實是我們一生不生受用的一段很好的經文
[00:01:28.800 --> 00:01:31.700]  這段經文我們可以再今天
[00:01:31.700 --> 00:01:33.400]  我們一起大聲的
[00:01:33.400 --> 00:01:34.700]  因為耶穌教導我們
[00:01:34.700 --> 00:01:39.900]  我們一起再用這段經文去和上帝說話
[00:01:39.900 --> 00:01:40.700]  我們一起讀
[00:01:40.700 --> 00:01:43.100]  在《馬蹄風》六章九到十三節
[00:01:43.100 --> 00:01:44.400]  一二三
[00:01:44.400 --> 00:01:46.400]  我們在天上的乎
[00:01:46.400 --> 00:01:49.000]  願人都尊你的名為聖
[00:01:49.000 --> 00:01:50.800]  願你的國降臨
[00:01:50.800 --> 00:01:53.300]  願你的旨意行在地上
[00:01:53.300 --> 00:01:55.300]  如同行在天上
[00:01:55.300 --> 00:01:57.100]  我們日用的飲食
[00:01:57.100 --> 00:01:58.800]  今日賜給我們
[00:01:58.800 --> 00:02:00.400]  免我們的債
[00:02:00.400 --> 00:02:02.900]  如同我們免了人的債
[00:02:02.900 --> 00:02:05.000]  不叫我們遇見試探
[00:02:05.000 --> 00:02:07.000]  救我們脫離兇惡
[00:02:07.000 --> 00:02:10.200]  因為角度 權柄 榮耀
[00:02:10.200 --> 00:02:11.700]  全是你的
[00:02:11.700 --> 00:02:13.100]  直到永遠
[00:02:13.100 --> 00:02:15.000]  阿們
[00:02:15.000 --> 00:02:17.300]  這段經文很短吧
[00:02:17.300 --> 00:02:19.500]  不是很長
[00:02:19.500 --> 00:02:22.400]  有多少人會背這段經文
[00:02:22.400 --> 00:02:24.000]  哇 很厲害
