
[00:00:00.000 --> 00:00:12.000]  大家早上好,我們繼續思想《創世紀》裡面那一對很著名的孿生兄弟
[00:00:12.000 --> 00:00:18.000]  上一個星期我們Pastor Brian就已經幫他講了這個大孿,以掃
[00:00:18.000 --> 00:00:26.000]  今天我們講可能比較更加著名的弟弟,就是雅各
[00:00:26.000 --> 00:00:34.000]  雅各我一邊看他的生平的時候,我突然間有一個感覺,他真的很現代,很有現代感
[00:00:34.000 --> 00:00:39.000]  雖然他是三千多年前的人,誰知道很有現代感呢?
[00:00:39.000 --> 00:00:48.000]  第一,雅各的性格,他的習慣是要爭,是要贏的,很現代吧?
[00:00:48.000 --> 00:00:57.000]  第二,我們發覺雅各他出的手法都很現代,他很喜歡定合約
[00:00:57.000 --> 00:01:03.000]  很文明的,他跟他的哥哥以掃定合約,騙了他長子的名分
[00:01:03.000 --> 00:01:09.000]  後來他出走去了他舅父拉班那裡,又跟他定合約
[00:01:09.000 --> 00:01:18.000]  於是就把他的羊、牛,全部都騙了,他跟你是定合約,你答應過的
[00:01:18.000 --> 00:01:22.000]  不過後面其實他有東西的,他有一手的
[00:01:22.000 --> 00:01:27.000]  你跟他定了合約之後你就慘了,一直被他騙了,是不是很現代?
[00:01:27.000 --> 00:01:37.000]  很屬狂吧?所以我們又發覺雅各他做這些一切的時候,他的腦筋很厲害
[00:01:37.000 --> 00:01:46.000]  很精密,沒有失手的,部署,每一樣東西他都完全是有把握的
[00:01:46.000 --> 00:01:51.000]  他完全是知道要做什麼,然後他是不會失手的
[00:01:51.000 --> 00:01:57.000]  這個也是我們看到很多我們周圍的人,可能你自己也是這樣
[00:01:57.000 --> 00:02:02.000]  還有一樣東西就很現代了,就好像現代人一樣
[00:02:02.000 --> 00:02:13.000]  他很自信的,很能幹,神要他幫忙的時候,他會找他的
[00:02:13.000 --> 00:02:19.000]  找完之後,就丟在一旁,不用理他了,我能幹的時候就不用理他
[00:02:19.000 --> 00:02:23.000]  是不是很現代?所以今天我相信大家,我們出來看雅各的時候
[00:02:23.000 --> 00:02:29.000]  不是看一個三千多年前的人,是看我們自己,或者可能是看你周圍的人
[00:02:29.000 --> 00:02:32.000]  不過我相信我想和大家看看你自己
