
[00:00:00.000 --> 00:00:03.060]  希望大家看得到這個題目應該都很開胃
[00:00:03.060 --> 00:00:06.140]  好 今天也很特別
[00:00:06.140 --> 00:00:08.760]  今天可能會用一種新的講道方法
[00:00:08.760 --> 00:00:10.300]  叫做俄羅斯講道
[00:00:10.300 --> 00:00:12.440]  知道什麼是俄羅斯講道嗎?
[00:00:12.440 --> 00:00:16.540]  俄羅斯輪盤 大家知道是什麼嗎?
[00:00:16.540 --> 00:00:19.140]  就是轉子彈 轉到哪裡
[00:00:19.140 --> 00:00:21.860]  開槍 開得中就中 是不是?
[00:00:21.860 --> 00:00:24.400]  今天因為我狀態不太好
[00:00:24.400 --> 00:00:25.900]  俄羅斯的意思
[00:00:25.900 --> 00:00:26.800]  我講到差不多
[00:00:26.800 --> 00:00:28.100]  如果我受不了
[00:00:28.100 --> 00:00:29.140]  我沒氣了
[00:00:29.340 --> 00:00:30.540]  那就完了
[00:00:30.540 --> 00:00:33.740]  今天可能講不完這麼多點
[00:00:33.740 --> 00:00:35.740]  因為狀態不太好
[00:00:35.740 --> 00:00:38.840]  希望都能夠盡量去講
[00:00:38.840 --> 00:00:40.460]  但是講得太喘氣
[00:00:40.460 --> 00:00:42.300]  我應該都不太OK
[00:00:42.300 --> 00:00:44.640]  所以求主引領我們
[00:00:44.640 --> 00:00:46.940]  俄羅斯一開 中了子彈
[00:00:46.940 --> 00:00:48.540]  我們就停在那裡
[00:00:48.540 --> 00:00:50.800]  我們下次再講也可以的
[00:00:50.800 --> 00:00:52.540]  好 我們一起祈禱
[00:00:52.540 --> 00:00:55.140]  好 天父 我們感謝你
[00:00:55.140 --> 00:00:57.140]  讓我們可以讀你的說話
[00:00:57.140 --> 00:00:59.240]  讓我們去藉著你的聖經
[00:00:59.240 --> 00:01:02.100]  讓我們生命可以更得意
[00:01:02.100 --> 00:01:04.100]  讓你去造就 去建立
[00:01:04.100 --> 00:01:05.740]  求主你幫助我們
[00:01:05.740 --> 00:01:06.760]  聽我們祈禱
[00:01:06.760 --> 00:01:08.760]  奉耶穌的名字而求
[00:01:08.760 --> 00:01:09.760]  阿們
[00:01:09.760 --> 00:01:15.060]  好 今天定了一個題目
[00:01:15.060 --> 00:01:16.660]  叫做「福有由雞」
[00:01:16.660 --> 00:01:18.260]  不知道你有沒有聽過
[00:01:18.260 --> 00:01:19.600]  這個說法
[00:01:19.600 --> 00:01:22.040]  沒有人沒有人聽過?
[00:01:22.040 --> 00:01:24.540]  有啊 你是我的年代
[00:01:24.540 --> 00:01:25.500]  待會我講一些例子
[00:01:25.500 --> 00:01:26.960]  你就一定明白了
[00:01:26.960 --> 00:01:29.060]  為什麼會這樣講呢?
[00:01:29.060 --> 00:01:30.540]  為什麼這個題目叫「福有由雞」
[00:01:30.540 --> 00:01:31.540]  因為事實上
[00:01:31.540 --> 00:01:33.540]  人們很期望有福氣
[00:01:33.540 --> 00:01:36.540]  和由雞有一個關係
[00:01:36.540 --> 00:01:37.840]  為什麼會這樣講呢?
[00:01:37.840 --> 00:01:40.540]  因為事實上在我很小的時候
[00:01:40.540 --> 00:01:42.260]  我每一次看電視
[00:01:42.260 --> 00:01:44.660]  我都會看到一個這樣的
[00:01:44.660 --> 00:01:46.660]  圖畫的畫面
[00:01:46.660 --> 00:01:49.860]  是的 就是以前的大電視
[00:01:49.860 --> 00:01:51.360]  以前的電視機是這樣的
[00:01:51.360 --> 00:01:52.540]  很大部的電視機
[00:01:52.540 --> 00:01:53.540]  電視機裡面
[00:01:53.540 --> 00:01:55.260]  每逢一些節日
[00:01:55.260 --> 00:01:56.660]  就有一個人走出來
[00:01:56.660 --> 00:01:58.460]  那個人是很瘦的
[00:01:58.460 --> 00:02:00.860]  就是臉上沒什麼肉的
[00:02:00.860 --> 00:02:05.060]  他很淒慘地唱著一首歌
[00:02:05.060 --> 00:02:06.060]  那首歌怎麼唱呢?
[00:02:06.060 --> 00:02:10.860]  懶得我騰騰震啊
[00:02:10.860 --> 00:02:11.860]  你有沒有聽過這個?
[00:02:11.860 --> 00:02:12.360]  有啊
[00:02:12.360 --> 00:02:13.360]  有啊
[00:02:13.360 --> 00:02:14.860]  哇 那時候我小時候
[00:02:14.860 --> 00:02:15.360]  我不知道
[00:02:15.360 --> 00:02:17.560]  看到這個人這麼瘦
[00:02:17.560 --> 00:02:18.660]  又懶得騰騰震
[00:02:18.660 --> 00:02:20.260]  沒有一口好吃
[00:02:20.260 --> 00:02:21.960]  接著他就說
[00:02:21.960 --> 00:02:25.360]  為善罪樂 福有由歸
[00:02:25.360 --> 00:02:28.360]  我小時候就聽了「福有由雞」
[00:02:28.360 --> 00:02:30.060]  就以為有「由雞」
[00:02:30.060 --> 00:02:32.560]  原來這個人走出來
[00:02:32.560 --> 00:02:33.560]  原來是很出名的
[00:02:33.560 --> 00:02:35.460]  叫做辛馬斯登
[00:02:35.460 --> 00:02:37.060]  他唱這首歌就是
[00:02:37.060 --> 00:02:41.460]  為了當時很多的籌款節目
[00:02:41.460 --> 00:02:43.260]  就走出來唱這首歌
[00:02:43.260 --> 00:02:46.360]  唱完之後就希望大家
[00:02:46.360 --> 00:02:48.060]  為善捐錢
[00:02:48.060 --> 00:02:51.060]  捐完錢你就有福氣了
[00:02:51.060 --> 00:02:53.760]  所以就不如叫人捐錢
[00:02:53.760 --> 00:02:55.660]  我看到他這麼瘦沒東西吃
[00:02:55.660 --> 00:02:56.160]  我就心想
[00:02:56.160 --> 00:02:57.360]  我家裡盡量都捐
[00:02:57.360 --> 00:02:58.760]  所以有時候都試一下
[00:02:58.760 --> 00:03:01.860]  可不可以打電話去捐一兩塊錢
[00:03:01.860 --> 00:03:03.260]  那時候一兩塊錢都很多了
[00:03:03.260 --> 00:03:04.760]  但是見到
[00:03:04.760 --> 00:03:06.160]  這樣就不錯了
[00:03:06.160 --> 00:03:07.860]  好像幫到這個人一樣
[00:03:07.860 --> 00:03:09.860]  事實上
[00:03:09.860 --> 00:03:13.860]  我想這個人為什麼被邀請去做
[00:03:13.860 --> 00:03:16.960]  唱這首歌或者籌款
[00:03:16.960 --> 00:03:18.860]  因為都很想藉著他
[00:03:18.860 --> 00:03:22.160]  去邀請別人去做一些善事
[00:03:22.160 --> 00:03:24.360]  以致能夠得到福氣
[00:03:24.360 --> 00:03:25.360]  所以這裡說
[00:03:25.360 --> 00:03:27.560]  其實「福有由歸」這個「由」
[00:03:27.560 --> 00:03:29.060]  就是說
[00:03:29.060 --> 00:03:31.660]  有些人藉著一些好的行為
[00:03:31.660 --> 00:03:33.460]  一些德行、一些善心
[00:03:33.460 --> 00:03:35.960]  就能夠得到福氣
[00:03:35.960 --> 00:03:38.560]  事實上很多人都很期待
[00:03:38.560 --> 00:03:41.060]  能夠得到福氣
[00:03:41.060 --> 00:03:44.960]  那信耶穌有沒有福氣
[00:03:44.960 --> 00:03:46.160]  信耶穌有福氣
[00:03:46.160 --> 00:03:47.060]  一定有
[00:03:47.060 --> 00:03:48.960]  那知不知道有什麼福氣呢
[00:03:48.960 --> 00:03:51.460]  特別在我們香港的時候
[00:03:51.460 --> 00:03:52.960]  我們五六十年代
[00:03:52.960 --> 00:03:55.260]  原來真的有這麼說的
[00:03:55.260 --> 00:03:58.160]  信耶穌有什麼福氣呢
[00:03:58.160 --> 00:03:59.960]  信耶穌是有水牛的
[00:03:59.960 --> 00:04:01.460]  不知道你們有沒有聽過這個
[00:04:01.460 --> 00:04:04.460]  你們差不多年紀那些都聽過
[00:04:04.460 --> 00:04:05.960]  信耶穌有水牛
[00:04:05.960 --> 00:04:07.860]  當然這個就是當時一個
[00:04:07.860 --> 00:04:11.560]  民間的一個傳聞
[00:04:11.560 --> 00:04:12.560]  因為有一間教會
[00:04:12.560 --> 00:04:14.760]  就黏在了外面的牆上
[00:04:14.760 --> 00:04:17.060]  寫著「信耶穌有永生」
[00:04:17.060 --> 00:04:18.760]  但是日子一九之後
[00:04:18.760 --> 00:04:21.260]  那個「永」字就掉了
[00:04:21.260 --> 00:04:23.060]  上面那一節爛了
[00:04:23.060 --> 00:04:25.360]  生字下面那一節就爛了
[00:04:25.360 --> 00:04:26.760]  所以門口就變成
[00:04:26.760 --> 00:04:29.060]  「信耶穌有水牛」
[00:04:29.060 --> 00:04:30.660]  所以很多人就因為這樣
[00:04:30.660 --> 00:04:32.960]  開始很願意去「番教會」
[00:04:32.960 --> 00:04:36.160]  因為「番教會」就有水牛了
[00:04:36.160 --> 00:04:38.160]  事實上真的有時候
[00:04:38.160 --> 00:04:39.760]  信耶穌的人「番教會」
[00:04:39.760 --> 00:04:41.760]  都很期望有福氣
[00:04:41.760 --> 00:04:44.560]  甚至在香港五六十年代
[00:04:44.560 --> 00:04:45.860]  就有什麼呢
[00:04:45.860 --> 00:04:47.660]  奶粉
[00:04:47.660 --> 00:04:50.960]  當時教會就會派奶粉的
[00:04:50.960 --> 00:04:53.960]  不知道你吃過這些奶粉沒有
[00:04:53.960 --> 00:04:55.160]  只有你吃過對不對
[00:04:55.160 --> 00:04:56.560]  你吃這些奶粉是大的
[00:04:56.560 --> 00:04:57.860]  我想應該
[00:04:57.860 --> 00:05:00.960]  事實上當時真的很多的家庭
[00:05:00.960 --> 00:05:02.960]  都是藉著這些教會
[00:05:02.960 --> 00:05:04.560]  願意去派一些奶粉
[00:05:04.560 --> 00:05:06.960]  一些洲際的食物幫助
[00:05:06.960 --> 00:05:10.260]  當時特別在五六十年代
[00:05:10.260 --> 00:05:13.260]  其實很多人在國內
[00:05:13.260 --> 00:05:15.760]  走到來香港的地方裡面
[00:05:15.760 --> 00:05:18.060]  其實當時的經濟環境
