
[00:00:00.000 --> 00:00:03.400]  (主持人) 各位兄弟姐妹平安,我們今天再看詩篇,
[00:00:03.400 --> 00:00:05.700]  我每個月都會講一次詩篇,
[00:00:05.700 --> 00:00:10.200]  每個月講詩篇,我就會十篇選一篇,
[00:00:10.200 --> 00:00:13.200]  好像上個月都是我說的,
[00:00:13.200 --> 00:00:15.400]  所以我也有解釋過這個 version L,
[00:00:15.400 --> 00:00:18.000]  所以選了十九篇,你也很熟悉是吧?
[00:00:18.000 --> 00:00:20.300]  這個詩歌我一會兒跟你唱,
[00:00:20.300 --> 00:00:23.800]  這首詩篇也是對我們生命裡面很大的提醒,
[00:00:23.800 --> 00:00:27.900]  因為神用兩種言語,很親切地跟我們講說話,
[00:00:27.900 --> 00:00:30.400]  兩種言語,一種是無言語的言語,
[00:00:30.400 --> 00:00:32.200]  一種是聖經的話語,
[00:00:32.200 --> 00:00:34.000]  所以第一種言語,這裡提到,
[00:00:34.000 --> 00:00:38.200]  「諸天術說神的榮耀,窮倉存揚他的手段」,
[00:00:38.200 --> 00:00:40.400]  先 make 一個 remark,
[00:00:40.400 --> 00:00:43.700]  手段我們平時用就不是很好,是吧?
[00:00:43.700 --> 00:00:48.500]  手段很毒辣的,是吧?手段又耍的,是吧?
[00:00:48.500 --> 00:00:51.800]  所以其實一百年前的時候,聖經最初翻譯,
[00:00:51.800 --> 00:00:54.200]  就未有這個很負面的含義,
[00:00:54.200 --> 00:00:58.200]  但是現代,我們慢慢覺得這個字眼不是那麼容易,
[00:00:58.200 --> 00:01:00.000]  而聖經原文也沒有這個負面含義的,
[00:01:00.000 --> 00:01:04.000]  所以現在你可以看回和修本的時候,
[00:01:04.000 --> 00:01:07.600]  都是「窮倉存揚他的作為」,OK?
[00:01:07.600 --> 00:01:09.800]  所以沒有負面的意思在這裡。
[00:01:09.800 --> 00:01:14.300]  所以其實神是藉著神祂自己的創造,
[00:01:14.300 --> 00:01:17.700]  向我們述說祂的榮耀,祂的作為,
[00:01:17.700 --> 00:01:21.400]  使我們感受到祂給我們的所有的恩惠,
[00:01:21.400 --> 00:01:23.100]  祂的慈愛,祂的大能,
[00:01:23.100 --> 00:01:24.900]  是彰顯在宇宙之中。
[00:01:24.900 --> 00:01:27.000]  當我們站在天地之間,
[00:01:27.000 --> 00:01:27.900]  不用說任何話,
[00:01:27.900 --> 00:01:30.900]  你看一看,感受到那麼浩瀚的宇宙,那麼偉大。
[00:01:30.900 --> 00:01:32.200]  但是我們這麼渺小的人,
[00:01:32.200 --> 00:01:35.900]  上帝供應我們的需要,讓我們的需要一無所缺,
[00:01:35.900 --> 00:01:39.800]  感受到天父對我們的慈愛,庇佑、看顧。
[00:01:39.800 --> 00:01:40.900]  在這裡提到:
[00:01:40.900 --> 00:01:42.400]  「這日到那日發出言語,
[00:01:42.400 --> 00:01:44.500]  這日到那日傳出知識,
