
[00:00:00.000 --> 00:00:06.460]  在最近的同志平權的爭議聲音裏面
[00:00:06.460 --> 00:00:08.420]  有一種聲音很特別的
[00:00:08.420 --> 00:00:10.200]  有人這樣稱呼
[00:00:10.200 --> 00:00:15.660]  就叫做「基督徒不代表基督徒」
[00:00:15.660 --> 00:00:17.860]  我們習慣了在教會生活的
[00:00:17.860 --> 00:00:21.820]  亦都覺得這個並不是什麼很出奇的事
[00:00:21.820 --> 00:00:25.700]  不過就反映了在這個議題上
[00:00:25.700 --> 00:00:31.640]  我們立場上的確有不同的地方
[00:00:31.640 --> 00:00:37.400]  我想起在這個爭議的背後
[00:00:37.400 --> 00:00:43.000]  除了我們對人權、自由等等的價值
[00:00:43.000 --> 00:00:46.400]  有不同的底線之外
[00:00:46.400 --> 00:00:51.200]  亦都可能在聖經、神學的層次裏面
[00:00:51.200 --> 00:00:55.260]  當聖經宣告說「神愛世人」
[00:00:55.260 --> 00:01:01.440]  甚至原來的文字說「神愛世界」的大前提之下
[00:01:01.440 --> 00:01:07.700]  究竟世人和世界是否可以依然固我
[00:01:07.700 --> 00:01:09.800]  不需要改變
[00:01:09.800 --> 00:01:12.940]  又或者我們是不喜歡改變
[00:01:12.940 --> 00:01:22.200]  但是神都要無條件地繼續愛世人、世界下去
[00:01:22.200 --> 00:01:26.300]  你和我可能很斬釘截鐵地說「當然不是」
[00:01:26.300 --> 00:01:29.840]  「怎可能這樣回答這個問題」
[00:01:29.840 --> 00:01:33.700]  但是對於另一些人來說
[00:01:33.700 --> 00:01:36.600]  我不知道他們是否還沒有想到這一點
[00:01:36.600 --> 00:01:45.600]  但是當保羅提到說在基督徒得救之後
[00:01:45.600 --> 00:01:50.700]  他仍然未完全領受
[00:01:50.700 --> 00:01:56.140]  又或者他的生命都未曾成為完全
[00:01:56.140 --> 00:02:01.140]  保羅說他仍然在竭力追求
[00:02:01.140 --> 00:02:04.480]  你可能都記得保羅在一個
[00:02:04.480 --> 00:02:09.900]  文雅一點說叫做「身陷囹圄」的情況下
[00:02:09.900 --> 00:02:11.700]  即是坐牢
[00:02:11.700 --> 00:02:19.300]  又或者最少都是被軟禁的情況下
[00:02:19.300 --> 00:02:26.400]  他沒有嘆息這個世界這個處境多麼荒謬
[00:02:26.400 --> 00:02:29.740]  他亦都不是因為這樣
[00:02:29.740 --> 00:02:32.540]  只有一顆眼淚
[00:02:32.540 --> 00:02:35.500]  但是他反而寫下了
[00:02:35.500 --> 00:02:38.100]  我們剛才讀過的菲律賓書
[00:02:38.100 --> 00:02:41.540]  我想稱它為「豪情壯語」
[00:02:41.540 --> 00:02:46.300]  又或者說一段很難能可貴的說話
[00:02:46.300 --> 00:02:49.740]  因為一個人被軟禁
[00:02:49.740 --> 00:02:58.240]  但是他竟然說出他還有事情要竭力追求
[00:02:58.240 --> 00:03:01.240]  這個是很不簡單的事情
[00:03:01.240 --> 00:03:04.140]  不過我們未曾聽得明保羅說
[00:03:04.140 --> 00:03:08.000]  要竭力追求什麼之前
[00:03:08.000 --> 00:03:10.700]  我們剛才由第十二節讀起
[00:03:10.700 --> 00:03:14.240]  已經好像不是很明白
[00:03:14.240 --> 00:03:18.840]  因為他一開始說他不是已經得著
[00:03:18.840 --> 00:03:21.040]  他不是已經完全了
[00:03:21.040 --> 00:03:23.440]  他還要追求
[00:03:23.440 --> 00:03:24.440]  但是結果是什麼呢?
[00:03:24.440 --> 00:03:30.640]  「或者可以得著基督耶穌所以得著我們」
[00:03:30.640 --> 00:03:34.240]  普遣哀讀的是和合本
[00:03:34.240 --> 00:03:38.940]  「或者可以得著」
[00:03:38.940 --> 00:03:41.040]  都未知道得著什麼
[00:03:41.040 --> 00:03:47.040]  就已經說「或者」好像很訝焉
[00:03:47.040 --> 00:03:48.840]  這句未算最訝焉
[00:03:48.840 --> 00:03:53.440]  你有讀過《尚文》的話
[00:03:53.440 --> 00:03:56.140]  第三章第十一節又說
