
[00:00:00.000 --> 00:00:05.000]  我們先讀今天的經文
[00:00:05.000 --> 00:00:09.000]  我們先讀《馬風陰》14章3到9節
[00:00:09.000 --> 00:00:12.000]  我們一起讀這段聖經
[00:00:12.000 --> 00:00:14.000]  1 2 3
[00:00:14.000 --> 00:00:19.000]  耶穌在百大尼、麻風病人、西門家裡坐席的時候
[00:00:19.000 --> 00:00:25.000]  有一個女人拿著一玉瓶極貴的順拿達香膏來
[00:00:25.000 --> 00:00:29.000]  打破玉瓶,把膏繞在耶穌的頭上
[00:00:29.000 --> 00:00:32.000]  有幾個人心中很不高興
[00:00:32.000 --> 00:00:35.000]  說:「何必這樣浪費香膏呢?
[00:00:35.000 --> 00:00:40.000]  這香膏可以賣三百多個銀幣周濟窮人
[00:00:40.000 --> 00:00:42.000]  他們就對那女人生氣」
[00:00:42.000 --> 00:00:47.000]  耶穌說:「由他罷,為什麼難為他呢?
[00:00:47.000 --> 00:00:50.000]  他在我身上做的是一件美事
[00:00:50.000 --> 00:00:54.000]  因為常有窮人和你們在一起
[00:00:54.000 --> 00:00:57.000]  要向他們行善隨時都可以
[00:00:57.000 --> 00:01:00.000]  但是你們不常有我
[00:01:00.000 --> 00:01:03.000]  我所做的是盡他所能的
[00:01:03.000 --> 00:01:05.000]  他是為了我的安葬
[00:01:05.000 --> 00:01:08.000]  把香膏預先繞在我身上
[00:01:08.000 --> 00:01:10.000]  我實在告訴你們
[00:01:10.000 --> 00:01:15.000]  普天之下,無論在什麼地方傳這福音
[00:01:15.000 --> 00:01:20.000]  都要述說這女人所做的來紀念他」
[00:01:20.000 --> 00:01:22.000]  丁子梅,如果我跟你說
[00:01:22.000 --> 00:01:26.000]  你下個星期再回來崇拜的時候
[00:01:26.000 --> 00:01:31.000]  你將你心目中最重要、最貴重的東西
[00:01:31.000 --> 00:01:35.000]  帶來教會,奉獻給耶穌
[00:01:35.000 --> 00:01:42.000]  你會帶一件什麼來?
[00:01:42.000 --> 00:01:45.000]  不知道子梅會不會帶一隻鑽石戒指來
[00:01:45.000 --> 00:01:48.000]  你說:這是我結婚的時候
[00:01:48.000 --> 00:01:50.000]  我丈夫買給我的
[00:01:50.000 --> 00:01:53.000]  在聖壇面前,他說我戴上的時候
[00:01:53.000 --> 00:01:57.000]  成就了一段非常甜美的婚姻生活
[00:01:57.000 --> 00:02:02.000]  所以很重要,是我的自保
[00:02:02.000 --> 00:02:07.000]  弟兄可能帶一條又舊又殘
[00:02:07.000 --> 00:02:11.000]  現在還不流行的領帶來
[00:02:11.000 --> 00:02:13.000]  他說:我追求我的女朋友
[00:02:13.000 --> 00:02:15.000]  現在是我太太的時候
[00:02:15.000 --> 00:02:18.000]  很多人追求她的,她選了我
[00:02:18.000 --> 00:02:21.000]  然後送了這條領帶給我
[00:02:21.000 --> 00:02:24.000]  我並不捨得帶,所以就放在那裡
[00:02:24.000 --> 00:02:26.000]  不過現在很殘舊又不流行,我都不夾
[00:02:26.000 --> 00:02:31.000]  他說:神啊,我最珍貴了,所以我帶來給你
[00:02:31.000 --> 00:02:33.000]  又或者你帶一個人來
[00:02:33.000 --> 00:02:37.000]  你說:神啊,是這個人將福音傳給我的
[00:02:37.000 --> 00:02:40.000]  沒有他,我就不認識你
[00:02:40.000 --> 00:02:43.000]  沒有他,我就得不到永生的盼望
[00:02:43.000 --> 00:02:48.000]  又或者神啊,這是我第一個帶他信主的人
[00:02:48.000 --> 00:02:51.000]  是我為你所結的第一個果子
[00:02:51.000 --> 00:02:55.000]  我過去很怕傳福音的,覺得很難有人信主的
[00:02:55.000 --> 00:02:59.000]  但是因為這個人信了耶穌,激勵我很放膽的
