
[00:00:00.000 --> 00:00:13.000]  有一個故事說到一個資格老的天使有一天帶了一個年輕的天使在星空中飛翔
[00:00:13.000 --> 00:00:23.000]  那麼這個老天使就指著很多星球中間有一個就指給那個小天使看
[00:00:23.000 --> 00:00:30.000]  他說你注意看一看那個特別的那個星球是特別的
[00:00:30.000 --> 00:00:40.000]  這小天使說這麼小的一個星球這麼一個星星光度也不是很大也不什麼很特別
[00:00:40.000 --> 00:00:45.000]  怎麼值得我們這樣注意呢這老天使就對他說了
[00:00:45.000 --> 00:00:51.000]  這個就是神的兒子耶穌基督降生的那個地方
[00:00:51.000 --> 00:00:59.000]  這個地球看起來好像在宇宙這麼多的星球中間是很小的
[00:00:59.000 --> 00:01:05.000]  但是卻是一個非常重要非常有意義的一個星球
[00:01:05.000 --> 00:01:13.000]  主耶穌在兩千年以前他來到這個地球他是神他來到這個地方
[00:01:13.000 --> 00:01:19.000]  那麼這個是一個新的一個時代的開始
[00:01:19.000 --> 00:01:31.000]  在過去的時候神只是人是看不見他也不能夠經常在地上也不能夠經常在人的中間
[00:01:31.000 --> 00:01:41.000]  那麼他的兒子耶穌在兩千多年以前他降生了在猶太地的玻璃墳降生了
[00:01:41.000 --> 00:01:44.000]  那麼這就是一個新的時代開始
[00:01:44.000 --> 00:01:56.000]  在舊約的時候也有預言以賽亞書第七章第九章一直都提到要有同女懷孕生子
[00:01:56.000 --> 00:02:03.000]  他名叫做以馬內利以馬內利的意思就是神與人同在
[00:02:03.000 --> 00:02:11.000]  那麼就說到神要把他的兒子帶他來到人的中間
[00:02:11.000 --> 00:02:21.000]  人不是只是可以在靈裡頭來認識他而是他能夠在肉身中間顯現能夠別人看見
[00:02:21.000 --> 00:02:31.000]  所以這個同女懷孕生子在很早的時候在耶穌降生以前七百多年在聖經上就有預言了
[00:02:31.000 --> 00:02:37.000]  那麼我們就要分享耶穌的降生
[00:02:37.000 --> 00:02:42.000]  這節聖經就是馬太福音第一章二十一節所說的
[00:02:42.000 --> 00:02:47.000]  他將要生一個兒子你要給他起名叫耶穌
[00:02:47.000 --> 00:02:51.000]  因他要將自己的百姓從罪惡裡救出來
[00:02:51.000 --> 00:03:00.000]  第一個我們要看到的思想題目就是為什麼耶穌是有同女懷孕而生的
[00:03:00.000 --> 00:03:09.000]  這個教義是那麼重要在以賽亞書裡頭有提過第七章有提過
[00:03:09.000 --> 00:03:14.000]  有個同女懷孕生子你要給她起名但名字叫做以馬內利
[00:03:14.000 --> 00:03:19.000]  以馬內利就是神與人同在
[00:03:19.000 --> 00:03:22.000]  那為什麼這個教義這麼重要呢
[00:03:22.000 --> 00:03:26.000]  因為在基督教中間在這個教會當中
[00:03:26.000 --> 00:03:32.000]  在這兩千年歷史當中有一些錯誤的提法
[00:03:32.000 --> 00:03:37.000]  不相信特別是新派的自由派的神學的
[00:03:37.000 --> 00:03:42.000]  他不相信這個是同女生子
[00:03:42.000 --> 00:03:47.000]  不是瑪利亞是同女懷孕生的耶穌
[00:03:47.000 --> 00:03:50.000]  他不相信
[00:03:50.000 --> 00:03:57.000]  那我們怎麼這麼重要呢我們要看到這個教訓是確定
[00:03:57.000 --> 00:04:03.000]  耶穌是神性他是神
[00:04:03.000 --> 00:04:10.000]  他是神才能夠成全這個永遠的救恩
[00:04:10.000 --> 00:04:17.000]  如果他是由男女通過天然的生產過程而產生的
[00:04:17.000 --> 00:04:22.000]  那就不是神的肉身顯現了
[00:04:22.000 --> 00:04:28.000]  如果說他來到世上是按照人一樣的來到世上
[00:04:28.000 --> 00:04:35.000]  即使有聖靈能夠用特殊的方式降在他身上
[00:04:35.000 --> 00:04:37.000]  那麼他仍然是一個人
[00:04:37.000 --> 00:04:47.000]  在教會裡頭也有一些神所用的僕人跟使女他有聖靈特別的能力在他身上
[00:04:47.000 --> 00:04:54.000]  他能夠做出一些很特別的事情做出一些奇蹟
[00:04:54.000 --> 00:04:56.000]  但是他仍然是人
[00:04:56.000 --> 00:05:01.000]  如果耶穌只是一個普通的人
[00:05:01.000 --> 00:05:08.000]  那麼即使聖靈用很大的特殊的形式降臨在他身上
[00:05:08.000 --> 00:05:11.000]  那麼他仍然是一個人
[00:05:11.000 --> 00:05:16.000]  但是我們看到這個是他是在肉身顯現
[00:05:16.000 --> 00:05:20.000]  就是神的肉身顯現
[00:05:20.000 --> 00:05:25.000]  就是說他本來是神
[00:05:25.000 --> 00:05:29.000]  但是他在這個時候來到人中間
[00:05:29.000 --> 00:05:36.000]  他就在人的身體在人的肉身裡頭顯現出來
[00:05:36.000 --> 00:05:39.000]  肉身不是一個暫時的
[00:05:39.000 --> 00:05:44.000]  那是他從這個時候開始就有這個肉身
[00:05:44.000 --> 00:05:49.000]  那麼這個是在神來到人的中間
[00:05:49.000 --> 00:05:53.000]  所以這個是一個很特別的事情
[00:05:53.000 --> 00:05:57.000]  那耶穌自己也多次宣告
[00:05:57.000 --> 00:06:02.000]  他是從天降下仍舊在天
[00:06:02.000 --> 00:06:06.000]  這表示他是先存性
[00:06:06.000 --> 00:06:08.000]  先存性的意思就是
[00:06:08.000 --> 00:06:13.000]  不是他在降生以後才有他
[00:06:13.000 --> 00:06:19.000]  而是他在沒有降生以前就有了神的兒子
[00:06:19.000 --> 00:06:25.000]  就是在先存在過去他就是已經有的
[00:06:25.000 --> 00:06:28.000]  就是耶穌也說過
[00:06:28.000 --> 00:06:32.000]  唯有亞伯拉罕以前就有了我
[00:06:32.000 --> 00:06:36.000]  猶太人總覺得耶穌你怎麼做的事情
[00:06:36.000 --> 00:06:39.000]  講的話這麼的特別呢
[00:06:39.000 --> 00:06:43.000]  說你見過亞伯拉罕
[00:06:43.000 --> 00:06:45.000]  那麼耶穌跟他說
[00:06:45.000 --> 00:06:48.000]  還只有亞伯拉罕以前就有了我
[00:06:48.000 --> 00:06:50.000]  因為他是神
[00:06:50.000 --> 00:06:55.000]  這講到耶穌就是
[00:06:55.000 --> 00:06:59.000]  不是等到降生以後他才出現
[00:06:59.000 --> 00:07:01.000]  才存在
[00:07:01.000 --> 00:07:04.000]  他在以前沒有降生以前
[00:07:04.000 --> 00:07:05.000]  他已經存在
[00:07:05.000 --> 00:07:07.000]  他就是神
[00:07:07.000 --> 00:07:09.000]  不在這個時間裡頭
[00:07:09.000 --> 00:07:11.000]  他來到人的中間
[00:07:11.000 --> 00:07:16.000]  他在肉身裡頭顯出他是神
[00:07:16.000 --> 00:07:21.000]  所以這個是一個很重要的
[00:07:21.000 --> 00:07:22.000]  基督是神
[00:07:22.000 --> 00:07:24.000]  因為他是神
[00:07:24.000 --> 00:07:27.000]  所以他是永恆的
[00:07:27.000 --> 00:07:29.000]  因為他是永恆的
[00:07:29.000 --> 00:07:31.000]  那麼他才是神
[00:07:31.000 --> 00:07:35.000]  如果把這個耶穌的先存性
[00:07:35.000 --> 00:07:37.000]  他是以前是沒有的
[00:07:37.000 --> 00:07:39.000]  到了降生以後
[00:07:39.000 --> 00:07:41.000]  他才成為人
[00:07:41.000 --> 00:07:42.000]  然後有些異端說
[00:07:42.000 --> 00:07:44.000]  他做了很大的工作
[00:07:44.000 --> 00:07:46.000]  然後神才把他崩潰神
[00:07:46.000 --> 00:07:49.000]  那這個就是不是的
[00:07:49.000 --> 00:07:50.000]  這就是說
[00:07:50.000 --> 00:07:53.000]  耶穌的他是神
[00:07:53.000 --> 00:07:55.000]  他在降生以前是神
[00:07:55.000 --> 00:07:57.000]  來到地上做人的時候
[00:07:57.000 --> 00:07:59.000]  他仍然是神
