
[00:00:00.000 --> 00:00:06.000]  今天是教會節期中樹節的主日
[00:00:06.000 --> 00:00:09.000]  中樹節的傳統就是慶祝耶穌基督
[00:00:09.000 --> 00:00:15.000]  騎著驢驅榮耀地進入耶路撒冷的日子
[00:00:15.000 --> 00:00:18.000]  在今天的以色列耶路撒冷
[00:00:18.000 --> 00:00:22.000]  或者今天是中樹節的下午
[00:00:22.000 --> 00:00:25.000]  相信很多遊客或者朝聖者
[00:00:25.000 --> 00:00:28.000]  已經聚集在一個橄欖山那裡
[00:00:28.000 --> 00:00:31.000]  他們的做法就是這樣
[00:00:31.000 --> 00:00:33.000]  有一個隊伍遊行
[00:00:33.000 --> 00:00:36.000]  由橄欖山那裡開始
[00:00:36.000 --> 00:00:38.000]  大家手拿著什麼?
[00:00:38.000 --> 00:00:42.000]  種樹枝或者橄欖樹枝
[00:00:42.000 --> 00:00:45.000]  一步一起步行
[00:00:45.000 --> 00:00:48.000]  去到聖雅立教堂為結束
[00:00:48.000 --> 00:00:52.000]  中間是會經過一個入城
[00:00:52.000 --> 00:00:56.000]  進到城裡經過鋪滿石春的地下
[00:00:56.000 --> 00:00:58.000]  是一個苦路
[00:00:58.000 --> 00:01:02.000]  這樣去紀念主耶穌基督的受難
[00:01:02.000 --> 00:01:08.000]  這個就是中樹節主日的一個紀念的方式
[00:01:08.000 --> 00:01:12.000]  剛才主席林汶英執事長讀出這段經文
[00:01:12.000 --> 00:01:14.000]  我相信大部分人都有印象
[00:01:14.000 --> 00:01:16.000]  因為在中樹節禮拜日上上
[00:01:16.000 --> 00:01:21.000]  都會看到耶穌騎著驢驅榮耀地進入耶路撒冷
[00:01:21.000 --> 00:01:23.000]  中文就是「和撒冷」
[00:01:23.000 --> 00:01:27.000]  大衛的王、大衛的子孫應當稱重
[00:01:27.000 --> 00:01:31.000]  滿心歡喜迎接主耶穌基督
[00:01:31.000 --> 00:01:35.000]  所以在一個約翰坊的記載裡面
[00:01:35.000 --> 00:01:38.000]  前前後後還有少少一些的枝節
