
[00:00:00.000 --> 00:00:18.000]  在聖經裏面說,開心有兩種,一種叫快樂,一種叫喜樂,其實快樂和喜樂都是很好的事情
[00:00:18.000 --> 00:00:36.000]  我今天所說的快樂是關於短暫的快樂,所以我一會說的快樂就是一些很短暫的快樂
[00:00:36.000 --> 00:00:49.000]  如果說到喜樂的時候,就是屬天的喜樂,那究竟快樂和喜樂有什麼分別呢?
[00:00:49.000 --> 00:01:09.000]  快樂其實分別都很大,如果你拿到這份禮物的時候,你可以得到一些短暫的快樂,這些短暫的快樂過去之後就沒有了
[00:01:09.000 --> 00:01:21.000]  所以我不想年輕人拿這份短暫的快樂,這份短暫的快樂對他們沒有用
[00:01:21.000 --> 00:01:39.000]  因為我看到你有短暫的快樂,我會很高興
[00:01:39.000 --> 00:01:44.000]  通常這些快樂是用金錢買回來的
[00:01:44.000 --> 00:01:51.000]  可能父母親喜歡買一些時髦的禮物給子女
[00:01:51.000 --> 00:01:58.000]  這些都是人手做出來的
[00:01:58.000 --> 00:02:05.000]  當然這些事情會令我們心情很快樂
[00:02:05.000 --> 00:02:12.000]  其實這些事情是滿足不了我們的心
[00:02:12.000 --> 00:02:21.000]  因為這些快樂通常是來自世界上的物質
[00:02:21.000 --> 00:02:32.000]  那我再問一些年輕人,當你去打遊戲機的時候,你會開心嗎?
[00:02:32.000 --> 00:02:45.000]  是真的很開心,我也曾經和這些年輕人一起去打遊戲機,玩著玩著真的很開心
[00:02:45.000 --> 00:02:57.000]  玩下去之後就不能停手了,因為你一停手的時候,你馬上就失去了那份快樂
[00:02:57.000 --> 00:03:08.000]  失去了那份刺激感,你就會悶悶不樂
[00:03:08.000 --> 00:03:14.000]  這些就是世界上你所得到的快樂
[00:03:14.000 --> 00:03:25.000]  但你要想一想,你用世界上得到的快樂,有時候是得不到的
[00:03:25.000 --> 00:03:28.000]  這些快樂有時候是得不到的
[00:03:28.000 --> 00:03:33.000]  譬如說你玩的時候,你的電腦沒電,或者你的手機沒電
[00:03:33.000 --> 00:03:37.000]  譬如說你玩遊戲的時候,有時候電腦沒電,電話沒電
[00:03:37.000 --> 00:03:45.000]  那你就會很不開心,或者突然間Hi-Fi斷了
[00:03:45.000 --> 00:03:49.000]  那你也很不開心
[00:03:49.000 --> 00:03:56.000]  所以我覺得如果你要沉迷在世界上的快樂,其實是很痛苦
[00:03:56.000 --> 00:04:00.000]  所以如果你要沉迷在這世界上的快樂,你是會很痛苦
[00:04:00.000 --> 00:04:03.000]  因為可能你會不斷用金錢去買回來
[00:04:03.000 --> 00:04:06.000]  因為你可能會不斷用金錢買回來
[00:04:06.000 --> 00:04:10.000]  因為有很多人是流連在酒吧裡天天去喝酒
[00:04:10.000 --> 00:04:14.000]  就是說有些人就是流連在酒吧裡天天去喝酒
[00:04:14.000 --> 00:04:19.000]  那你喝酒其實只不過是給了你一兩個小時的興奮之後
[00:04:19.000 --> 00:04:22.000]  你就失去了這些快樂
[00:04:22.000 --> 00:04:28.000]  喝酒可能就是給你一兩個小時的興奮,兩個小時後就失去了這些快樂
[00:04:28.000 --> 00:04:31.000]  這些快樂不可以永遠地滿足你
[00:04:31.000 --> 00:04:34.000]  這些快樂不可以永遠地去滿足你
[00:04:34.000 --> 00:04:38.000]  當然我們也有時候需要一些禮物
[00:04:38.000 --> 00:04:41.000]  當然我們有時候也是需要一些禮物
[00:04:41.000 --> 00:04:45.000]  特別是做家長們,你會送一些禮物給你的兒女
[00:04:45.000 --> 00:04:49.000]  特別是做家長的要送一些禮物給你的兒女
[00:04:49.000 --> 00:04:55.000]  你可能在聖誕節那裡花盡心思想買什麼禮物給你的小女孩
[00:04:55.000 --> 00:04:59.000]  可能在聖誕節你花盡心思想要買什麼禮物給兒女
[00:04:59.000 --> 00:05:01.000]  不過我覺得這些都是很重要的
[00:05:01.000 --> 00:05:03.000]  不過我覺得這些也是很重要的
[00:05:03.000 --> 00:05:07.000]  有很多太太們都喜歡先生們送這些禮物給他們
[00:05:07.000 --> 00:05:11.000]  有很多太太們都喜歡先生們送這些禮物給他們
[00:05:11.000 --> 00:05:13.000]  這些是代表你的愛意
[00:05:13.000 --> 00:05:14.000]  那是代表你的愛意
[00:05:14.000 --> 00:05:16.000]  也不是說不好
[00:05:16.000 --> 00:05:18.000]  那也不是說不好
[00:05:18.000 --> 00:05:21.000]  不過如果你太過追求世上的物質
[00:05:21.000 --> 00:05:28.000]  就可能上癮了,無法脫離這些隱憂
[00:05:28.000 --> 00:05:34.000]  但如果你太追求這些物質,就會上癮,無法脫離這些癮
[00:05:34.000 --> 00:05:38.000]  所以我們要追求一些屬天的喜樂
[00:05:38.000 --> 00:05:41.000]  所以我們要追求一些屬天的喜樂
[00:05:41.000 --> 00:05:43.000]  什麼叫屬天的喜樂呢?
[00:05:43.000 --> 00:05:45.000]  什麼叫屬天的喜樂呢?
[00:05:45.000 --> 00:05:49.000]  屬天的喜樂就是不可以用世界上的金錢買到
[00:05:49.000 --> 00:05:53.000]  屬天的喜樂是不能用世界上的金錢買回來
[00:05:53.000 --> 00:05:55.000]  也不是物質可以做出來的
[00:05:55.000 --> 00:05:58.000]  也不是物質可以做出來的
[00:05:58.000 --> 00:06:00.000]  最主要是來自於神
[00:06:00.000 --> 00:06:02.000]  最主要是來自神
[00:06:02.000 --> 00:06:04.000]  有神你就會有喜樂
[00:06:04.000 --> 00:06:06.000]  有神你就有喜樂
[00:06:06.000 --> 00:06:09.000]  大家想一下,會不會真的這麼厲害
[00:06:09.000 --> 00:06:11.000]  有神就會有喜樂呢?
[00:06:11.000 --> 00:06:13.000]  大家會想,有這麼厲害嗎?
[00:06:13.000 --> 00:06:15.000]  有神就會有喜樂
[00:06:15.000 --> 00:06:16.000]  的確是這樣的
[00:06:16.000 --> 00:06:17.000]  的確是這樣
[00:06:17.000 --> 00:06:19.000]  或者你可以見到一些基督徒
[00:06:19.000 --> 00:06:23.000]  特別是基督徒,你會覺得他們非常開心
[00:06:23.000 --> 00:06:25.000]  或者你見到一些基督徒
[00:06:25.000 --> 00:06:29.000]  特別是基督徒,你見到他們都是特別的開心
[00:06:29.000 --> 00:06:33.000]  這些基督徒明明在生活的環境又不是這麼好的環境當中
[00:06:33.000 --> 00:06:37.000]  他們是不會埋怨這個世界,埋怨自己的
[00:06:37.000 --> 00:06:40.000]  有些基督徒不是生活在很好的環境中
[00:06:40.000 --> 00:06:43.000]  他們也沒有去埋怨他們的生活
[00:06:43.000 --> 00:06:45.000]  他們反而活得非常開心
[00:06:45.000 --> 00:06:47.000]  他們反而是活得很開心
[00:06:47.000 --> 00:06:50.000]  其實在聖經上也是這樣告訴我們
[00:06:50.000 --> 00:06:53.000]  其實在聖經上也這樣告訴我們
[00:06:53.000 --> 00:06:55.000]  在《約翰福音》四章十四節要這樣說
[00:06:55.000 --> 00:06:58.000]  在《約翰福音》四章十四節這樣說
[00:06:58.000 --> 00:07:01.000]  「若喝我所賜的水,就永遠不渴」
[00:07:01.000 --> 00:07:05.000]  「若喝我所賜的水,就永不渴」
[00:07:05.000 --> 00:07:08.000]  「我所賜的水,要在他裡頭成為泉源」
[00:07:08.000 --> 00:07:12.000]  「我所賜的水,要在他裡頭成為泉源」
[00:07:12.000 --> 00:07:14.000]  「直湧到永生」
[00:07:14.000 --> 00:07:15.000]  「直湧到永生」
[00:07:15.000 --> 00:07:18.000]  原來神給了我們一樣東西,就是活水
[00:07:18.000 --> 00:07:21.000]  原來神給我們一樣東西,就是活水
[00:07:21.000 --> 00:07:24.000]  我們有了這個活水之後,我們就不會再渴了
[00:07:24.000 --> 00:07:26.000]  我們有了活水,就不會口渴
[00:07:26.000 --> 00:07:30.000]  這裡有一個意思,就是神給我們一個喜樂的心
[00:07:30.000 --> 00:07:34.000]  其實裡面有一個意思,就是神給我們喜樂的心
[00:07:34.000 --> 00:07:37.000]  我們有了主耶穌基督,我們永遠都這麼開心
