
[00:00:00.000 --> 00:00:04.800]  大家好,很開心今早再次有機會跟大家敬拜上帝
[00:00:04.800 --> 00:00:07.120]  和分享上帝的說話
[00:00:07.120 --> 00:00:09.120]  跟大家分享過了
[00:00:09.120 --> 00:00:11.600]  其實我們現在平時如果天氣虛渴
[00:00:11.600 --> 00:00:13.440]  都會跟師母出去散步
[00:00:13.440 --> 00:00:16.000]  我記得有一天跟師母去散步的時候
[00:00:16.000 --> 00:00:17.680]  就跟師母去分享
[00:00:17.680 --> 00:00:19.680]  其實我們這生人裡面來說
[00:00:19.680 --> 00:00:24.400]  都見證過有好幾件世界的大事
[00:00:24.400 --> 00:00:28.480]  譬如說柏林圍牆被拆毀
[00:00:28.480 --> 00:00:31.520]  蘇維埃共和國的解體
[00:00:31.520 --> 00:00:33.760]  然後香港回歸中國大陸
[00:00:33.760 --> 00:00:36.880]  而中國強國人的崛起
[00:00:36.880 --> 00:00:39.040]  更加是大家有目共睹
[00:00:39.040 --> 00:00:42.320]  但是現在我們又可以見證到
[00:00:42.320 --> 00:00:44.160]  一個世紀的大疫情
[00:00:44.160 --> 00:00:47.840]  新冠肺炎橫掃全球
[00:00:47.840 --> 00:00:53.840]  而美國極左勢力正在迅速的發酵
[00:00:53.840 --> 00:00:57.520]  當我們看回這些事情發生的時候
[00:00:57.520 --> 00:01:02.720]  就讓我們對這個世界、對這個社會的前途
[00:01:02.720 --> 00:01:05.360]  老實說有些憂慮
[00:01:05.360 --> 00:01:07.760]  甚至有些惶恐
[00:01:07.760 --> 00:01:10.560]  我跟師母聊天的時候都說
[00:01:10.560 --> 00:01:12.320]  我跟師母說
[00:01:12.320 --> 00:01:14.320]  有時候都好像保羅一樣
[00:01:14.320 --> 00:01:17.520]  很希望早點離開這個世界和上帝一起
[00:01:17.520 --> 00:01:19.760]  這個是最好不過了
[00:01:19.760 --> 00:01:22.080]  為什麼?沒有眼睛看
[00:01:22.080 --> 00:01:26.320]  但是天護上帝卻仍然讓我們有健康
[00:01:26.320 --> 00:01:28.320]  今天還跟大家講到
[00:01:28.320 --> 00:01:30.880]  讓我們繼續生活在這個世界上面
[00:01:30.880 --> 00:01:34.640]  這表示可能上帝還有一些事情要我們做
[00:01:34.640 --> 00:01:37.280]  我們還沒做完 所以不能走
[00:01:37.280 --> 00:01:39.280]  如果是這樣的時候
[00:01:39.280 --> 00:01:41.040]  本來都有一些depress的
[00:01:41.040 --> 00:01:43.360]  我跟師母說我們彼此鼓勵
[00:01:43.360 --> 00:01:47.440]  希望我們能夠有勇氣一起去承擔
[00:01:47.440 --> 00:01:52.560]  能夠完成上帝交付給我們的工作
[00:01:52.560 --> 00:01:56.720]  但是老實說要在現在這樣的世界裡面
[00:01:56.720 --> 00:01:59.040]  去完成上帝的使命
[00:01:59.040 --> 00:02:02.080]  其實我們面對的挑戰和困難
[00:02:02.080 --> 00:02:04.720]  是越來越多、越來越大的
[00:02:04.720 --> 00:02:07.040]  不如說現在基督教的信仰
[00:02:07.040 --> 00:02:10.160]  已經被很多人誤解、被人扭曲
[00:02:10.160 --> 00:02:12.560]  就好像當日的法利塞人
[00:02:12.560 --> 00:02:16.960]  改變了原先上帝所啟示的信仰
[00:02:16.960 --> 00:02:22.320]  將它變成是靠行為而得救的一個宗教
[00:02:22.320 --> 00:02:24.880]  另外我們看到社交平台的出現
[00:02:24.880 --> 00:02:29.280]  其實是加速了百家爭鳴的步伐
