
[00:00:00.000 --> 00:00:01.760]  頂錯 頂姐妹早晨
[00:00:01.760 --> 00:00:04.240]  我們又歡喜快樂
[00:00:04.240 --> 00:00:05.240]  在主日的時候
[00:00:05.240 --> 00:00:07.240]  我們奉主的名聚集敬拜
[00:00:07.240 --> 00:00:10.040]  無論我們在會堂當中的
[00:00:10.040 --> 00:00:12.360]  或者在家中的弟兄姐妹
[00:00:12.360 --> 00:00:15.800]  我們都求主叫我們同感一靈
[00:00:15.800 --> 00:00:19.520]  在神的恩典當中一同的操奏
[00:00:19.520 --> 00:00:23.000]  今早我們講的題目是
[00:00:23.000 --> 00:00:25.600]  繼續重返彼得前書
[00:00:25.600 --> 00:00:29.680]  我們上個月一直思想
[00:00:29.680 --> 00:00:32.520]  彼得前書帶給我們一個活潑的盼望
[00:00:32.520 --> 00:00:35.560]  也能夠明白到我們是一群
[00:00:35.560 --> 00:00:39.720]  活出神兒女應該有的本質
[00:00:39.720 --> 00:00:42.960]  在這個地上等候主再來之前
[00:00:42.960 --> 00:00:44.960]  我們有的生活
[00:00:44.960 --> 00:00:48.560]  彼得前書來到第一章最後這部分
[00:00:48.560 --> 00:00:50.040]  接續到第二章
[00:00:50.040 --> 00:00:51.840]  因為彼此有關係
[00:00:51.840 --> 00:00:55.640]  這短短七節的經文
[00:00:55.640 --> 00:00:57.080]  今天我們一同看到
[00:00:57.080 --> 00:00:58.680]  是一個很重要的提醒
[00:00:58.680 --> 00:01:02.600]  就是我們來過彼此相愛的生活
[00:01:02.600 --> 00:01:04.600]  我們看看經文的記載
[00:01:04.600 --> 00:01:07.600]  大家在同聲讀出
[00:01:07.600 --> 00:01:12.760]  彼得前書一章二十二節
[00:01:12.760 --> 00:01:13.880]  我們一起讀
[00:01:13.880 --> 00:01:16.280]  你們既因順從真理
[00:01:16.280 --> 00:01:18.040]  潔淨了自己的心
[00:01:18.040 --> 00:01:20.920]  以致愛弟兄沒有虛假
[00:01:20.920 --> 00:01:22.520]  就當從心裡
[00:01:22.520 --> 00:01:23.520]  有故句說
[00:01:23.520 --> 00:01:27.240]  從清潔的心彼此切實相愛
[00:01:27.240 --> 00:01:30.880]  所以很明顯這是一個很重要的主題
[00:01:30.880 --> 00:01:32.480]  彼得一路提醒
[00:01:32.480 --> 00:01:34.080]  我們既然順從了真理
[00:01:34.080 --> 00:01:35.120]  潔淨了自己的心
[00:01:35.120 --> 00:01:37.080]  以致愛弟兄沒有虛假
[00:01:37.080 --> 00:01:39.840]  我們彼此切實相愛
[00:01:39.840 --> 00:01:42.160]  接著他提出很多原因
[00:01:42.160 --> 00:01:43.760]  你們蒙了從生
[00:01:43.760 --> 00:01:48.840]  乃是由於不能壞的種子
[00:01:48.840 --> 00:01:52.800]  是藉著上帝活潑上傳的道
[00:01:52.800 --> 00:01:56.880]  因為凡有血氣的盡都如草
[00:01:56.880 --> 00:02:00.840]  他的美榮都像草上的花
[00:02:00.840 --> 00:02:03.120]  草必枯乾花必凋謝
[00:02:03.120 --> 00:02:05.760]  唯有主的道是永存的
[00:02:05.760 --> 00:02:07.640]  所傳給你們的福音
[00:02:07.640 --> 00:02:09.720]  就是這道
[00:02:09.720 --> 00:02:11.560]  這就是第一章完結了
[00:02:11.560 --> 00:02:13.480]  但很明顯第二章
[00:02:13.480 --> 00:02:15.120]  第一節開始是有關係的
[00:02:15.120 --> 00:02:16.160]  因為一開始他說
[00:02:16.160 --> 00:02:16.800]  所以
[00:02:16.800 --> 00:02:18.320]  我們繼續看這三節
[00:02:18.320 --> 00:02:22.120]  所以你們既除去一切的惡毒
[00:02:22.120 --> 00:02:24.480]  詭詐並假善
[00:02:24.480 --> 00:02:26.800]  嫉妒和一切誹謗的話
[00:02:26.800 --> 00:02:29.440]  就要愛慕那純正的靈乃
[00:02:29.440 --> 00:02:32.640]  像財生的嬰孩愛慕那一樣
[00:02:32.640 --> 00:02:34.800]  叫你們因此漸長
[00:02:34.800 --> 00:02:36.480]  以致得救
[00:02:36.480 --> 00:02:39.720]  你們若嘗過主恩的滋味
[00:02:39.720 --> 00:02:43.040]  就必如此
[00:02:43.040 --> 00:02:44.560]  所以我們看見
[00:02:44.560 --> 00:02:46.240]  從上一章
[00:02:46.240 --> 00:02:48.400]  彼得第一章開始的上文
[00:02:48.400 --> 00:02:49.360]  我們再說
[00:02:49.360 --> 00:02:51.320]  他剛剛說到
[00:02:51.320 --> 00:02:53.560]  二十一節之前的一段經文
[00:02:53.560 --> 00:02:55.120]  就是上次我們看過的
[00:02:55.120 --> 00:02:58.360]  就是活出神兒女的本質
[00:02:58.360 --> 00:03:01.920]  當我們有一個活潑的盼望
[00:03:01.920 --> 00:03:03.760]  神拯救了我們
[00:03:03.760 --> 00:03:07.400]  我們如何在地上過活呢
