
[00:00:00.000 --> 00:00:01.480]  兄弟姐妹,不安!
[00:00:01.480 --> 00:00:05.060]  經過了三年疫情
[00:00:05.060 --> 00:00:08.620]  我相信大家都察覺到
[00:00:08.620 --> 00:00:12.260]  香港的社會都逐漸復常
[00:00:12.260 --> 00:00:15.360]  各項的防疫措施
[00:00:15.360 --> 00:00:18.200]  都解除了
[00:00:18.200 --> 00:00:20.920]  你可以按照你的需要
[00:00:20.920 --> 00:00:24.080]  戴口罩,不戴口罩,結手,不結手
[00:00:24.080 --> 00:00:27.940]  我深信不同的人都需要適應
[00:00:28.380 --> 00:00:31.420]  早前我看新聞
[00:00:31.420 --> 00:00:34.620]  看到有些跨境學生
[00:00:34.620 --> 00:00:37.960]  回到香港上學
[00:00:37.960 --> 00:00:44.900]  有記者抓了一個中三的學生訪問他
[00:00:44.900 --> 00:00:51.360]  看看他疫情之後的情況如何
[00:00:51.360 --> 00:00:55.340]  他說「都幾慘啊,點解呢?」
[00:00:55.340 --> 00:00:59.500]  「由他小學升中之後」
[00:00:59.500 --> 00:01:02.680]  「基本上他都沒有上過面授課」
[00:01:02.680 --> 00:01:05.880]  「他是在國內居住」
[00:01:05.880 --> 00:01:07.220]  「那即是怎樣呢?」
[00:01:07.220 --> 00:01:10.640]  「其實他是從來沒有去過自己的學校」
[00:01:10.640 --> 00:01:16.220]  「也沒有親身見過自己的同學」
[00:01:16.220 --> 00:01:21.560]  「其實經過了三年同窗」
[00:01:21.560 --> 00:01:28.040]  「理論上都應該跟同學們熟稔了」
[00:01:28.040 --> 00:01:34.500]  「不過這班同學在他心裡好像跟網友」
[00:01:34.500 --> 00:01:37.600]  「網上的朋友差不多而已」
[00:01:37.600 --> 00:01:44.860]  「他說當時不斷上網課」
[00:01:44.860 --> 00:01:49.740]  「所以隔著屏幕去見他的老師和同學」
[00:01:49.740 --> 00:01:52.140]  「只見到上半身」
[00:01:52.140 --> 00:01:55.420]  「高矮肥瘦都不知道」
[00:01:55.420 --> 00:02:01.820]  「所以他在回到香港上學前一晚」
[00:02:01.820 --> 00:02:06.180]  「他說第一天上學緊張到睡不著覺」
[00:02:06.180 --> 00:02:10.820]  「這位同學有這樣的體會」
[00:02:10.820 --> 00:02:17.600]  今天跟大家說說《問數記》第十章
[00:02:18.340 --> 00:02:24.540]  由《問數記》第一章一節至十章十節
[00:02:24.540 --> 00:02:27.720]  主要是說到這班以色列人
[00:02:27.720 --> 00:02:32.220]  在西乃山出發之前所發生的事
[00:02:32.220 --> 00:02:38.060]  為了讓他們在往後的歷程做好準備
[00:02:38.060 --> 00:02:46.420]  他們需要在律法上遵守聖潔上帝給他們的要求
[00:02:47.220 --> 00:02:53.220]  因為《問數記》十章十節在這大段落結束時
[00:02:53.220 --> 00:02:56.560]  是這樣提醒這班以色列人
[00:02:56.560 --> 00:02:59.680]  「上帝說我是搖滑你們的神」
[00:02:59.680 --> 00:03:06.180]  不過他們在聽完一大段上帝的表述後
[00:03:06.180 --> 00:03:10.480]  究竟他們在實踐上做成怎樣呢?
[00:03:10.880 --> 00:03:21.380]  今年我們《眾教慕童工》會在《問數記》一章一章跟大家說
[00:03:21.380 --> 00:03:25.480]  不過三十六章的確篇幅很長
[00:03:25.480 --> 00:03:32.880]  所以我們不會跟大家講解律法上的一些細節
[00:03:32.880 --> 00:03:36.880]  反而會集中說到這班以色列人
[00:03:36.880 --> 00:03:41.880]  他們在他們的生活經歷一些不同的事
[00:03:41.880 --> 00:03:51.880]  剛才我說這位從國內回來香港讀書的跨境學生
[00:03:51.880 --> 00:03:55.880]  第一天上學他有一個這樣的感覺
[00:03:55.880 --> 00:03:58.880]  不知道這班以色列人
[00:03:58.880 --> 00:04:01.880]  他們在第一天離開西乃山的時候
[00:04:01.880 --> 00:04:03.880]  他們的感覺又是怎樣?
