
[00:00:00.000 --> 00:00:02.780]  在這裡,雖然今天不在教會裡面
[00:00:02.780 --> 00:00:07.120]  也想預祝大家新年快樂
[00:00:07.120 --> 00:00:11.400]  我想在這個疫情之下,當然有很多事情是不容易的
[00:00:11.400 --> 00:00:13.160]  但是也讓我們一起去到
[00:00:13.160 --> 00:00:16.100]  仍然去相信上帝在我們生命裡面
[00:00:16.100 --> 00:00:20.920]  仍然有那份的恩典和憐憫去與我們同在
[00:00:20.920 --> 00:00:25.600]  今天其實就是一段我們Sermon的最後一篇
[00:00:25.600 --> 00:00:29.280]  這篇就會講到一個《羅馬書》十二章
[00:00:29.280 --> 00:00:31.320]  之前可能有兩個星期
[00:00:31.320 --> 00:00:33.320]  我知道對很多Explorer來說
[00:00:33.320 --> 00:00:37.500]  單是Junior,甚至是對我們這個Senior的Explorer來說
[00:00:37.500 --> 00:00:39.280]  可能很多人都覺得
[00:00:39.280 --> 00:00:43.520]  從頭十到十一章其實是不容易去明白的
[00:00:43.520 --> 00:00:46.200]  這是很正常的事情
[00:00:46.200 --> 00:00:49.600]  因為保羅在《羅馬書》裡面
[00:00:49.600 --> 00:00:55.720]  用以色列人的歷史去解釋上帝的恩典其實是多少
[00:00:55.720 --> 00:01:00.840]  這可能對我們來說是第一次去到接觸的概念
[00:01:00.840 --> 00:01:05.720]  不過今天我們就會去到一個比較容易的段落
[00:01:05.720 --> 00:01:08.040]  這就是《羅馬書》十二章
[00:01:08.040 --> 00:01:12.800]  《羅馬書》十二章相信大家都對頭兩節經文很熟悉
[00:01:12.800 --> 00:01:14.800]  特別我們當中的Karen Lee
[00:01:14.800 --> 00:01:16.800]  現在是美國的Karen Lee
[00:01:16.800 --> 00:01:20.200]  她也跟我們分享過這兩節經文
[00:01:20.200 --> 00:01:24.120]  她如何鼓勵我們去跟隨上帝
[00:01:24.120 --> 00:01:26.640]  我記得在準備這篇講章的時候
[00:01:26.640 --> 00:01:28.920]  有一位Pastor,我不開名字了
[00:01:28.920 --> 00:01:30.920]  有位Pastor開玩笑跟我說
[00:01:30.920 --> 00:01:34.240]  這篇可以做一篇培靈會的Sermon
[00:01:34.240 --> 00:01:38.680]  當年如果我們這樣看頭兩節經文
[00:01:38.680 --> 00:01:41.200]  我們說將身體獻上,當作活祭
[00:01:41.200 --> 00:01:43.320]  相信特別是Senior Explorer
[00:01:43.320 --> 00:01:46.680]  都應該有相當的人去聽過這篇經文
[00:01:46.680 --> 00:01:49.480]  可能就真的好像一個培靈的元素
[00:01:49.480 --> 00:01:52.440]  不過培靈不是我今天的目的
[00:01:52.440 --> 00:01:55.920]  嚴格來說,今天我不打算在這裡做培靈會
[00:01:55.920 --> 00:01:56.920]  為什麼呢?
[00:01:56.920 --> 00:02:00.080]  因為其實《羅馬書》十二章的內容裡面
[00:02:00.080 --> 00:02:02.960]  真正挑戰我們信仰的地方
[00:02:02.960 --> 00:02:05.480]  不是那一剎那的感動
[00:02:05.480 --> 00:02:09.080]  不是你在上帝面前那一刻感動的立志之後
[00:02:09.080 --> 00:02:11.080]  你就去完結了這件事
[00:02:11.080 --> 00:02:14.000]  正如保羅在《羅馬書》
[00:02:14.000 --> 00:02:17.120]  其實十二至十六章是一個很長的段落
[00:02:17.120 --> 00:02:21.440]  但其實這四章是保羅將前面十一章講到
[00:02:21.440 --> 00:02:24.560]  上帝的恩典對我們有多大的時候
[00:02:24.560 --> 00:02:27.280]  但是要如何落實在生活裡面
[00:02:27.280 --> 00:02:29.640]  當我們回到生活圈子的時候
[00:02:29.640 --> 00:02:31.720]  如何去實踐那份信仰
[00:02:31.720 --> 00:02:35.080]  所以,我會說這不是一個培靈會
[00:02:35.080 --> 00:02:37.360]  這反而是我們在日常生活裡面
[00:02:37.360 --> 00:02:39.560]  面對很多的挑戰
[00:02:39.560 --> 00:02:41.560]  艱難或者限制之下
[00:02:41.560 --> 00:02:45.080]  其實我們如何能夠實踐上帝給我們的吩咐
[00:02:45.080 --> 00:02:48.120]  這個我會理解作是《羅馬書》
