
[00:00:00.000 --> 00:00:02.000]  我忘了他記得
[00:00:02.000 --> 00:00:07.000]  其實是一齣台灣片集的主題
[00:00:07.000 --> 00:00:09.000]  如果大家有看
[00:00:09.000 --> 00:00:10.000]  或者你都不認識他
[00:00:10.000 --> 00:00:12.000]  他叫做秦漢
[00:00:12.000 --> 00:00:15.000]  就說他失智
[00:00:15.000 --> 00:00:20.000]  但我發覺這個主題都很適合我們
[00:00:20.000 --> 00:00:21.000]  在艱難的時間
[00:00:21.000 --> 00:00:23.000]  我們常常都覺得上帝不記得
[00:00:23.000 --> 00:00:26.000]  好 進去看《耳創亞書》49章
[00:00:26.000 --> 00:00:27.000]  很精彩的
[00:00:27.000 --> 00:00:28.000]  在艱難時刻
[00:00:28.000 --> 00:00:30.000]  我看完又看 看完又看
[00:00:30.000 --> 00:00:33.000]  發覺不單止有三個認定
[00:00:33.000 --> 00:00:34.000]  其實有七個
[00:00:34.000 --> 00:00:35.000]  不過選三個
[00:00:35.000 --> 00:00:37.000]  他的背景是說
[00:00:37.000 --> 00:00:39.000]  猶大被滅國
[00:00:39.000 --> 00:00:41.000]  什麼都沒有
[00:00:41.000 --> 00:00:45.000]  整個城市剩下一堆殘骸
[00:00:45.000 --> 00:00:48.000]  有錢人都被擄去巴比倫
[00:00:48.000 --> 00:00:52.000]  就好像我們現在有些人的感覺一樣
[00:00:52.000 --> 00:00:53.000]  失去工作
[00:00:53.000 --> 00:00:54.000]  突然之間失去工作
[00:00:54.000 --> 00:00:56.000]  突然之間店舖倒閉
[00:00:56.000 --> 00:01:00.000]  我昨天才見一個辦食肆的朋友
[00:01:00.000 --> 00:01:01.000]  他說沒有了
[00:01:01.000 --> 00:01:04.000]  我說生意不好嗎
[00:01:04.000 --> 00:01:07.000]  很多時候你是遇不到的
[00:01:07.000 --> 00:01:10.000]  然後我們接著可能會說下一章那句
[00:01:10.000 --> 00:01:12.000]  耶和華離棄了我
[00:01:12.000 --> 00:01:13.000]  主忘記了我
[00:01:13.000 --> 00:01:15.000]  耶穌你都不在
[00:01:15.000 --> 00:01:17.000]  我祈完禱都沒有反應
[00:01:17.000 --> 00:01:19.000]  你有沒有聽人跟你這樣說過
[00:01:19.000 --> 00:01:21.000]  我在Facebook常常都收到
[00:01:21.000 --> 00:01:22.000]  師母
[00:01:22.000 --> 00:01:24.000]  我祈了百次禱
[00:01:24.000 --> 00:01:26.000]  不知道是不是真的有一百次
[00:01:26.000 --> 00:01:28.000]  上帝都不回應
[00:01:28.000 --> 00:01:31.000]  他不回應可能都是一種回應
[00:01:31.000 --> 00:01:34.000]  或者他回應的東西不合我們心水
[00:01:34.000 --> 00:01:36.000]  可以怎麼面對呢
[00:01:36.000 --> 00:01:37.000]  下面
[00:01:37.000 --> 00:01:40.000]  艱難中的三個認定
[00:01:40.000 --> 00:01:42.000]  沒有福中的揀選
[00:01:42.000 --> 00:01:45.000]  他沒忘記冥黑獎賞
[00:01:45.000 --> 00:01:49.000]  他別連述人道
[00:01:49.000 --> 00:01:52.000]  在我艱難的時間
[00:01:52.000 --> 00:01:54.000]  我常常都記住這三樣東西
[00:01:54.000 --> 00:01:56.000]  我希望你都記得
[00:01:56.000 --> 00:01:57.000]  第一
[00:01:57.000 --> 00:01:59.000]  沒有福中的揀選
[00:01:59.000 --> 00:02:00.000]  讀一讀這兩節
[00:02:00.000 --> 00:02:01.000]  一二三
[00:02:01.000 --> 00:02:03.000]  海賊啊
[00:02:03.000 --> 00:02:05.000]  當聽我言
[00:02:05.000 --> 00:02:07.000]  遠方的眾民啊
[00:02:07.000 --> 00:02:09.000]  留心而聽
[00:02:09.000 --> 00:02:11.000]  自初出胎
[00:02:11.000 --> 00:02:13.000]  耶和華就選召我
[00:02:13.000 --> 00:02:15.000]  而出沒福
[00:02:15.000 --> 00:02:17.000]  他就提我的命
[00:02:17.000 --> 00:02:20.000]  耶和華從何出胎
[00:02:20.000 --> 00:02:25.000]  要使雅各歸向他
[00:02:25.000 --> 00:02:29.000]  使以色列到他那裡聚集
[00:02:29.000 --> 00:02:32.000]  原來耶和華看我為尊貴
[00:02:32.000 --> 00:02:36.000]  我的神也成為我的力量
