
[00:00:00.000 --> 00:00:02.920]  親愛的天父 求祢差派祢的聖靈
[00:00:02.920 --> 00:00:04.920]  在我們這裡工作
[00:00:04.920 --> 00:00:06.920]  在我們心裡去作供
[00:00:06.920 --> 00:00:09.920]  求祢親自執著祢的說話
[00:00:09.920 --> 00:00:15.920]  提醒、教導、鼓勵、安慰
[00:00:15.920 --> 00:00:18.920]  我們每一個弟兄姊妹
[00:00:18.920 --> 00:00:23.920]  聽祈禱 奉耶穌基督聖名求 阿們
[00:00:23.920 --> 00:00:27.920]  弟兄姊妹 今天我們繼續
[00:00:27.920 --> 00:00:29.920]  我們御府期第三個禮拜
[00:00:29.920 --> 00:00:31.920]  第三個禮拜 今天的《講道不記業》
[00:00:31.920 --> 00:00:35.920]  就派了在今天最新的這本靈修集裡面
[00:00:35.920 --> 00:00:38.920]  一開始就已經有我們原諒的操練
[00:00:38.920 --> 00:00:45.920]  原諒的操練 以愛還愛
[00:00:45.920 --> 00:00:49.920]  一開始的時候想和大家看一看一個故事
[00:00:49.920 --> 00:00:56.920]  在一個很冷很冷的冬天裡面
[00:00:56.920 --> 00:00:58.920]  有兩隻箭豬
[00:00:58.920 --> 00:01:01.920]  他們覺得很冷
[00:01:01.920 --> 00:01:04.920]  他們很想兩隻箭豬走在一起
[00:01:04.920 --> 00:01:06.920]  互相擁抱對方
[00:01:06.920 --> 00:01:08.920]  用對方身體的溫暖
[00:01:08.920 --> 00:01:10.920]  令自己暖一點
[00:01:10.920 --> 00:01:13.920]  但是當他們走在一起的時候
[00:01:13.920 --> 00:01:15.920]  哎呀 很痛啊
[00:01:15.920 --> 00:01:18.920]  因為大家彼此之間都有一些刺
[00:01:18.920 --> 00:01:20.920]  很硬的刺刺到對方
[00:01:20.920 --> 00:01:23.920]  退後 又再合在一起
[00:01:23.920 --> 00:01:25.920]  哎呀 很痛啊
[00:01:26.920 --> 00:01:29.920]  就是這樣 他們被迫要分開
[00:01:29.920 --> 00:01:33.920]  但是在這麼冷的冬天裡面
[00:01:33.920 --> 00:01:35.920]  他們為了要取暖
[00:01:35.920 --> 00:01:37.920]  他們很自然地
[00:01:37.920 --> 00:01:39.920]  慢慢身體又走近一點
[00:01:39.920 --> 00:01:41.920]  近一點 近一點
[00:01:41.920 --> 00:01:44.920]  每一次他們走近一點的時候
[00:01:44.920 --> 00:01:47.920]  又刺到對方 又覺得痛 又退後一點
[00:01:47.920 --> 00:01:51.920]  直到這兩隻箭豬
[00:01:51.920 --> 00:01:54.920]  慢慢慢慢他們找到一個合適的距離
[00:01:55.920 --> 00:01:57.920]  這個距離
[00:01:57.920 --> 00:01:59.920]  能夠近到
[00:01:59.920 --> 00:02:01.920]  對方覺得有溫暖
[00:02:01.920 --> 00:02:05.920]  但是也能夠遠到不會刺到對方
[00:02:05.920 --> 00:02:09.920]  不會令到彼此之間
[00:02:09.920 --> 00:02:11.920]  會受傷
[00:02:11.920 --> 00:02:15.920]  弟兄姊妹 今天我們生活在世上
[00:02:15.920 --> 00:02:17.920]  我們都是一個不完美的人
[00:02:17.920 --> 00:02:21.920]  或多或少我們身上都有些刺
[00:02:21.920 --> 00:02:24.920]  可能長一點 有些短一點
[00:02:24.920 --> 00:02:26.920]  硬一點 軟一點
[00:02:26.920 --> 00:02:30.920]  但是我們不完美的人走在一起的時候
[00:02:30.920 --> 00:02:33.920]  很容易就會造成一些傷害
[00:02:33.920 --> 00:02:35.920]  雖然我們的心是很真心
[00:02:35.920 --> 00:02:39.920]  但是我們容易受傷害
[00:02:39.920 --> 00:02:41.920]  或者我們會傷害其他人
[00:02:41.920 --> 00:02:45.920]  我們如何找到這個合適的距離呢
[00:02:45.920 --> 00:02:49.920]  當我們受傷痛的時候
[00:02:49.920 --> 00:02:51.920]  我們如何去面對呢
[00:02:52.920 --> 00:02:55.920]  但是我們一感到有痛楚 被刺
[00:02:55.920 --> 00:02:57.920]  我們就立刻走開 走到很遠
[00:02:57.920 --> 00:03:00.920]  從此之後就不和這隻箭豬有任何的來往
[00:03:00.920 --> 00:03:04.920]  今天我們從這段經文來看看
[00:03:04.920 --> 00:03:06.920]  世界的做法是怎樣做
[00:03:06.920 --> 00:03:10.920]  耶穌的做法 耶穌的教導又是怎樣
[00:03:10.920 --> 00:03:13.920]  而我們在現實生活裏
[00:03:13.920 --> 00:03:17.920]  可以怎樣執行神所教導我們的吩咐
[00:03:17.920 --> 00:03:19.920]  在地上和其他的人
[00:03:19.920 --> 00:03:22.920]  包括和我們所愛的弟兄姊妹家人
[00:03:22.920 --> 00:03:24.920]  好好地去相處
[00:03:24.920 --> 00:03:26.920]  第一點
[00:03:26.920 --> 00:03:29.920]  我們看看這個世界的做法是怎樣呢
[00:03:29.920 --> 00:03:33.920]  以善待善 以惡報惡
[00:03:33.920 --> 00:03:36.920]  在經文《馬太福音》五章四十三節
[00:03:36.920 --> 00:03:38.920]  我們一起再讀這一節
[00:03:38.920 --> 00:03:40.920]  預備 一二三
[00:03:48.920 --> 00:03:49.920]  留意喔
[00:03:49.920 --> 00:03:51.920]  這一句的說話
[00:03:51.920 --> 00:03:53.920]  是當時比較流行
[00:03:53.920 --> 00:03:56.920]  當時的一些文士 法利賽人
[00:03:56.920 --> 00:03:58.920]  他們會這樣說的
[00:03:58.920 --> 00:04:00.920]  你們要愛你們的鄰舍
[00:04:00.920 --> 00:04:02.920]  恨你們的仇敵
[00:04:02.920 --> 00:04:06.920]  為什麼他們會這樣說呢
[00:04:06.920 --> 00:04:09.920]  當時猶太人心裏想的那些東西
[00:04:09.920 --> 00:04:11.920]  你不要想著那麼簡單
[00:04:11.920 --> 00:04:14.920]  是有些複雜的 有些詭詐的
[00:04:14.920 --> 00:04:16.920]  他這一句的說話和神
[00:04:16.920 --> 00:04:18.920]  一直在聖經教導
[00:04:18.920 --> 00:04:20.920]  是有些出入 他們改了一些東西
[00:04:20.920 --> 00:04:22.920]  例如聖經從來沒有說過
[00:04:22.920 --> 00:04:24.920]  要恨我們的仇敵
[00:04:24.920 --> 00:04:26.920]  而聖經一直教導
[00:04:26.920 --> 00:04:29.920]  神的教導是要我們愛鄰舍
[00:04:29.920 --> 00:04:33.920]  如同愛自己
[00:04:33.920 --> 00:04:35.920]  他們沒有說到
[00:04:35.920 --> 00:04:37.920]  他們只是說愛鄰舍
[00:04:37.920 --> 00:04:39.920]  沒有說到要愛到什麼程度呢
[00:04:39.920 --> 00:04:40.920]  好像愛自己一樣
[00:04:40.920 --> 00:04:42.920]  愛我們身邊的鄰舍
[00:04:42.920 --> 00:04:44.920]  而當時這班猶太人
[00:04:44.920 --> 00:04:46.920]  他們很共通的
[00:04:46.920 --> 00:04:48.920]  他們怎樣界定 怎樣看什麼是鄰舍
[00:04:48.920 --> 00:04:50.920]  誰是我們的鄰居
[00:04:50.920 --> 00:04:52.920]  不是就這樣住在我們旁邊的
[00:04:52.920 --> 00:04:53.920]  就是我們的鄰居
[00:04:53.920 --> 00:04:55.920]  是自己的親人
[00:04:55.920 --> 00:04:57.920]  自己有關係的人
[00:04:57.920 --> 00:04:59.920]  才是我們的鄰居
[00:04:59.920 --> 00:05:01.920]  一些不認識的
[00:05:01.920 --> 00:05:03.920]  那些不關我們的事
[00:05:03.920 --> 00:05:04.920]  認識都不認識的人
[00:05:04.920 --> 00:05:05.920]  更加不是我們的鄰居
[00:05:05.920 --> 00:05:07.920]  不可愛的 認為不可愛的人
[00:05:07.920 --> 00:05:09.920]  我們不用去愛他
[00:05:09.920 --> 00:05:11.920]  猶太人當時
[00:05:11.920 --> 00:05:13.920]  只是和自己認識的人打招呼
[00:05:13.920 --> 00:05:16.920]  我一兩年前去過悉尼
[00:05:16.920 --> 00:05:17.920]  很可愛的
[00:05:17.920 --> 00:05:18.920]  因為我很喜歡
[00:05:18.920 --> 00:05:19.920]  來到帕斯
[00:05:19.920 --> 00:05:20.920]  到處看見一些人
[00:05:20.920 --> 00:05:21.920]  很熱情的
[00:05:21.920 --> 00:05:23.920]  認不認識都會打招呼
[00:05:23.920 --> 00:05:25.920]  Hello Hi Good day
[00:05:25.920 --> 00:05:28.920]  那次我去悉尼開會
[00:05:28.920 --> 00:05:29.920]  去悉尼開會的時候
[00:05:29.920 --> 00:05:31.920]  我早上就這樣出去走走
[00:05:31.920 --> 00:05:33.920]  神魂一下
[00:05:33.920 --> 00:05:35.920]  在街上看到很多不同的人
[00:05:35.920 --> 00:05:37.920]  我就這樣主動和他們打招呼
[00:05:37.920 --> 00:05:38.920]  一個沒有反應
[00:05:38.920 --> 00:05:39.920]  兩個沒有反應
[00:05:39.920 --> 00:05:40.920]  都不是沒有反應
[00:05:40.920 --> 00:05:41.920]  看著我
[00:05:41.920 --> 00:05:43.920]  有些微笑
[00:05:43.920 --> 00:05:44.920]  但又不知怎麼回事
[00:05:44.920 --> 00:05:46.920]  我就覺得這麼可愛
[00:05:46.920 --> 00:05:48.920]  和我在帕斯生活不同
[00:05:48.920 --> 00:05:51.920]  於是我就做一個行動測試
[00:05:51.920 --> 00:05:52.920]  在我笑著口
[00:05:52.920 --> 00:05:53.920]  一路走
[00:05:53.920 --> 00:05:56.920]  一路見到一些人和別人打招呼
[00:05:56.920 --> 00:05:58.920]  那些人更怕我
[00:05:58.920 --> 00:06:00.920]  沒有一個人
