
[00:00:00.000 --> 00:00:06.600]  今天我們會看一個,如果大家有時在主義學的時候都聽過的一個比喻
[00:00:06.600 --> 00:00:10.120]  就是法利菜人和瑞利的比喻
[00:00:10.120 --> 00:00:15.200]  而今天我們看的題目叫做「神所接納的人是誰」
[00:00:15.200 --> 00:00:19.840]  這個亦都是我們這個週末在家崇拜的題目
[00:00:19.840 --> 00:00:25.400]  在在家崇拜裏面我們都鼓勵小組去開始的時候先玩一個遊戲
[00:00:25.400 --> 00:00:28.240]  這個是一個猜情沉的遊戲
[00:00:28.240 --> 00:00:31.880]  因為猜情沉的遊戲是這樣玩的,就是大家開始的時候
[00:00:31.880 --> 00:00:36.360]  每個人都是雞蛋,雞蛋要蹲下的
[00:00:36.360 --> 00:00:40.120]  那你就要猜了,我就和Shirley猜了
[00:00:40.120 --> 00:00:44.120]  1,2,3,對了,當我贏了,我輸了的
[00:00:44.120 --> 00:00:49.160]  我贏了的時候我就會變成雞仔,雞仔都是要蹲下的
[00:00:49.160 --> 00:00:56.040]  雞仔就只可以和雞仔猜的,那你再猜,我和Iris猜的
[00:00:56.040 --> 00:00:58.680]  1,2,3,這次我真的贏了
[00:00:58.680 --> 00:01:02.640]  我就會變成一隻母雞
[00:01:02.640 --> 00:01:06.960]  但如果你猜輸了的話,你又會變回第一級
[00:01:06.960 --> 00:01:10.320]  即是如果你是母雞,你猜輸了又變回雞仔
[00:01:10.320 --> 00:01:13.840]  你雞仔的時候猜輸了,你又變回雞蛋
[00:01:13.840 --> 00:01:16.760]  當我現在是一隻母雞,我就猜了
[00:01:16.760 --> 00:01:22.560]  就由Winnie猜,1,2,3,對了,當我贏了,我輸了的
[00:01:22.560 --> 00:01:27.000]  我就會變成一隻公雞
[00:01:27.000 --> 00:01:31.000]  當我變成一隻公雞的時候,我就完成了,可以嗎?
[00:01:31.000 --> 00:01:34.440]  那我就可以怎樣?就找張椅子坐下
[00:01:34.440 --> 00:01:41.080]  看看其他組員,他們可能還是雞蛋,雞仔,母雞
[00:01:41.080 --> 00:01:44.240]  回到小組的時候,你就會玩這個遊戲
[00:01:44.240 --> 00:01:49.920]  我每一堂崇拜,我都見到有我的組員參加崇拜的
[00:01:49.920 --> 00:01:53.600]  因為下星期我才是在家崇拜的
[00:01:53.600 --> 00:01:55.080]  你們讓讓我,可以嗎?
[00:01:55.080 --> 00:01:58.840]  因為如果我做雞蛋太久
[00:01:58.840 --> 00:02:01.920]  就算我猜贏了,我都不會變成母雞
[00:02:01.920 --> 00:02:04.360]  因為我站不起來,可以嗎?
[00:02:04.360 --> 00:02:06.520]  所以大家知道,我見到有幾個嘴在
[00:02:06.520 --> 00:02:08.600]  不要讓我做雞蛋太久
[00:02:08.600 --> 00:02:13.280]  否則猜贏了,他都只會做一隻永恆的雞蛋
[00:02:13.280 --> 00:02:18.800]  但這個遊戲,有時大家玩的時候會有一個感覺
[00:02:18.800 --> 00:02:21.600]  就是如果你是一隻公雞的時候
[00:02:21.600 --> 00:02:24.320]  你要開始怎樣?
[00:02:24.320 --> 00:02:28.960]  看低其他人,我們所有人都是一隻公雞
[00:02:28.960 --> 00:02:31.440]  那些人還是雞蛋那麼傻
[00:02:31.440 --> 00:02:34.120]  那些人猜來猜去都是一隻雞仔
[00:02:34.120 --> 00:02:36.960]  而且這個遊戲有一點階級觀念
