
[00:00:00.000 --> 00:00:03.600]  各位團友 我們再一次來到聖地以色列巴勒斯坦地
[00:00:03.600 --> 00:00:08.200]  你記得上一集我們查訪過耶穌出生的事跡
[00:00:08.200 --> 00:00:09.600]  我們去過白利恆
[00:00:09.600 --> 00:00:12.000]  你記得故事內容大概是這樣的
[00:00:12.000 --> 00:00:17.400]  約瑟瑪利亞當時他們在北面加利利一個小鎮叫做拿撒勒
[00:00:17.400 --> 00:00:21.800]  因為羅馬帝國要逼人民回鄉到布水
[00:00:21.800 --> 00:00:24.600]  所以約瑟利亞帶著有心人的瑪利亞
[00:00:24.600 --> 00:00:28.800]  他就回到自己的家鄉猶太地的白利恆
[00:00:28.800 --> 00:00:31.400]  在那裡耶穌剛好出生
[00:00:31.400 --> 00:00:35.800]  可能因為在白利恆有其他家人親屬照顧
[00:00:35.800 --> 00:00:39.000]  所以他們就暫時留在白利恆
[00:00:39.000 --> 00:00:41.800]  誰知到耶穌大概兩歲的時候
[00:00:41.800 --> 00:00:44.800]  大希律王就想追殺耶穌
[00:00:44.800 --> 00:00:47.400]  然後他們有神的指引
[00:00:47.400 --> 00:00:53.200]  他們一家就逃難到埃及成為難民
[00:00:53.200 --> 00:00:55.800]  大希律沒多久就死了
[00:00:55.800 --> 00:00:58.600]  他的國土就分給他三個兒子
[00:00:58.600 --> 00:01:01.400]  第一個兒子叫做阿基努
[00:01:01.400 --> 00:01:05.800]  他管理猶太地、撒瑪利亞和以東地
[00:01:05.800 --> 00:01:08.400]  第二個兒子叫做安提帕
[00:01:08.400 --> 00:01:09.800]  叫做希律安提帕
[00:01:09.800 --> 00:01:16.200]  他管北面的加利利省和約旦河東的一處比利亞
[00:01:16.200 --> 00:01:18.200]  然後東北面的巴山地
[00:01:18.200 --> 00:01:21.400]  現在我們叫做哥蘭高地
[00:01:21.400 --> 00:01:24.000]  就交給他定愛的第三個兒子
[00:01:24.000 --> 00:01:26.800]  叫做希律菲力菲勒
[00:01:26.800 --> 00:01:29.400]  約瑟聽聞大希律王死了之後
[00:01:29.400 --> 00:01:31.200]  當時耶穌還小
[00:01:31.200 --> 00:01:34.600]  本來他們想一家就回到白利恆
[00:01:34.600 --> 00:01:39.000]  可能他覺得至少那裡有本族的親友來照顧
[00:01:39.000 --> 00:01:40.600]  可以照顧小孩
[00:01:40.600 --> 00:01:42.200]  所以想回到白利恆
[00:01:42.200 --> 00:01:47.400]  但他知道阿基努來接管猶太省的時候
[00:01:47.400 --> 00:01:49.200]  心裡非常不安
[00:01:49.200 --> 00:01:51.000]  說起阿基努
[00:01:51.000 --> 00:01:53.600]  他和父王大希律其實都一樣
[00:01:53.600 --> 00:01:55.600]  生性非常凶宅
[00:01:55.600 --> 00:02:01.400]  結果阿基努只管了猶太省九年這麼短
[00:02:01.400 --> 00:02:04.000]  即是公元前四年至公元後六年
[00:02:04.000 --> 00:02:08.200]  羅馬帝國蓋薩將阿基努革職
[00:02:08.200 --> 00:02:11.400]  然後流亡到歐洲一個大的地方
