
[00:00:00.000 --> 00:00:01.400]  好,弟兄姊妹平安下
[00:00:01.400 --> 00:00:03.800]  家中的弟兄姊妹也平安下
[00:00:03.800 --> 00:00:05.840]  好,我們一起祈禱
[00:00:05.840 --> 00:00:09.240]  謝謝祢讓我們可以在清晨裡
[00:00:09.240 --> 00:00:10.760]  去敬拜祢、讚美祢
[00:00:10.760 --> 00:00:12.960]  也謝謝祢賜下祢寶貴的話語
[00:00:12.960 --> 00:00:15.680]  去幫助我們、兼顧我們的生命
[00:00:15.680 --> 00:00:17.960]  求主祢讓我們藉著這個時間
[00:00:17.960 --> 00:00:19.120]  我們去聽祢的道
[00:00:19.120 --> 00:00:21.880]  讓我們了解、明白、能夠用出來
[00:00:21.880 --> 00:00:24.320]  求主祢帶領我們聽祈禱
[00:00:24.320 --> 00:00:26.520]  奉耶穌名字而求
[00:00:26.520 --> 00:00:27.880]  阿們
[00:00:27.880 --> 00:00:30.280]  好,今天跟大家分享一個題目
[00:00:30.280 --> 00:00:32.400]  永遠的約,全家認約
[00:00:32.400 --> 00:00:37.120]  不過在開始之前跟大家介紹一個地方
[00:00:37.120 --> 00:00:38.560]  讓大家認識一下這個地方
[00:00:38.560 --> 00:00:40.480]  這個地方是這樣的
[00:00:40.480 --> 00:00:42.760]  這個可能是一個家的地方
[00:00:42.760 --> 00:00:46.800]  你看看漂亮不漂亮
[00:00:46.800 --> 00:00:49.680]  這個就是一入門口的大廳
[00:00:49.680 --> 00:00:52.160]  有這樣的地方
[00:00:52.160 --> 00:00:54.200]  然後呢
[00:00:54.200 --> 00:00:57.960]  另外一邊的大廳還有一個牆枱
[00:00:57.960 --> 00:00:59.600]  一個很大的位置
[00:00:59.600 --> 00:01:03.720]  然後旁邊一路走就走到一個廚房
[00:01:03.720 --> 00:01:07.040]  有一個小島的廚房
[00:01:07.040 --> 00:01:08.840]  很寬敞的
[00:01:08.840 --> 00:01:10.840]  然後在廚房對出
[00:01:10.840 --> 00:01:14.400]  原來還有一個小廳
[00:01:14.400 --> 00:01:17.240]  這個地方其實有兩層
[00:01:17.240 --> 00:01:21.640]  外面的屋頂有一個有蓋的
[00:01:21.640 --> 00:01:25.000]  另外再出一點還有一個沒有蓋的
[00:01:25.000 --> 00:01:27.320]  還有一個籃球架
[00:01:27.320 --> 00:01:29.800]  可以打籃球的地方
[00:01:29.800 --> 00:01:32.320]  這個就是上面的房間
[00:01:32.320 --> 00:01:34.080]  有四個房間
[00:01:34.080 --> 00:01:37.360]  很正確,四個房間
[00:01:37.360 --> 00:01:38.760]  另外有兩個房間
[00:01:38.760 --> 00:01:40.960]  每個房間都很大的
[00:01:40.960 --> 00:01:45.040]  還有三個很大的廁所
[00:01:45.040 --> 00:01:48.920]  不知道這個地方漂亮不漂亮
[00:01:48.920 --> 00:01:52.480]  OK而已,你們的要求都很高
[00:01:52.480 --> 00:01:55.840]  我就覺得很不錯
[00:01:55.840 --> 00:01:57.480]  這個很漂亮的地方
[00:01:57.480 --> 00:01:59.840]  我上網看是2000呎
[00:01:59.840 --> 00:02:03.840]  可能對你們來說很小
[00:02:03.840 --> 00:02:05.960]  2000呎對我來說
[00:02:05.960 --> 00:02:09.040]  我在香港住的只有幾百呎
[00:02:09.040 --> 00:02:11.040]  所以在網上看到這間屋
[00:02:11.040 --> 00:02:13.720]  就覺得非常正
[00:02:13.720 --> 00:02:16.560]  又大地方又有空間
[00:02:16.560 --> 00:02:19.520]  這個單位原來是我來這裡之前
[00:02:19.520 --> 00:02:21.520]  正在看的單位
[00:02:21.520 --> 00:02:24.120]  我上網看了這個單位
[00:02:24.120 --> 00:02:28.600]  因為我來之前要安排我的居住
[00:02:28.600 --> 00:02:31.160]  我就找了一些屋
[00:02:31.160 --> 00:02:33.400]  看了單位就排了一些次序
[00:02:33.400 --> 00:02:36.600]  這個就排第一
[00:02:36.600 --> 00:02:38.880]  首選的就選了這間屋
[00:02:38.880 --> 00:02:39.800]  因為地方夠大
[00:02:39.800 --> 00:02:42.240]  有足夠的空間給弟兄姊妹來我家
[00:02:42.240 --> 00:02:44.040]  吃飯玩玩,小朋友玩
[00:02:44.040 --> 00:02:47.240]  捉迷藏也OK的
[00:02:47.240 --> 00:02:50.160]  外面有地方燒烤
[00:02:50.160 --> 00:02:51.240]  各樣東西都好
[00:02:51.240 --> 00:02:52.960]  而且校網也不錯
[00:02:52.960 --> 00:02:56.760]  校網比較高的校網
[00:02:56.760 --> 00:02:59.160]  結果怎樣
[00:02:59.160 --> 00:03:00.480]  我都不是住這間屋
[00:03:00.480 --> 00:03:01.840]  一間這麼漂亮的屋
[00:03:01.840 --> 00:03:02.680]  最後都不是我住
[00:03:02.680 --> 00:03:04.320]  理由很簡單
[00:03:04.320 --> 00:03:05.600]  我沒有簽約
[00:03:05.600 --> 00:03:06.480]  我沒有簽這個約
[00:03:06.480 --> 00:03:09.040]  當然原因是差一點點
[00:03:09.040 --> 00:03:17.200]  他就說HOA還沒試過在網上見我
[00:03:17.200 --> 00:03:18.960]  因為我當時來不了
[00:03:18.960 --> 00:03:20.040]  他要在網上見我
[00:03:20.040 --> 00:03:23.080]  看看我批不批准我買這間屋
[00:03:23.080 --> 00:03:24.720]  所以他說沒試過
