
[00:00:00.000 --> 00:00:04.000]  最近乘車或乘地鐵
[00:00:04.000 --> 00:00:06.000]  不知有沒有留意一個現象
[00:00:06.000 --> 00:00:10.000]  無論年青人或年紀大
[00:00:10.000 --> 00:00:12.000]  很多人都人手一機
[00:00:12.000 --> 00:00:14.000]  一是撥一撥
[00:00:14.000 --> 00:00:16.000]  一是兩手按一按
[00:00:16.000 --> 00:00:20.000]  本來乘車這些時間
[00:00:20.000 --> 00:00:22.000]  能夠這樣用了它
[00:00:22.000 --> 00:00:24.000]  都未嘗不是好的
[00:00:24.000 --> 00:00:26.000]  不過有時你發覺
[00:00:26.000 --> 00:00:28.000]  不是我們控制它
[00:00:28.000 --> 00:00:31.000]  反而是這些機器控制我們
[00:00:31.000 --> 00:00:33.000]  不知有時你覺不覺得
[00:00:33.000 --> 00:00:38.000]  在車上你都不能靜下來
[00:00:38.000 --> 00:00:41.000]  或用時間想想神的恩典
[00:00:41.000 --> 00:00:43.000]  或是反省自己
[00:00:43.000 --> 00:00:45.000]  都不行都靜不了
[00:00:45.000 --> 00:00:46.000]  手好像很癢
[00:00:46.000 --> 00:00:48.000]  一定要用些東西按一下才行
[00:00:48.000 --> 00:00:51.000]  我們好像被它控制了
[00:00:51.000 --> 00:00:54.000]  我亦聽聞最近有一個遊戲
[00:00:54.000 --> 00:00:58.000]  遊戲機的遊戲很好玩
[00:00:58.000 --> 00:01:00.000]  聽聞很多人都著迷
[00:01:00.000 --> 00:01:02.000]  我有一個同工
[00:01:02.000 --> 00:01:05.000]  有一次在主日崇拜之前
[00:01:05.000 --> 00:01:07.000]  見到一位女士
[00:01:07.000 --> 00:01:10.000]  一尾打一尾按按按那個機
[00:01:10.000 --> 00:01:12.000]  我同工拍她肩膀
[00:01:12.000 --> 00:01:13.000]  告訴她
[00:01:13.000 --> 00:01:15.000]  就崇拜開始了
[00:01:15.000 --> 00:01:17.000]  那位太太
[00:01:17.000 --> 00:01:19.000]  抬頭望一望我同工
[00:01:19.000 --> 00:01:20.000]  「哦」
[00:01:20.000 --> 00:01:21.000]  就垂下頭
[00:01:21.000 --> 00:01:23.000]  又繼續按
[00:01:23.000 --> 00:01:25.000]  好像控制不了
[00:01:25.000 --> 00:01:28.000]  我們亦都發覺
[00:01:28.000 --> 00:01:32.000]  這個成為很多年青人的網絡
[00:01:32.000 --> 00:01:35.000]  我最近聽到一些數字
[00:01:35.000 --> 00:01:37.000]  我自己都大吃一驚
[00:01:37.000 --> 00:01:39.000]  先有一個數字是青年協會
[00:01:39.000 --> 00:01:41.000]  在2010年調查
[00:01:41.000 --> 00:01:43.000]  31間中學
[00:01:43.000 --> 00:01:46.000]  調查1500個學生
[00:01:46.000 --> 00:01:48.000]  由中一到中七
[00:01:48.000 --> 00:01:52.000]  研究他們有沒有網絡沉溺的現象
[00:01:52.000 --> 00:01:54.000]  即是說上網上到
[00:01:54.000 --> 00:01:56.000]  他自己都控制不了
[00:01:56.000 --> 00:01:59.000]  又不睡覺又不吃飯等等
[00:01:59.000 --> 00:02:00.000]  不知道你想
[00:02:00.000 --> 00:02:03.000]  那個百分比有多少呢?
[00:02:03.000 --> 00:02:05.000]  是31%
[00:02:05.000 --> 00:02:06.000]  即是說
[00:02:06.000 --> 00:02:08.000]  接近有三成的中學生
[00:02:08.000 --> 00:02:12.000]  是被網絡控制了
[00:02:12.000 --> 00:02:13.000]  那你說
[00:02:13.000 --> 00:02:15.000]  這些不是基督徒
[00:02:15.000 --> 00:02:16.000]  如果是基督徒
[00:02:16.000 --> 00:02:19.000]  情況就會好很多
[00:02:19.000 --> 00:02:22.000]  那實際上基督徒是不是又好一點呢?
[00:02:22.000 --> 00:02:24.000]  基督徒是不是自由一點呢?
[00:02:24.000 --> 00:02:26.000]  不受什麼限制呢?
[00:02:26.000 --> 00:02:29.000]  有一個數字更加令我
[00:02:29.000 --> 00:02:32.000]  大吃一驚和擔心
[00:02:32.000 --> 00:02:35.000]  這個是明光社做的調查
[00:02:35.000 --> 00:02:38.000]  它不是調查網絡的沉溺情況
[00:02:38.000 --> 00:02:42.000]  是調查性沉溺的問題
[00:02:42.000 --> 00:02:46.000]  即是說基督徒有沒有可能
[00:02:46.000 --> 00:02:48.000]  看黃色網頁
