
[00:00:00.000 --> 00:00:01.400]  不知道在座的弟兄姊妹
[00:00:01.400 --> 00:00:03.600]  有沒有人喜歡去玩砌圖?
[00:00:03.600 --> 00:00:04.600]  有沒有?
[00:00:04.600 --> 00:00:06.000]  舉起手讓我知道
[00:00:06.000 --> 00:00:07.000]  喜歡玩砌圖
[00:00:07.000 --> 00:00:10.000]  大家砌過最大的幅是多少塊?
[00:00:10.000 --> 00:00:11.400]  二千塊?
[00:00:11.400 --> 00:00:13.200]  三千塊?
[00:00:13.200 --> 00:00:14.000]  五千塊!
[00:00:14.000 --> 00:00:16.000]  我後面有人砌過五千塊
[00:00:16.000 --> 00:00:18.400]  五千塊也很大幅
[00:00:18.400 --> 00:00:21.200]  如果在這麼大幅的砌圖裏面
[00:00:21.200 --> 00:00:22.600]  你很努力很努力
[00:00:22.600 --> 00:00:24.000]  或者不只是自己
[00:00:24.000 --> 00:00:25.000]  整家人一起
[00:00:25.000 --> 00:00:27.400]  很多朋友一起幫忙砌了很久
[00:00:27.400 --> 00:00:29.400]  砌完之後發現
[00:00:29.400 --> 00:00:31.400]  最後那一塊
[00:00:31.400 --> 00:00:34.000]  怎麼找也找不到
[00:00:34.000 --> 00:00:36.200]  不見了
[00:00:36.200 --> 00:00:39.200]  當時心情會是怎樣?
[00:00:39.200 --> 00:00:42.000]  如果你覺得那塊真的很重要很重要
[00:00:42.000 --> 00:00:43.200]  會不會很拼命的
[00:00:43.200 --> 00:00:43.800]  嘩!
[00:00:43.800 --> 00:00:45.400]  什麼碎碎碎的到處去找
[00:00:45.400 --> 00:00:48.800]  自己三袋也找找
[00:00:48.800 --> 00:00:50.800]  如果砌圖裏面不見了一塊
[00:00:50.800 --> 00:00:53.200]  我們會覺得很可惜
[00:00:53.200 --> 00:00:55.400]  可能是一個遺憾
[00:00:55.400 --> 00:00:56.800]  我神學院有一位老師
[00:00:56.800 --> 00:00:58.200]  他有一句說話
[00:00:58.200 --> 00:00:59.600]  他說
[00:00:59.600 --> 00:01:03.400]  人生總有一些遺憾
[00:01:03.400 --> 00:01:06.800]  這位老師是一個經驗很老到的老師
[00:01:06.800 --> 00:01:09.600]  不知道是不是當我們年紀越來越大
[00:01:09.600 --> 00:01:11.400]  我們會越來越要學習
[00:01:11.400 --> 00:01:16.200]  去接受一些不完美
[00:01:16.200 --> 00:01:18.000]  但是如果那些不完美
[00:01:18.000 --> 00:01:21.200]  在我們的生命裏面是很重要的呢?
[00:01:21.200 --> 00:01:23.800]  甚至如果這些不完美
[00:01:23.800 --> 00:01:26.400]  會令我們失去了平安
[00:01:26.400 --> 00:01:29.000]  我們會不會用盡方法
[00:01:29.000 --> 00:01:33.200]  很想去修補這個缺口呢?
[00:01:33.200 --> 00:01:35.400]  就好像那塊拼圖
[00:01:35.400 --> 00:01:37.600]  很想很想去找回它出來
[00:01:37.600 --> 00:01:39.400]  讓整個砌圖
[00:01:39.400 --> 00:01:43.000]  就好像我們的生命能夠完整
[00:01:43.000 --> 00:01:44.200]  今天要講的題目是
[00:01:44.200 --> 00:01:46.600]  似平安的神
[00:01:46.600 --> 00:01:47.800]  我們去想想
[00:01:47.800 --> 00:01:50.600]  真正的平安是什麼
[00:01:50.600 --> 00:01:51.600]  真是主愛多謝你
[00:01:51.600 --> 00:01:52.400]  讚美你
[00:01:52.400 --> 00:01:55.000]  因為你永遠愛我們
[00:01:55.000 --> 00:01:58.600]  因為你在十課上面的犧牲和救贖
[00:01:58.600 --> 00:02:01.600]  我們有新的生命
[00:02:01.600 --> 00:02:03.400]  我們讚美你
[00:02:03.400 --> 00:02:07.000]  因為有你所賜下的平安
[00:02:07.000 --> 00:02:10.000]  才讓我們的心能夠滿足
[00:02:10.000 --> 00:02:11.200]  主愛多謝你
[00:02:11.200 --> 00:02:14.600]  願聖靈你在我們的心裏面幫助我們
[00:02:14.600 --> 00:02:17.200]  讓我們去明白你的話語
[00:02:17.200 --> 00:02:21.200]  讓我們能夠跟從你的教導去行
[00:02:21.200 --> 00:02:23.400]  成為你喜悅的兒女
[00:02:23.400 --> 00:02:24.200]  我們多謝你
[00:02:24.200 --> 00:02:25.000]  讚美你
[00:02:25.000 --> 00:02:27.400]  因為同在聽我們的禱告
[00:02:27.400 --> 00:02:30.600]  奉靠主耶穌基督得勝的明智祈求
[00:02:30.600 --> 00:02:31.600]  Amen
[00:02:31.600 --> 00:02:33.400]  各位請坐
[00:02:33.400 --> 00:02:35.000]  今天和大家分享的題目是
[00:02:35.000 --> 00:02:37.400]  似平安的神
[00:02:37.400 --> 00:02:38.800]  今季我們的主題是
[00:02:38.800 --> 00:02:41.000]  明白主的心
[00:02:41.000 --> 00:02:45.200]  我們的主是那位願意賜下平安的神
[00:02:45.200 --> 00:02:50.600]  經文記載在《史詩記》的六章一至到三十二節
[00:02:50.600 --> 00:02:52.000]  不知道大家想到平安
[00:02:52.000 --> 00:02:54.000]  你會想到什麼呢?
[00:02:54.000 --> 00:02:57.400]  平安這個字在希伯來文裏面說是Shalom
[00:02:57.400 --> 00:03:00.000]  Shalom是他們打招呼的方式
[00:03:00.000 --> 00:03:02.400]  他們見到別人會跟別人說Shalom Shalom
[00:03:02.400 --> 00:03:04.600]  就是你平安
[00:03:04.600 --> 00:03:07.600]  不知道在中國人的處境裏面
[00:03:07.600 --> 00:03:09.200]  我們想平安
[00:03:09.200 --> 00:03:12.000]  你會想到什麼四字詞呢?
[00:03:12.000 --> 00:03:14.400]  什麼是平安呢?
[00:03:14.400 --> 00:03:16.400]  出入平安
[00:03:16.400 --> 00:03:20.400]  還有平安大吉
[00:03:20.400 --> 00:03:22.600]  如果想一家人整整齊齊的話
[00:03:22.600 --> 00:03:24.000]  就怎麼樣呢?
[00:03:24.000 --> 00:03:27.000]  老少平安
[00:03:27.000 --> 00:03:30.800]  平安不知道是不是我們心裏邊有一份平安
[00:03:30.800 --> 00:03:33.000]  或者我們人生是安全的
[00:03:33.000 --> 00:03:35.000]  心境是平靜的
[00:03:35.000 --> 00:03:36.800]  無憂無慮
[00:03:36.800 --> 00:03:38.800]  總之無風無浪
[00:03:38.800 --> 00:03:40.600]  就是平安
[00:03:40.600 --> 00:03:42.400]  或者你說很簡單
[00:03:42.400 --> 00:03:44.400]  總之就平平安安
[00:03:44.400 --> 00:03:46.400]  不要煩就行了
[00:03:46.400 --> 00:03:48.200]  但神所賜的平安
[00:03:48.200 --> 00:03:50.000]  是不是就是這樣呢?
[00:03:50.000 --> 00:03:52.200]  如果這份平平安安
[00:03:52.200 --> 00:03:53.800]  遇到一些困難
[00:03:53.800 --> 00:03:56.000]  遇到一些挑戰的時候
[00:03:56.000 --> 00:03:58.600]  會不會消失了呢?
[00:03:58.600 --> 00:03:59.800]  作為基督徒
[00:03:59.800 --> 00:04:04.000]  不知道大家有沒有求過主持平安呢?
[00:04:04.000 --> 00:04:08.200]  甚至我們會用這句說話去祝福其他人
[00:04:08.200 --> 00:04:11.000]  但到底神所賜的平安
[00:04:11.000 --> 00:04:15.600]  是不是只是保守我們一切順順利利呢?
[00:04:15.600 --> 00:04:17.200]  在什麼時候
[00:04:17.200 --> 00:04:22.000]  主的平安會沒有了呢?
[00:04:22.000 --> 00:04:22.800]  在聖經裏面
[00:04:22.800 --> 00:04:26.000]  其實平安這個字包含了完整
[00:04:26.000 --> 00:04:29.800]  修補和復和的意思
[00:04:29.800 --> 00:04:32.200]  我們去看看一些經文告訴我們
[00:04:32.200 --> 00:04:34.800]  其實在約伯記裏面說的平安
[00:04:34.800 --> 00:04:38.800]  當約伯一時間沒有了自己的財產
[00:04:38.800 --> 00:04:40.200]  很慘
