
[00:00:00.000 --> 00:00:02.000]  請姊妹們不安
[00:00:02.000 --> 00:00:05.740]  這幾天天氣很熱
[00:00:05.740 --> 00:00:09.000]  欣賞你們明知機槌
[00:00:09.000 --> 00:00:12.500]  透不過氣可以熱得
[00:00:12.500 --> 00:00:15.000]  今天回來五堂
[00:00:15.000 --> 00:00:17.000]  沒有去早堂涼冷氣
[00:00:17.000 --> 00:00:19.000]  欣賞大家
[00:00:19.000 --> 00:00:21.000]  很抱歉
[00:00:21.000 --> 00:00:24.000]  我們只能夠帶一把風扇
[00:00:24.000 --> 00:00:26.000]  給我和詩琴自私吹
[00:00:26.000 --> 00:00:31.000]  因為我們都不斷出汗
[00:00:31.000 --> 00:00:35.000]  都見諒
[00:00:35.000 --> 00:00:39.000]  每年的英國夏天
[00:00:39.000 --> 00:00:45.000]  我不知道大家會不會都在家中種植
[00:00:45.000 --> 00:00:49.000]  我每一年夏天來了五年
[00:00:49.000 --> 00:00:53.000]  我每年都會嘗試種一種
[00:00:53.000 --> 00:00:56.000]  我在香港很喜歡吃的菜
[00:00:56.000 --> 00:00:59.000]  但來到這裡就賣得很貴
[00:00:59.000 --> 00:01:01.000]  這種菜就是油麥菜
[00:01:01.000 --> 00:01:06.000]  這幾年其實只有一次成功過
[00:01:06.000 --> 00:01:10.000]  今年又再次種植
[00:01:10.000 --> 00:01:13.000]  我種了兩盤
[00:01:13.000 --> 00:01:17.000]  一盤和其他花放在一起
[00:01:17.000 --> 00:01:23.000]  另一盤自己放在一個位置
[00:01:23.000 --> 00:01:31.000]  早幾天和花一起放的盤長得很高
[00:01:31.000 --> 00:01:37.000]  再不收割就會爛
[00:01:37.000 --> 00:01:39.000]  所以我就收割
[00:01:39.000 --> 00:01:44.000]  同步我看另一盤的處境
[00:01:44.000 --> 00:01:47.000]  已經被蟲吃光
[00:01:47.000 --> 00:01:51.000]  為什麼同一個花園
[00:01:51.000 --> 00:01:57.000]  一盤被蟲吃光的一盤可以收割
[00:01:57.000 --> 00:02:00.000]  足夠我一家吃了兩餐
[00:02:00.000 --> 00:02:03.000]  我兒子就研究
[00:02:03.000 --> 00:02:10.000]  他就看茂盛那一盤旁邊的每一盤花
[00:02:10.000 --> 00:02:15.000]  他就上網查看這種花會不會驅蟲
[00:02:15.000 --> 00:02:20.000]  他後來發現其中一盤花有驅蟲的作用
[00:02:20.000 --> 00:02:24.000]  所以今年我們有收成
[00:02:24.000 --> 00:02:27.000]  由種子開始種
[00:02:27.000 --> 00:02:30.000]  種到看著它發芽
[00:02:30.000 --> 00:02:33.000]  一直成長到收割
[00:02:33.000 --> 00:02:39.000]  這個過程我都存著感恩的心
[00:02:39.000 --> 00:02:44.000]  我們每一天都只是淋水 曬太陽
[00:02:44.000 --> 00:02:51.000]  但是我們看見由一粒很小的種子
[00:02:51.000 --> 00:02:58.000]  可以成長到我們可以放進口裡吃的過程
[00:02:58.000 --> 00:03:04.000]  我心裏想到這個真是恩典
[00:03:04.000 --> 00:03:07.000]  我們人的生命都是
[00:03:07.000 --> 00:03:10.000]  我們和上帝的關係都是
[00:03:10.000 --> 00:03:14.000]  我們每一個人其實都很熟悉恩典
[00:03:14.000 --> 00:03:17.000]  當我們遇到困難的時候
[00:03:17.000 --> 00:03:19.000]  上帝會給我們有力量
[00:03:19.000 --> 00:03:21.000]  當我們軟弱的時候
[00:03:21.000 --> 00:03:24.000]  上帝給我們有安慰
[00:03:24.000 --> 00:03:26.000]  當我們缺乏的時候
[00:03:26.000 --> 00:03:30.000]  上帝給我們有恭迎
[00:03:30.000 --> 00:03:33.000]  我們很自然圍住
[00:03:33.000 --> 00:03:37.000]  上帝所賜給我們一切去感恩
[00:03:37.000 --> 00:03:40.000]  因為恩典代表著
[00:03:40.000 --> 00:03:44.000]  我們從上帝手裏所領受
[00:03:44.000 --> 00:03:48.000]  一份很美好的禮物
[00:03:48.000 --> 00:03:51.000]  但不知道大家有沒有想過一個問題
[00:03:51.000 --> 00:03:54.000]  上帝給我們很多的恩典
[00:03:54.000 --> 00:04:00.000]  我們會不會只是停在我們自己的身上
[00:04:00.000 --> 00:04:04.000]  聖經裏面的恩典不是神放在我們手中
[00:04:04.000 --> 00:04:06.000]  給我們一份禮物
[00:04:06.000 --> 00:04:10.000]  而是上帝放在我們生命裏面
[00:04:10.000 --> 00:04:12.000]  一個像河流一樣
[00:04:12.000 --> 00:04:16.000]  這個恩典流到我們生命當中
[00:04:16.000 --> 00:04:19.000]  讓我們得著一份永恆的生命
[00:04:19.000 --> 00:04:22.000]  也通過我們可以流出去
[00:04:22.000 --> 00:04:25.000]  讓萬民去認識它
[00:04:25.000 --> 00:04:29.000]  今天我的講題是流動的恩典
[00:04:29.000 --> 00:04:32.000]  很快透過詩篇67篇
[00:04:32.000 --> 00:04:35.000]  我們一起去學習
[00:04:35.000 --> 00:04:39.000]  如何流入我們的生命
[00:04:39.000 --> 00:04:43.000]  這份恩典如何流過我們
[00:04:43.000 --> 00:04:47.000]  藉著我們的生命流向萬民
[00:04:47.000 --> 00:04:50.000]  我們一起禱告
[00:04:50.000 --> 00:04:57.000]  上帝知道祢給我們很多的恩典
[00:04:57.000 --> 00:04:59.000]  我們要去感恩
[00:04:59.000 --> 00:05:02.000]  首先我們獻上衷心的感恩
[00:05:02.000 --> 00:05:07.000]  主要求祢來幫助我們
[00:05:07.000 --> 00:05:11.000]  讓我們在經驗祢的恩典的同時
[00:05:11.000 --> 00:05:19.000]  我們不只是停留在自己的生命當中
[00:05:19.000 --> 00:05:24.000]  而是這份恩典能夠通過我們的生命
[00:05:24.000 --> 00:05:26.000]  去祝福不同的人
