
[00:00:00.000 --> 00:00:06.400]  隨著年紀開始來到去愈來愈增長
[00:00:06.400 --> 00:00:11.320]  會覺得我們的記憶力是愈來愈有限
[00:00:11.320 --> 00:00:14.320]  很多事情如果我們不是將它或者意念
[00:00:14.320 --> 00:00:17.800]  將它馬上找尋寶寶來寫下來
[00:00:17.800 --> 00:00:24.120]  或者馬上在手機上寫下一個約定的時候
[00:00:24.120 --> 00:00:27.000]  很快就會忘得一乾二淨
[00:00:27.000 --> 00:00:32.200]  我相信這可能是當中一些人的共同經驗
[00:00:32.200 --> 00:00:35.080]  但是大家另一個共同經驗就是會發覺到
[00:00:35.080 --> 00:00:41.000]  有些遭遇是很深深地烙印在我們記憶裏面的
[00:00:41.000 --> 00:00:42.680]  會不會是這樣
[00:00:42.680 --> 00:00:48.240]  這些遭遇確實對我們的生命很有影響力
[00:00:48.240 --> 00:00:52.320]  比如下個星期三 3月11日
[00:00:52.320 --> 00:00:56.280]  是日本大地震和海嘯的四周年
[00:00:56.280 --> 00:01:00.240]  近來我看到有些傳媒開始訪問一些災民
[00:01:00.240 --> 00:01:02.120]  有些災民說
[00:01:02.120 --> 00:01:06.880]  他從來不敢開車經過一些跨海的大橋
[00:01:06.880 --> 00:01:11.520]  因為經過的時候他會想起滔滔洪水
[00:01:11.520 --> 00:01:16.640]  這個海嘯掩蓋了他的家
[00:01:16.640 --> 00:01:19.200]  有些災民告訴我們
[00:01:19.200 --> 00:01:23.840]  他到現在都不敢再回到那個地方
[00:01:23.840 --> 00:01:31.280]  有些透過電視看到一些當日的畫面的時候
[00:01:31.280 --> 00:01:36.200]  都會感到很焦慮 很恐懼
[00:01:36.200 --> 00:01:38.360]  這些是比較遠一點的
[00:01:38.360 --> 00:01:39.280]  但是近一點的
[00:01:39.280 --> 00:01:43.600]  好像我們今天來到香港祈禱
[00:01:43.600 --> 00:01:48.000]  流感的死亡數字一路一路地上升的時候
[00:01:48.000 --> 00:01:51.280]  香港人又會想起一樣東西
[00:01:51.280 --> 00:01:55.600]  是什麼呢 沙士
[00:01:55.600 --> 00:01:59.800]  沙士的時候我剛好不是在香港
[00:01:59.800 --> 00:02:04.880]  但是我相信這也是一個共同的記憶
[00:02:04.880 --> 00:02:10.160]  想起的時候 大家裡面的感受是怎麼樣的
[00:02:10.160 --> 00:02:12.920]  有沒有不安 有沒有焦慮
[00:02:12.920 --> 00:02:20.000]  又是想起什麼
[00:02:20.000 --> 00:02:23.200]  或者我們生命裡面有沒有一些記憶
[00:02:23.200 --> 00:02:26.000]  使得我們一生忙碌不了
