
[00:00:00.000 --> 00:00:02.000]  親愛的弟兄姊妹,平安!
[00:00:02.000 --> 00:00:07.000]  在網上跟我們一起崇拜的弟兄姊妹,平安!
[00:00:07.000 --> 00:00:10.000]  我們知道因為防疫措施的關係,
[00:00:10.000 --> 00:00:14.000]  有些弟兄姊妹不能夠回到這裡,
[00:00:14.000 --> 00:00:16.500]  跟我們一起在現場去敬拜。
[00:00:16.500 --> 00:00:19.500]  圓上主也與你們同在。
[00:00:19.500 --> 00:00:23.500]  不知道大家是否記得,
[00:00:23.500 --> 00:00:25.500]  在兩個月之前,
[00:00:25.500 --> 00:00:29.000]  在伊朗的首都德克蘭,
[00:00:29.000 --> 00:00:32.500]  有一位二十三歲的女子,
[00:00:32.500 --> 00:00:37.500]  因為違反《頭巾法》而被道德警察拘捕。
[00:00:37.500 --> 00:00:41.500]  三天後,這位女子死亡。
[00:00:41.500 --> 00:00:48.000]  當局宣佈她的死亡與她的心臟病有關。
[00:00:48.000 --> 00:00:53.500]  但是當地的人似乎不太接受這個說法,
[00:00:53.500 --> 00:00:57.000]  認為另有其他原因。
[00:00:57.000 --> 00:01:02.500]  於是有不少人,包括男女,
[00:01:02.500 --> 00:01:09.500]  就走出來關注這個事情,
[00:01:09.500 --> 00:01:16.000]  也關注在那個地方的女性的處境。
[00:01:16.000 --> 00:01:23.000]  他們要求正義、自由,
[00:01:23.000 --> 00:01:25.500]  不要強制《頭巾法》。
[00:01:26.500 --> 00:01:30.500]  直至現在,兩個月之後,
[00:01:30.500 --> 00:01:34.000]  事情仍然在發展。
[00:01:34.000 --> 00:01:37.500]  在另外一個地方,
[00:01:37.500 --> 00:01:43.000]  去年八月政權易守之後,
[00:01:43.000 --> 00:01:48.500]  新政府頒布了各種限制婦女自由的法令,
[00:01:48.500 --> 00:01:54.500]  例如禁止他們在沒有男性監護人的情況下,
[00:01:54.500 --> 00:01:59.500]  從事政府工作、接受中等教育,
[00:01:59.500 --> 00:02:02.500]  以及旅行超過四十五英里。
[00:02:02.500 --> 00:02:08.000]  這些要有監護人的制度,
[00:02:08.000 --> 00:02:14.500]  只是施加在女人身上,並不施加在男人身上。
[00:02:14.500 --> 00:02:24.000]  令人想起古時候文獻記載對女性三從四德的要求,
[00:02:24.000 --> 00:02:29.500]  三從是指在家從父,
[00:02:29.500 --> 00:02:35.000]  出嫁從夫,夫死從子。
[00:02:35.000 --> 00:02:37.500]  從這些要求看來,
[00:02:37.500 --> 00:02:41.500]  暗示著女人是甚麼呢?
[00:02:41.500 --> 00:02:48.000]  女人是否必須是男人的某某呢?
[00:02:48.000 --> 00:02:53.000]  耶穌時代的殺到該人,
[00:02:53.000 --> 00:02:56.500]  似乎都懷著這樣的觀念,
[00:02:56.500 --> 00:02:59.500]  在今天的福音經課裏面,
[00:02:59.500 --> 00:03:02.000]  我們聽見他們這樣問,
[00:03:02.000 --> 00:03:05.500]  當復活的時候,
[00:03:05.500 --> 00:03:11.500]  那個女人是誰的妻子呢?
[00:03:11.500 --> 00:03:15.500]  殺到該人這個觀念似乎認為,
[00:03:15.500 --> 00:03:19.500]  女人的身份是男人的妻子,
[00:03:19.500 --> 00:03:24.500]  現在是,如果有將來,
[00:03:24.500 --> 00:03:27.500]  將來都只會是。
[00:03:27.500 --> 00:03:32.500]  這樣的說法不禁令人懷疑,
[00:03:32.500 --> 00:03:37.500]  難道女人永遠都只是男人的某某?
[00:03:37.500 --> 00:03:42.500]  讓我們回到今天的福音經課裏面,
[00:03:42.500 --> 00:03:46.500]  我們再看殺到該人這個問題的背景,
[00:03:46.500 --> 00:03:49.500]  以及具體的內容。
[00:03:49.500 --> 00:03:55.500]  經課是路加福音二十章二十七節。
[00:03:55.500 --> 00:03:59.500]  殺到該人提出這個問題,
[00:03:59.500 --> 00:04:02.500]  是否真是很關心那個女人呢?
[00:04:02.500 --> 00:04:05.500]  其實都未必的,
[00:04:05.500 --> 00:04:08.500]  因為二十七節一開始就這樣說,
[00:04:08.500 --> 00:04:13.500]  殺到該人常說沒有復活的事。
[00:04:14.500 --> 00:04:17.500]  殺到該人來問耶穌這個問題,
[00:04:17.500 --> 00:04:21.500]  他的用意是問這個問題,
[00:04:21.500 --> 00:04:24.500]  來指出復活的荒謬,
[00:04:24.500 --> 00:04:29.500]  來肯定他們認為沒有復活的立場。
[00:04:29.500 --> 00:04:35.500]  今天,如果我們問這個問題,
[00:04:35.500 --> 00:04:39.500]  我們隨便問這個女人是誰的妻子呢?
[00:04:39.500 --> 00:04:41.500]  其實是有點冒犯的,
[00:04:41.500 --> 00:04:43.500]  我們都不會這樣問。
[00:04:43.500 --> 00:04:45.500]  但是殺到該人這樣問,
[00:04:45.500 --> 00:04:48.500]  是反映著她的信念,
[00:04:48.500 --> 00:04:50.500]  和反映著她的假設,
[00:04:50.500 --> 00:04:53.500]  也都反映著她的時代背景。
[00:04:53.500 --> 00:04:57.500]  我們來看看她假設著什麼問題。
[00:04:57.500 --> 00:04:59.500]  她說二十八節,
[00:04:59.500 --> 00:05:02.500]  夫子摩西為我們寫著說,
[00:05:02.500 --> 00:05:05.500]  人若有妻無子就死了,
[00:05:05.500 --> 00:05:08.500]  他兄弟當取他的妻,
[00:05:08.500 --> 00:05:11.500]  為哥哥生子立後。
[00:05:11.500 --> 00:05:13.500]  然後繼續推論下去,
[00:05:13.500 --> 00:05:15.500]  假設七個兄弟都娶過她,
[00:05:15.500 --> 00:05:17.500]  到最後,
[00:05:17.500 --> 00:05:20.500]  如果真的有復活的話,
[00:05:20.500 --> 00:05:24.500]  那個女人是誰的妻子呢?
[00:05:24.500 --> 00:05:29.500]  邏輯上的確是有困惑的。
[00:05:29.500 --> 00:05:34.500]  而殺到該人的這個問題,
[00:05:34.500 --> 00:05:37.500]  她說不是我們自己作出來的,
[00:05:37.500 --> 00:05:41.500]  是他們的傳統在《摩西律法》裡有說的。
[00:05:41.500 --> 00:05:44.500]  所以她是大條道理的。
[00:05:44.500 --> 00:05:48.500]  我們來看看在《摩西律法》裡是怎樣說的。
[00:05:48.500 --> 00:05:53.500]  在《生命記》二十五章裡是這樣記載的。
[00:05:53.500 --> 00:05:56.500]  二十五章第五節,
[00:05:56.500 --> 00:06:00.500]  弟兄同居,若死了一個,
[00:06:00.500 --> 00:06:02.500]  沒有兒子,
[00:06:02.500 --> 00:06:05.500]  死人的妻不可出嫁外人,
[00:06:05.500 --> 00:06:10.500]  我丈夫的兄弟當盡弟兄的本分,
[00:06:10.500 --> 00:06:13.500]  娶他為妻,與他同房,
[00:06:13.500 --> 00:06:17.500]  婦人生的長子必歸死兄的名下,
[00:06:17.500 --> 00:06:22.500]  免得他的名在以色列中逃沒了。
[00:06:22.500 --> 00:06:24.500]  如果不肯又怎樣呢?
[00:06:24.500 --> 00:06:27.500]  若那人不願意娶他哥哥的妻,
[00:06:27.500 --> 00:06:32.500]  他哥哥的妻就要到城門長老那裡說,
