
[00:00:00.000 --> 00:00:01.400]  從前的目者
[00:00:01.400 --> 00:00:04.320]  他們說到《士師記》裏面的士師的時候
[00:00:04.320 --> 00:00:06.240]  差不多都將士師
[00:00:06.240 --> 00:00:08.280]  描繪為一些英雄
[00:00:08.280 --> 00:00:09.360]  一些偉人
[00:00:09.360 --> 00:00:10.960]  一些信心的人物
[00:00:10.960 --> 00:00:12.800]  從來都沒有犯錯的
[00:00:12.800 --> 00:00:14.800]  是神所喜悅的人
[00:00:14.800 --> 00:00:16.320]  不過當你聽完我所說
[00:00:16.320 --> 00:00:19.280]  《士師記》21章聖經裏面的士師之後
[00:00:19.280 --> 00:00:20.080]  可能你會發現
[00:00:20.080 --> 00:00:21.920]  就是《士師記》裏面的士師
[00:00:21.920 --> 00:00:23.040]  他們都是人
[00:00:23.040 --> 00:00:24.320]  並且你會發覺
[00:00:24.320 --> 00:00:26.000]  他們一代不如一代
[00:00:26.000 --> 00:00:27.400]  一蟹不如一蟹
[00:00:27.400 --> 00:00:29.120]  個個都有問題
[00:00:29.120 --> 00:00:31.800]  我們會發覺看見《士師記》裏面的人物
[00:00:31.800 --> 00:00:34.920]  帶給我們的感覺就是相當之失望
[00:00:34.920 --> 00:00:36.000]  的確
[00:00:36.000 --> 00:00:38.040]  當人自以為王
[00:00:38.040 --> 00:00:39.880]  偏行己路的時候
[00:00:39.880 --> 00:00:41.280]  任意而行
[00:00:41.280 --> 00:00:44.040]  結果其實是相當之可怕
[00:00:44.040 --> 00:00:46.120]  但《士師記》除了讓我們看見
[00:00:46.120 --> 00:00:48.440]  當時的士師有很多問題之外
[00:00:48.440 --> 00:00:51.600]  《士師記》同樣讓我們看見一個盼望
[00:00:51.600 --> 00:00:55.120]  這個盼望就是神對人恩典有憐憫
[00:00:55.120 --> 00:00:56.960]  雖然士師有問題
[00:00:56.960 --> 00:01:00.160]  而當時的百姓也選擇離棄神
[00:01:00.160 --> 00:01:02.640]  甚至連侍奉神的利美人
[00:01:02.640 --> 00:01:05.840]  他們在道德 宗教上也有問題
[00:01:05.840 --> 00:01:08.280]  但神對當時的百姓
[00:01:08.280 --> 00:01:10.480]  對當時的士師仍然有憐憫
[00:01:10.480 --> 00:01:13.080]  神仍然使用那些有問題的士師
[00:01:13.080 --> 00:01:15.880]  對百姓仍然有祝福 有恩典
[00:01:15.880 --> 00:01:18.640]  仍然聽他們的呼求和禱告
[00:01:18.640 --> 00:01:19.800]  救他們出來
[00:01:19.800 --> 00:01:22.520]  欺壓他們的外邦人的手
[00:01:22.520 --> 00:01:24.800]  士師的時代雖然是黑暗
[00:01:24.800 --> 00:01:26.680]  但士師的時代裏面
[00:01:26.680 --> 00:01:30.080]  並沒有任何值得我們欣賞的人物
[00:01:30.080 --> 00:01:31.600]  而我們今天所說的
[00:01:31.600 --> 00:01:35.400]  這個生長在士師時代的人物路德
[00:01:35.400 --> 00:01:38.000]  就是一個值得我們欣賞的人物
[00:01:38.000 --> 00:01:40.480]  他可以說是黑暗裏面的明燈
[00:01:40.480 --> 00:01:43.080]  有且在泥土裏面的鑽石
[00:01:43.080 --> 00:01:45.520]  在一個偏行幾路的年代裏面
[00:01:45.520 --> 00:01:48.080]  一個選擇扮偶像的日子裏面
[00:01:48.080 --> 00:01:50.960]  他單單的來選擇神
[00:01:50.960 --> 00:01:53.840]  投靠在耶和華的翅膀下
[00:01:53.840 --> 00:01:55.360]  所以我們可以看見
[00:01:55.360 --> 00:01:59.000]  他生命裏面充滿著高貴和美麗
[00:01:59.000 --> 00:02:02.120]  路德的名字的意思是美麗
[00:02:02.120 --> 00:02:04.800]  他的生命、對神的信心
[00:02:04.800 --> 00:02:07.040]  以及他對神的選擇
[00:02:07.040 --> 00:02:09.080]  充分地流露出美麗
[00:02:09.080 --> 00:02:11.280]  令人感到欣賞
[00:02:11.280 --> 00:02:14.120]  如果我們將路德和當時的士師
[00:02:14.120 --> 00:02:16.640]  以及當時的百姓做比較的時候
[00:02:16.640 --> 00:02:20.120]  我們更加看見一件諷刺的事
[00:02:20.120 --> 00:02:21.520]  屬神的子民
[00:02:21.520 --> 00:02:22.840]  他們認識神
[00:02:22.840 --> 00:02:26.160]  他是神所選照、有神所賜的律法
[00:02:26.160 --> 00:02:27.840]  但是這些屬神的子民
[00:02:27.840 --> 00:02:29.920]  他們寧願選擇假神
[00:02:29.920 --> 00:02:31.680]  當我們住在迦南地的時候
[00:02:31.680 --> 00:02:34.720]  他們選擇假神、投靠假神
[00:02:34.720 --> 00:02:36.520]  但是這位不認識神
[00:02:36.520 --> 00:02:38.560]  並且在聖經裏面形容
[00:02:38.560 --> 00:02:40.600]  不是被神所接納的外邦人
[00:02:40.600 --> 00:02:41.960]  一個女子
[00:02:41.960 --> 00:02:46.600]  他的選擇是要投靠耶和華以色列的真神
[00:02:46.600 --> 00:02:49.720]  在當時社會裏面甚有地位的男性
[00:02:49.720 --> 00:02:52.560]  在士師記裏面描述那些男性
