
[00:00:00.000 --> 00:00:01.480]  地方姐妹平安
[00:00:01.480 --> 00:00:06.080]  那麼我們今天會繼續來聽約拿的故事
[00:00:06.080 --> 00:00:09.580]  我們上一次
[00:00:09.580 --> 00:00:13.020]  好像幾個星期前就看了第一第二章
[00:00:13.020 --> 00:00:16.040]  我們看到一個約拿他是怎樣的呢
[00:00:16.040 --> 00:00:17.240]  逃避的
[00:00:17.240 --> 00:00:19.320]  對嗎 逃離
[00:00:19.320 --> 00:00:22.080]  那麼我們說逃避逃離
[00:00:22.080 --> 00:00:24.680]  不如就討神喜悅
[00:00:24.680 --> 00:00:27.400]  上帝給他一個任務 他很痛苦
[00:00:27.560 --> 00:00:30.860]  因爲是要他向他的敵人
[00:00:30.860 --> 00:00:32.560]  來傳福音
[00:00:32.560 --> 00:00:34.280]  他就逃離
[00:00:34.280 --> 00:00:37.860]  結果他逃離之後 上帝拯救了他
[00:00:37.860 --> 00:00:40.800]  拯救了他 我們還討論
[00:00:40.800 --> 00:00:42.780]  到底那魚是什麼魚 對嗎
[00:00:42.780 --> 00:00:44.680]  大家還記得嗎
[00:00:44.680 --> 00:00:46.540]  結果我們的主席弟兄
[00:00:46.540 --> 00:00:49.360]  很幽默地就告訴我們 他知道是什麼魚
[00:00:49.360 --> 00:00:51.120]  是吞拿魚
[00:00:51.120 --> 00:00:56.200]  那麼今天我們要看第三第四章
[00:00:56.480 --> 00:00:59.080]  那麼約拿 我們講到第二章的時候
[00:00:59.080 --> 00:01:00.700]  結束之前他說
[00:01:00.700 --> 00:01:02.280]  他許了個願
[00:01:02.280 --> 00:01:05.160]  他說他要去傳福音了
[00:01:05.160 --> 00:01:08.540]  所以第三章我們要看看是怎麼一個回事
[00:01:08.540 --> 00:01:10.920]  那麼我們一起同心禱告
[00:01:10.920 --> 00:01:16.040]  天父我們祈求禰用禰自己的愛
[00:01:16.040 --> 00:01:19.020]  來幫助我們的心明白禰的話
[00:01:19.020 --> 00:01:22.020]  神啊 我們很熟悉這個故事
[00:01:22.020 --> 00:01:24.580]  神啊 求禰打開我們的眼睛
[00:01:24.700 --> 00:01:26.960]  以致我們在自理行間
[00:01:26.960 --> 00:01:28.760]  我們看見禰的真理
[00:01:28.760 --> 00:01:30.620]  我們在禰自己
[00:01:30.620 --> 00:01:34.100]  那微小的對我們個別的人說話的聲音
[00:01:34.100 --> 00:01:35.460]  提醒我們
[00:01:35.460 --> 00:01:38.760]  我們生活中需要調整的地方
[00:01:38.760 --> 00:01:42.140]  神啊 以致我們能夠越來越愛禰
[00:01:42.140 --> 00:01:45.220]  我們感謝禰 求禰幫助我們每一個人
[00:01:45.220 --> 00:01:47.720]  奉主耶穌的名禱告 阿們
[00:01:47.720 --> 00:01:51.260]  第三章一開始呢 他就說
[00:01:51.260 --> 00:01:52.460]  耶和華
[00:01:52.720 --> 00:01:55.740]  的話第二次臨到約拿
[00:01:55.740 --> 00:01:58.720]  說你起來 往尼尼威大城去
[00:01:58.720 --> 00:02:00.600]  向其中的居民呢
[00:02:00.600 --> 00:02:03.420]  宣告我吩咐你的話
[00:02:03.420 --> 00:02:06.500]  一開始呢就講了這第一兩節
[00:02:06.500 --> 00:02:09.600]  那麼我們停在第二節就好了哈
[00:02:09.600 --> 00:02:12.720]  那麼我們就
[00:02:12.720 --> 00:02:13.800]  發現呢
[00:02:13.800 --> 00:02:17.600]  上帝他在這裏說第二次
[00:02:17.600 --> 00:02:19.620]  臨到約拿說
[00:02:19.980 --> 00:02:22.820]  我不知道你們對這句話有什麼反應
[00:02:22.820 --> 00:02:25.100]  我看到第二次的時候呢
[00:02:25.100 --> 00:02:26.640]  我很感動
[00:02:26.640 --> 00:02:29.680]  我看到我們的神是一個怎麼樣的神呢
[00:02:29.680 --> 00:02:32.520]  給人家第二次機會的神
[00:02:32.520 --> 00:02:35.520]  對我來說呢 我寫在我的筆記是什麼呢
[00:02:35.520 --> 00:02:38.120]  God is a God of second chances
[00:02:38.120 --> 00:02:42.040]  第二次機會神 我
[00:02:42.040 --> 00:02:45.060]  昨天有機會跟朋友
[00:02:45.060 --> 00:02:47.600]  弟兄姊妹分享 我以前
[00:02:47.600 --> 00:02:50.600]  有一些遺憾的事情
[00:02:50.600 --> 00:02:53.560]  就是讀書不用工
[00:02:53.560 --> 00:02:57.980]  那麼我呢 其實我覺得上帝
[00:02:57.980 --> 00:02:59.920]  很恩待我 那麼
[00:02:59.920 --> 00:03:02.960]  我不知道在什麼場合我們講到我們讀書的
[00:03:02.960 --> 00:03:05.520]  成績的時候 什麼時候考第一名啊
[00:03:05.520 --> 00:03:07.980]  什麼時候考第二名啊 那麼
[00:03:07.980 --> 00:03:10.880]  我說我也有過啊 那是小學一年級
[00:03:10.880 --> 00:03:14.480]  小學一年級有考過第一第二名這些
[00:03:14.480 --> 00:03:17.480]  經歷 然後呢 發生什麼事呢 第二年
[00:03:17.480 --> 00:03:20.520]  的時候呢就發現 誒 人生還有
[00:03:20.520 --> 00:03:22.820]  很多事情比讀書還好玩
[00:03:22.820 --> 00:03:25.340]  然後就開始分心了 那麼
[00:03:25.340 --> 00:03:28.040]  大家都知道我爸爸媽媽 他們
[00:03:28.040 --> 00:03:30.600]  就是勞動階級 也沒有什麼
[00:03:30.600 --> 00:03:33.600]  時間精力或者那個意識要好好的來
[00:03:33.600 --> 00:03:35.740]  把孩子栽培好 他們
[00:03:35.740 --> 00:03:38.980]  他們最大最大的貢獻就是
[00:03:38.980 --> 00:03:41.820]  他們盡他們的努力 好好地把這個
[00:03:41.820 --> 00:03:44.620]  家維持住 好好地養活我們
[00:03:44.620 --> 00:03:47.900]  能夠做多少就爲我們做多少
[00:03:47.900 --> 00:03:50.920]  這樣來支持我們
[00:03:50.920 --> 00:03:52.220]  我們很感激的
[00:03:52.220 --> 00:03:55.460]  但是因爲這樣呢 我開始那些
[00:03:55.460 --> 00:03:58.160]  學習的習慣啊什麼的 都
[00:03:58.160 --> 00:04:00.560]  荒廢了 荒廢了這個情況呢
