
[00:00:00.000 --> 00:00:03.000]  今天去到《仕途信經》第二篇講章
[00:00:03.000 --> 00:00:07.160]  上一次我們用了《仕途信經》一開始說的兩句說話
[00:00:07.160 --> 00:00:10.440]  「我信上帝全能的父」
[00:00:10.440 --> 00:00:13.280]  我們的重點放在「父」那裏
[00:00:13.280 --> 00:00:15.100]  放在一個對象裏面
[00:00:15.100 --> 00:00:18.680]  我們說這是一個祈禱很重要的基礎
[00:00:18.680 --> 00:00:21.440]  我們提到我們在天上的父
[00:00:21.440 --> 00:00:24.000]  亦都是耶穌基督教我們去祈禱
[00:00:24.000 --> 00:00:27.200]  一句很重要的第一句說話
[00:00:27.200 --> 00:00:30.560]  告訴我們今天我們祈禱是有對象
[00:00:30.560 --> 00:00:34.080]  而這個對象是和我們可以建立關係的
[00:00:34.080 --> 00:00:35.560]  是我們的爸爸
[00:00:35.560 --> 00:00:37.600]  不是一個三不四七的人
[00:00:37.600 --> 00:00:40.960]  同樣亦都欣賞我們可以向祂禱告
[00:00:40.960 --> 00:00:43.800]  可以讓我們知道祂是聽我們祈禱
[00:00:43.800 --> 00:00:48.080]  亦都是願意去回應我們的祈禱
[00:00:48.080 --> 00:00:50.120]  但這句說話還有兩個字
[00:00:50.120 --> 00:00:51.800]  就是「全能」
[00:00:51.800 --> 00:00:54.800]  「全能」在我們神學院來說
[00:00:54.800 --> 00:00:56.520]  當我們說到「全能」的時候
[00:00:56.520 --> 00:01:00.120]  我們說我們的神是無所不能
[00:01:00.120 --> 00:01:01.400]  在我們的神學觀裏面
[00:01:01.400 --> 00:01:03.040]  我們的神除了無所不能
[00:01:03.040 --> 00:01:06.640]  亦都是無所不知、無所不在的神
[00:01:06.640 --> 00:01:10.800]  但是昔日一些教父寫了這兩個說話
[00:01:10.800 --> 00:01:14.400]  「全能的父」帶給我們有甚麼含義呢?
[00:01:14.400 --> 00:01:18.080]  當我們說「我信上帝全能的父」
[00:01:18.080 --> 00:01:20.720]  是帶給我們最低限度有兩方面的含義
[00:01:20.720 --> 00:01:25.600]  第一我們的上帝是全能的
[00:01:25.600 --> 00:01:26.800]  祂是無所不能
[00:01:26.800 --> 00:01:29.160]  但相對之下第二方面
[00:01:29.160 --> 00:01:33.040]  亦都帶給我們人是有限的
[00:01:33.040 --> 00:01:36.360]  換言之今天我們人是有限
[00:01:36.360 --> 00:01:39.720]  我們面對著一個無限的上帝
[00:01:39.720 --> 00:01:41.880]  不知道弟兄姊妹你今年幾歲
[00:01:41.880 --> 00:01:43.560]  我也不會問你幾歲
[00:01:43.560 --> 00:01:45.240]  由我們從小到大
[00:01:45.240 --> 00:01:47.640]  到今天你現在這個年紀
[00:01:47.640 --> 00:01:50.840]  我們回望人生這麼多年的當中
[00:01:50.840 --> 00:01:56.360]  你覺得有甚麼是很難的?
[00:01:56.360 --> 00:01:59.000]  我相信在小時候或讀書的時候
[00:01:59.000 --> 00:02:02.920]  我們都會覺得讀書都頗難
[00:02:02.920 --> 00:02:04.120]  考試都頗難
[00:02:04.120 --> 00:02:07.360]  所以在考試之前我們都會祈禱
[00:02:07.360 --> 00:02:08.400]  平時不祈禱
[00:02:08.400 --> 00:02:10.280]  總之明天考試今天都會祈禱
[00:02:10.280 --> 00:02:11.680]  「神啊明天讓我過關吧」
[00:02:11.680 --> 00:02:12.960]  「讓我貼中題目吧」
[00:02:12.960 --> 00:02:14.440]  總之要搞定它
[00:02:14.440 --> 00:02:15.960]  因為很難
[00:02:15.960 --> 00:02:18.920]  同樣當我們長大後
[00:02:18.920 --> 00:02:24.080]  工作賺錢其實都不容易
[00:02:24.080 --> 00:02:28.440]  我相信大家工作真的付出很多時間
[00:02:28.440 --> 00:02:29.680]  付出很多努力
[00:02:29.680 --> 00:02:33.040]  縱然現在社會都在談最低工資最高工時
[00:02:33.040 --> 00:02:35.840]  我們會覺得原來香港人一個星期
[00:02:35.840 --> 00:02:38.040]  是工作55個小時
[00:02:38.040 --> 00:02:39.040]  都頗厲害的
[00:02:39.040 --> 00:02:40.160]  其實我們跟工不止的
[00:02:40.160 --> 00:02:41.760]  不好意思
[00:02:41.760 --> 00:02:45.280]  即是五十多個小時都很辛苦
[00:02:45.280 --> 00:02:52.320]  但長大後原來結婚選配偶都頗難
[00:02:52.320 --> 00:02:53.080]  你會說「不是的」
[00:02:53.080 --> 00:02:53.800]  「選配偶都很容易」
[00:02:53.800 --> 00:02:55.600]  「隨便過都可以」
[00:02:55.600 --> 00:02:58.160]  但選對的配偶真的不容易
[00:02:58.160 --> 00:02:59.760]  都很難
[00:02:59.760 --> 00:03:00.920]  真的不容易
[00:03:00.920 --> 00:03:02.520]  到你結婚了
[00:03:02.520 --> 00:03:05.480]  生了小孩
[00:03:05.480 --> 00:03:06.960]  小孩出生
[00:03:06.960 --> 00:03:08.400]  養大他
[00:03:08.400 --> 00:03:09.800]  難不難?
[00:03:09.800 --> 00:03:11.160]  其實都很難
[00:03:11.160 --> 00:03:13.680]  你不要以為我女兒現在二十多歲
[00:03:13.680 --> 00:03:14.680]  已經長大了
[00:03:14.680 --> 00:03:15.920]  我可以放心
[00:03:15.920 --> 00:03:18.840]  其實我到今天都不太放心她
[00:03:18.840 --> 00:03:19.880]  晚上她回家
[00:03:19.880 --> 00:03:20.680]  如果太晚了
