
[00:00:00.000 --> 00:00:04.080]  那我就想和大家去看另外一段聖經
[00:00:04.080 --> 00:00:10.180]  亦都是很多時候人們講祈禱的時候會喜歡提到的章節
[00:00:10.180 --> 00:00:14.940]  八節而已,老家福音十八章,一至八節
[00:00:14.940 --> 00:00:19.400]  到最後你就知道其實不止八節
[00:00:19.400 --> 00:00:21.600]  好,我讀吧,簡單的
[00:00:21.600 --> 00:00:28.780]  耶穌撤了一個比喻,施妖人常常祈禱,不可悔心
[00:00:28.780 --> 00:00:34.200]  說:某城裡有一個官不懼怕神也不尊重世人
[00:00:34.200 --> 00:00:37.780]  那城裡有個寡婦,常到他那裡說
[00:00:37.780 --> 00:00:43.580]  我有一個對頭,求你給我伸冤
[00:00:43.580 --> 00:00:46.600]  他多若不准,後來心裡說
[00:00:46.600 --> 00:00:50.480]  我雖然不懼怕神也不尊重世人
[00:00:50.480 --> 00:00:56.040]  只因這寡婦煩擾我,我就給他伸冤吧
[00:00:56.040 --> 00:01:01.480]  免得他來纏磨我
[00:01:01.480 --> 00:01:06.480]  主說:你們聽者不義之官所說的話
[00:01:06.480 --> 00:01:09.480]  神的選民晝夜呼籲他
[00:01:09.480 --> 00:01:16.000]  他縱然為他們忍了多時,豈不終究給他們伸冤嗎?
[00:01:16.000 --> 00:01:21.000]  我告訴你們,要快快地給他們伸冤了
[00:01:21.000 --> 00:01:29.140]  然而人子來的時候,遇得見世上有信德嗎?
[00:01:29.140 --> 00:01:41.780]  當你看這段聖經的時候,你都在問究竟路加福音十八章一至八節,是在說些什麼呢?
[00:01:41.780 --> 00:01:48.240]  可能你一個很簡單的回應,就是林牧師畫公仔不用畫出腸
[00:01:48.240 --> 00:01:53.660]  一早第一節聖經已經告訴你,耶穌為什麼說這個比喻呢?
[00:01:53.660 --> 00:01:58.040]  叫他們常常祈禱,不可灰心
[00:01:58.040 --> 00:02:02.080]  所以如果我今日說一篇道,路加福音十八章一至八節
[00:02:02.080 --> 00:02:08.540]  我最後說什麼呢?應用就是常常祈禱,不可灰心
