
[00:00:00.000 --> 00:00:04.480]  好 在我們去看這個重要的一個
[00:00:04.480 --> 00:00:07.440]  它的神學的一個主題的時候
[00:00:07.440 --> 00:00:10.800]  之前我們需要知道一些以色列人的歷史
[00:00:10.800 --> 00:00:14.040]  你問一個以色列人他的歷史從哪裡開始
[00:00:14.040 --> 00:00:17.960]  可能就是從亞伯拉罕的呼召開始
[00:00:17.960 --> 00:00:20.600]  亞伯拉罕、以撒、雅各
[00:00:20.600 --> 00:00:25.920]  在約瑟的時候他們進去了這個埃及
[00:00:25.920 --> 00:00:27.960]  在埃及有四百年的時候
[00:00:27.960 --> 00:00:35.360]  然後神通過摩西把他們從埃及帶出來
[00:00:35.360 --> 00:00:38.680]  要進入這個應許之地
[00:00:38.680 --> 00:00:41.440]  所以你基本上投入五本書
[00:00:41.440 --> 00:00:45.920]  這個摩西五經就是在這個亞伯拉罕的呼召
[00:00:45.920 --> 00:00:48.640]  跟這個出埃及的故事裡面
[00:00:48.640 --> 00:00:51.840]  這個歷史裡面就已經有這五本書
[00:00:51.840 --> 00:00:53.960]  等一下我們會談多一點這五本書
[00:00:53.960 --> 00:00:57.280]  因為儘管他們是只有舊約的五分之一
[00:00:57.280 --> 00:00:59.280]  但是他們的神學
[00:00:59.280 --> 00:01:04.800]  確實可能是包括了整個舊約的80%的重要
[00:01:04.800 --> 00:01:07.560]  所以如果你有跟我們一起讀過了
[00:01:07.560 --> 00:01:10.760]  聽明白了這個摩西五經的時候
[00:01:10.760 --> 00:01:17.040]  其實你對整個舊約聖經的掌握已經是不足
[00:01:17.040 --> 00:01:18.120]  出埃及以後
[00:01:18.120 --> 00:01:21.640]  摩西把他交棒給約書亞
[00:01:21.640 --> 00:01:23.480]  帶領以色列進入迦南
[00:01:23.480 --> 00:01:26.400]  本來是一件非常好的高興的事情
[00:01:26.400 --> 00:01:30.160]  但是如果你知道他們進入了迦南之後
[00:01:30.160 --> 00:01:36.640]  是實施了三百多四百年的情況
[00:01:36.640 --> 00:01:39.880]  那非常是一個混亂的時代
[00:01:39.880 --> 00:01:42.480]  實施都沒有一個是好的
[00:01:42.480 --> 00:01:44.080]  越來越壞的情況
[00:01:44.080 --> 00:01:47.800]  讓他們呼喊以色列人中沒有王
[00:01:47.800 --> 00:01:51.600]  個人做自己眼中看為對的事情
[00:01:51.600 --> 00:01:54.240]  卻是耶和華眼中看為惡的事情
[00:01:54.240 --> 00:01:55.800]  於是他們需要一個君王
[00:01:55.800 --> 00:01:58.640]  但在寫這個十四記的時候
[00:01:58.640 --> 00:02:01.440]  他們已經有一個君王就是掃羅
[00:02:01.440 --> 00:02:03.360]  但是掃羅不是一個好的君王
[00:02:03.360 --> 00:02:06.040]  所以整本十四記在告訴我們
[00:02:06.040 --> 00:02:07.760]  掃羅不是那個君王
[00:02:07.760 --> 00:02:10.000]  我們需要另外一個不一樣的君王
[00:02:10.000 --> 00:02:11.640]  是大衛的君王
[00:02:11.640 --> 00:02:14.400]  掃羅是以色列人的第一個君王
[00:02:14.400 --> 00:02:16.680]  但是很快就被上帝所拒絕
[00:02:16.680 --> 00:02:18.920]  因為他不是一個追求上帝的人
[00:02:18.920 --> 00:02:23.120]  相反大衛才是上帝所揀選的君主
[00:02:23.120 --> 00:02:27.680]  大衛過後有所羅門的出現
[00:02:27.680 --> 00:02:30.480]  本來所羅門應該是那個和平之君
[00:02:30.480 --> 00:02:32.960]  也是為上帝蓋他的聖殿
[00:02:32.960 --> 00:02:36.680]  可是當我們在看這個列王記的時候
[00:02:36.680 --> 00:02:40.640]  我們發覺所羅門墮落罪裡面
[00:02:40.640 --> 00:02:43.240]  他愛許許多多外邦的女子
[00:02:43.240 --> 00:02:45.760]  也是跟隨那些外邦女子去
[00:02:45.760 --> 00:02:48.040]  敬拜外邦的假神
[00:02:48.040 --> 00:02:49.360]  因為所羅門的罪
[00:02:49.360 --> 00:02:51.080]  因為以色列人的罪
[00:02:51.080 --> 00:02:54.720]  上帝把以色列的國一分為二
