
[00:00:00.000 --> 00:00:02.000]  好快就過年了
[00:00:02.000 --> 00:00:04.000]  在這裏我不如也預祝大家
[00:00:04.000 --> 00:00:06.000]  在新的一年
[00:00:06.000 --> 00:00:08.000]  主恩常在 福輝每日
[00:00:08.000 --> 00:00:10.000]  在新的一年我們跟神的關係更加密切
[00:00:10.000 --> 00:00:12.000]  更加甜蜜
[00:00:12.000 --> 00:00:14.000]  我是韓瑪麗
[00:00:14.000 --> 00:00:16.000]  瑪麗兩個字是來自
[00:00:16.000 --> 00:00:18.000]  以馬來尼
[00:00:18.000 --> 00:00:20.000]  即是神與我們同在的意思
[00:00:20.000 --> 00:00:22.000]  我深信
[00:00:22.000 --> 00:00:24.000]  此時此刻主耶穌已經與我們同在
[00:00:24.000 --> 00:00:26.000]  所以我們給一點掌聲給天聖阿爸
[00:00:26.000 --> 00:00:30.000]  給我一點掌聲
[00:00:30.000 --> 00:00:36.000]  我信得主其實已經有三十多年
[00:00:36.000 --> 00:00:38.000]  在以前來說
[00:00:38.000 --> 00:00:42.000]  我覺得我算是一個合格的基督徒
[00:00:42.000 --> 00:00:44.000]  我有靈修
[00:00:44.000 --> 00:00:46.000]  之後都起身祈禱
[00:00:46.000 --> 00:00:48.000]  我有小祖
[00:00:48.000 --> 00:00:50.000]  我有查經
[00:00:50.000 --> 00:00:52.000]  我有返聚會崇拜
[00:00:52.000 --> 00:00:54.000]  我會去報道
[00:00:54.000 --> 00:00:56.000]  在我來說
[00:00:56.000 --> 00:00:58.000]  我以為基督徒
[00:00:58.000 --> 00:01:00.000]  應該要做的事
[00:01:00.000 --> 00:01:02.000]  基本上已經全部做了
[00:01:02.000 --> 00:01:04.000]  我覺得我都可以有個交代
[00:01:04.000 --> 00:01:06.000]  這是我以前的想法
[00:01:06.000 --> 00:01:10.000]  我是一個很沒有安全感的人
[00:01:10.000 --> 00:01:12.000]  我是一個很沒有安全感的人
[00:01:12.000 --> 00:01:14.000]  BB的工作是很被動的
[00:01:14.000 --> 00:01:16.000]  所以一直以來
