
[00:00:00.000 --> 00:00:05.160]  今天說到 我自己進入了這個歲數的時候
[00:00:05.160 --> 00:00:08.880]  我自己來到這些歲數的時候
[00:00:08.880 --> 00:00:13.200]  最近我自己很膚淺
[00:00:13.200 --> 00:00:16.720]  我跑步開始跑了兩年多
[00:00:16.720 --> 00:00:18.480]  我開頭的動機是什麼呢
[00:00:18.480 --> 00:00:22.400]  因為我的磅數已經去到180了
[00:00:22.400 --> 00:00:25.900]  所以我想減肥 我很膚淺
[00:00:25.900 --> 00:00:30.160]  我要減肥 因為我看到太多哥哥姐姐
[00:00:30.160 --> 00:00:33.840]  膝蓋要換膝蓋 你明不明白那些狀況
[00:00:33.840 --> 00:00:35.480]  他們走一步就說痛
[00:00:35.480 --> 00:00:37.800]  你有沒有看過他們上崇拜的時候
[00:00:37.800 --> 00:00:40.840]  是拉著扶手這樣上
[00:00:40.840 --> 00:00:45.560]  我形容他們潮盛 真的潮盛 敬拜潮盛
[00:00:45.560 --> 00:00:49.640]  所以我看到他們這樣 我就想減重
[00:00:49.640 --> 00:00:54.120]  我開頭想著自己減重越快越好
[00:00:54.120 --> 00:00:57.720]  但我忘記了我已經進入了另一個歲數
[00:00:57.720 --> 00:00:59.080]  不像大家一樣
[00:00:59.080 --> 00:01:02.240]  我跑一跑 還可以
[00:01:02.240 --> 00:01:06.520]  跑5K 還可以 還可以五分多跑完
[00:01:06.520 --> 00:01:10.000]  再跑的時候想著快就OK
[00:01:10.000 --> 00:01:13.440]  再跑的時候跑到10K
[00:01:13.440 --> 00:01:15.240]  跑一跑 我在運動場跑
[00:01:15.240 --> 00:01:18.720]  跑一跑這個位置就發熱 發燙
[00:01:18.720 --> 00:01:20.240]  我跑不下去
[00:01:20.240 --> 00:01:25.720]  休息了一個星期也不行 所以要去看醫生
[00:01:25.720 --> 00:01:29.120]  醫生就說那個症狀我很害怕
[00:01:29.120 --> 00:01:34.440]  他就說我阿基里斯那裡有問題
[00:01:34.440 --> 00:01:38.840]  我喜歡打籃球 通常出問題的球星都是那樣
[00:01:38.840 --> 00:01:42.000]  我第一時間就問醫生
[00:01:42.000 --> 00:01:44.280]  醫生要休息多久
[00:01:44.280 --> 00:01:47.800]  這個筋腱的位置不如你轉運動
[00:01:47.800 --> 00:01:50.640]  去游泳 我就跟醫生說
[00:01:50.640 --> 00:01:54.680]  醫生說不好意思 我不懂得游泳
[00:01:54.680 --> 00:01:57.160]  我很享受一個人跑步的過程
[00:01:57.160 --> 00:02:01.120]  聽師哥祈禱 有什麼壓力 祈禱
[00:02:01.120 --> 00:02:02.400]  我很享受
[00:02:02.400 --> 00:02:06.480]  這件事有低消費 自己跑而已
[00:02:06.480 --> 00:02:10.520]  他說看來你也要休息一段時間 好一段時間
[00:02:10.520 --> 00:02:15.520]  我發現什麼呢 我以為快就是一切
[00:02:15.520 --> 00:02:18.800]  但是原來身邊有很多人跟我說
[00:02:18.800 --> 00:02:23.360]  要跑的狀況要對準心率
