
[00:00:00.000 --> 00:00:03.000]  各位親愛的弟兄姐妹平安
[00:00:03.000 --> 00:00:08.000]  當我們今天要祝大家平安的時候
[00:00:08.000 --> 00:00:11.000]  實在來得非常的不容易
[00:00:11.000 --> 00:00:15.000]  因爲當我們看看今天整個世界發生的事情
[00:00:15.000 --> 00:00:16.000]  特別在中國
[00:00:16.000 --> 00:00:21.000]  現在已經蔓延到整個的世界去的這個疫症
[00:00:21.000 --> 00:00:26.000]  我們的發現原來平安絕對不是
[00:00:26.000 --> 00:00:30.000]  你想有就一定會有的
[00:00:30.000 --> 00:00:33.000]  我們來看看今天整個的世界
[00:00:33.000 --> 00:00:35.000]  你可以這樣說
[00:00:35.000 --> 00:00:43.000]  一方面有數不盡的天災人禍發生在這個世界上
[00:00:43.000 --> 00:00:46.000]  這些的天災人禍包括怎麼樣呢
[00:00:46.000 --> 00:00:50.000]  包括有些是天災來的
[00:00:50.000 --> 00:00:57.000]  好像整個菲律賓面對的大風還有火山的爆發
[00:00:57.000 --> 00:01:00.000]  還有地震各方面的事情
[00:01:00.000 --> 00:01:04.000]  另外一方面我們也看看從武漢開始
[00:01:04.000 --> 00:01:10.000]  當這個新型的肺炎開始爆發出來的以後
[00:01:10.000 --> 00:01:14.000]  現在已經影響到全世界
[00:01:14.000 --> 00:01:15.000]  你可以這樣說
[00:01:15.000 --> 00:01:24.000]  不光是中國本身每一個省都有新型的肺炎影響他們
[00:01:24.000 --> 00:01:30.000]  現在整個世界的上面已經有無數的地方受到影響
[00:01:30.000 --> 00:01:35.000]  而且這個蔓延的速度比我們想象中非常快
[00:01:35.000 --> 00:01:38.000]  快到你可以這樣說
[00:01:38.000 --> 00:01:41.000]  整個世界的人都是人心惶惶
[00:01:41.000 --> 00:01:47.000]  惶惶到一個地步買口罩到處都好像買不到
[00:01:47.000 --> 00:01:51.000]  那些捷徑的各種不同的清潔機等等
[00:01:51.000 --> 00:01:55.000]  現在也是完全好像買不到一樣
[00:01:55.000 --> 00:01:58.000]  另外一方面我們來看看澳洲
[00:01:58.000 --> 00:02:03.000]  澳洲的火山已經肆虐有半年了差不多
[00:02:03.000 --> 00:02:09.000]  引起到十億以上的野生動物已經上升
[00:02:09.000 --> 00:02:15.000]  我們看看這些的天災實在是沒有人能夠想象的到
[00:02:15.000 --> 00:02:17.000]  爲什麼是那麼厲害的
[00:02:17.000 --> 00:02:23.000]  另外再來看看不光是菲律賓這些的火山各種的問題
[00:02:23.000 --> 00:02:29.000]  泰國我們最近也知道有一個槍手殺死了二十個人
[00:02:29.000 --> 00:02:34.000]  另外有很多的人受傷這是一個軍人
[00:02:34.000 --> 00:02:37.000]  留意來看這些的現象的時間
[00:02:37.000 --> 00:02:41.000]  不少的弟兄姐妹就問一個的問題
[00:02:41.000 --> 00:02:47.000]  到底現在是不是已經世界末日來到的時候
[00:02:47.000 --> 00:02:50.000]  從聖經來的看弟兄姐妹們
[00:02:50.000 --> 00:02:55.000]  現在絕對不是世界末日的時間
[00:02:55.000 --> 00:02:57.000]  我們從何知道呢
[00:02:57.000 --> 00:02:59.000]  因爲聖經告訴我們
[00:02:59.000 --> 00:03:02.000]  我們看見今天發生的一切的天災人禍
[00:03:02.000 --> 00:03:05.000]  只是末世預兆的開始
[00:03:05.000 --> 00:03:11.000]  所謂預兆就是好像一個婦人生孩子的時候
[00:03:11.000 --> 00:03:18.000]  開始的時間感覺到有些腹部的抽搐
[00:03:18.000 --> 00:03:21.000]  另外羊水的潑等等
[00:03:21.000 --> 00:03:23.000]  這些是先兆
[00:03:23.000 --> 00:03:26.000]  但是這個孩子還沒有生出來的
[00:03:26.000 --> 00:03:28.000]  還有一段的時間才生出來
