
[00:00:00.000 --> 00:00:02.000]  各位丁姐妹 早晨
[00:00:02.000 --> 00:00:05.000]  我們一路繼續講這個題目
[00:00:05.000 --> 00:00:09.000]  就是面向困境走出安書區
[00:00:09.000 --> 00:00:13.000]  今次就說一個「堅離地信心識字」
[00:00:13.000 --> 00:00:15.000]  是不是真的「堅離地」呢
[00:00:15.000 --> 00:00:16.000]  稍後看看經文
[00:00:16.000 --> 00:00:19.000]  講到《哈巴谷書》這本書
[00:00:19.000 --> 00:00:21.000]  《哈巴谷》這個才知道
[00:00:21.000 --> 00:00:24.000]  在講這個內容之前
[00:00:24.000 --> 00:00:27.000]  松溫其實講了很多個
[00:00:27.000 --> 00:00:31.000]  走出安書區的文人 有不同的人物
[00:00:31.000 --> 00:00:34.000]  每一個人物都有不同的關鍵詞
[00:00:34.000 --> 00:00:37.000]  以詩帖就時機
[00:00:37.000 --> 00:00:39.000]  十二門徒就開竅
[00:00:39.000 --> 00:00:41.000]  尼希米就觸動
[00:00:41.000 --> 00:00:44.000]  摩西就是初心
[00:00:44.000 --> 00:00:47.000]  保羅就是迴轉
[00:00:47.000 --> 00:00:50.000]  《哈巴谷》就是信心
[00:00:50.000 --> 00:00:54.000]  講到《哈巴谷》是信心
[00:00:54.000 --> 00:00:56.000]  即是今天講信心這個題目
[00:00:56.000 --> 00:00:58.000]  都不是經常講這個題目
[00:00:58.000 --> 00:01:01.000]  但其實我們所謂信耶穌
[00:01:01.000 --> 00:01:03.000]  信主就是信心
[00:01:03.000 --> 00:01:05.000]  就是信仰
[00:01:05.000 --> 00:01:08.000]  faith其實信心和信仰是同一個字
[00:01:08.000 --> 00:01:11.000]  但有時在我們信仰的歷程
[00:01:11.000 --> 00:01:15.000]  我們會很容易將信心這件事
[00:01:15.000 --> 00:01:18.000]  講得很普遍
[00:01:18.000 --> 00:01:21.000]  即是很普遍 信吧 信吧
[00:01:21.000 --> 00:01:24.000]  我發覺在我自己信主的歷程
[00:01:24.000 --> 00:01:27.000]  或者我作為一個傳道人的歷程
[00:01:27.000 --> 00:01:30.000]  不是很看到有時弟兄姊妹
[00:01:30.000 --> 00:01:33.000]  很仔細去想想信心其實是甚麼
[00:01:33.000 --> 00:01:36.000]  即是一個信字就代表了很多東西
[00:01:36.000 --> 00:01:39.000]  所以都曾經在港道講過
[00:01:39.000 --> 00:01:42.000]  即是有些人是這樣看的
[00:01:42.000 --> 00:01:45.000]  就說信耶穌 基督教信仰
[00:01:45.000 --> 00:01:48.000]  不外乎三個字
[00:01:48.000 --> 00:01:51.000]  信 望 愛
