
[00:00:00.000 --> 00:00:03.000]  (主席)各位聽眾,晚安
[00:00:03.000 --> 00:00:05.000]  (主席)我剛才叫人早安
[00:00:05.000 --> 00:00:07.000]  (主席)因為我習慣了早課
[00:00:07.000 --> 00:00:18.000]  (主席)剛才主席很有心情地讀出傳道書
[00:00:18.000 --> 00:00:20.000]  (主席)不知道你有什麼感受
[00:00:20.000 --> 00:00:24.000]  (主席)我想問一下
[00:00:24.000 --> 00:00:25.000]  (主席)或者想一想
[00:00:25.000 --> 00:00:29.000]  (主席)我估計你們聽了這麼多課的傳道書第七講
[00:00:29.000 --> 00:00:33.000]  (主席)究竟你們現在是不是又虛又空呢
[00:00:33.000 --> 00:00:36.000]  (主席)虛可能像我一樣很害怕,也不知道該怎麼辦
[00:00:36.000 --> 00:00:39.000]  (主席)空就不知道聽了什麼
[00:00:39.000 --> 00:00:40.000]  (主席)也不知道該怎麼辦
[00:00:40.000 --> 00:00:46.000]  (主席)到底傳道書在我們整個信仰裏面
[00:00:46.000 --> 00:00:50.000]  (主席)給我們一個什麼的啟發呢
[00:00:50.000 --> 00:00:53.000]  (主席)傳道書一直都用了虛空這個字
[00:00:53.000 --> 00:00:56.000]  (主席)來論述討論人生
[00:00:56.000 --> 00:01:02.000]  (主席)這個表達方式可能給大家覺得很消極
[00:01:02.000 --> 00:01:05.000]  (主席)好像這個世界沒有什麼值得我們留戀
[00:01:05.000 --> 00:01:10.000]  (主席)盡快與主同在,好得無比的感受
[00:01:10.000 --> 00:01:14.000]  (主席)特別是我們今天信了耶穌
[00:01:14.000 --> 00:01:18.000]  (主席)我們已經有一個很有確具的天國的把握
[00:01:18.000 --> 00:01:20.000]  (主席)這個身份的把握
[00:01:20.000 --> 00:01:23.000]  (主席)每當讀到傳道書的時候
[00:01:23.000 --> 00:01:27.000]  (主席)就會突然有一個感覺,這些東西超然物外的
[00:01:27.000 --> 00:01:32.000]  (主席)不食人間煙火,看破紅塵的感覺
[00:01:32.000 --> 00:01:35.000]  (主席)你不要誤會我在樓下上來
[00:01:35.000 --> 00:01:39.000]  (主席)我也是窩福堂的目者
[00:01:39.000 --> 00:01:43.000]  (主席)如果我們經常都帶著這種
[00:01:43.000 --> 00:01:46.000]  (主席)今天不要緊,沒事的
[00:01:46.000 --> 00:01:49.000]  (主席)不值得我們留戀的,明天會更好
[00:01:49.000 --> 00:01:53.000]  (主席)甚至乎經常都想著想當年
[00:01:53.000 --> 00:01:56.000]  (主席)我還是賽跑冠軍的時候
[00:01:56.000 --> 00:01:59.000]  (主席)那種想當年的美好往事
[00:01:59.000 --> 00:02:02.000]  (主席)其實當我們有這樣的思考
[00:02:02.000 --> 00:02:04.000]  (主席)有這樣的想法的時候
[00:02:04.000 --> 00:02:08.000]  (主席)是否意味著我們對現實是不滿意的
[00:02:08.000 --> 00:02:10.000]  (主席)是不接受的呢
[00:02:10.000 --> 00:02:12.000]  (主席)可能你會說
[00:02:12.000 --> 00:02:16.000]  (主席)現實呀牧師,現實就是這麼艱難
[00:02:16.000 --> 00:02:19.000]  (主席)你看,每一件事都這麼辛苦
[00:02:19.000 --> 00:02:22.000]  (主席)只是想想百多呎的窩居
[00:02:22.000 --> 00:02:25.000]  (主席)數以三四百萬
[00:02:25.000 --> 00:02:31.000]  (主席)你就沒有辦法不憧憬著明天
[00:02:31.000 --> 00:02:34.000]  (主席)明天是個盼望
[00:02:34.000 --> 00:02:39.000]  (主席)沒錯,對明天有盼望是很重要
[00:02:39.000 --> 00:02:42.000]  (主席)但是可能要問一個問題
[00:02:42.000 --> 00:02:47.000]  (主席)你在什麼基礎裡面去想將來,想明天
[00:02:47.000 --> 00:02:53.000]  (主席)如果你連今天都無能為力去過去
[00:02:53.000 --> 00:02:56.000]  (主席)無論你滾過去也好
[00:02:56.000 --> 00:02:58.000]  (主席)勉強過去也好
[00:02:58.000 --> 00:03:02.000]  (主席)你都要有一個實際的對自己的要求
[00:03:02.000 --> 00:03:04.000]  (主席)我要過到今天
[00:03:04.000 --> 00:03:06.000]  (主席)怎樣過今天就很重要了
[00:03:06.000 --> 00:03:08.000]  (主席)如果今天你都過不到
[00:03:08.000 --> 00:03:11.000]  (主席)你說明天,明天會更好
[00:03:11.000 --> 00:03:14.000]  (主席)那怎樣好呢?
[00:03:14.000 --> 00:03:16.000]  (主席)另一方面
[00:03:16.000 --> 00:03:18.000]  (主席)經常都回想當年的人
[00:03:18.000 --> 00:03:21.000]  (主席)同樣是因為對現實的無奈或者憂慮
[00:03:21.000 --> 00:03:23.000]  (主席)甚至乎不滿
[00:03:23.000 --> 00:03:25.000]  (主席)就會有這樣的反應
[00:03:25.000 --> 00:03:27.000]  (主席)就好像我們這些老人家
[00:03:27.000 --> 00:03:30.000]  (主席)我當年還可以走到八仙嶺
