
[00:00:00.000 --> 00:00:04.880]  我們今天繼續講到約書亞記的內容
[00:00:04.880 --> 00:00:09.960]  上次曾牧師講到以色列人在耶利哥城的得勝
[00:00:09.960 --> 00:00:13.960]  指出以色列人對上帝單純的信靠
[00:00:13.960 --> 00:00:15.360]  即時的行動
[00:00:15.360 --> 00:00:20.160]  以至整個群體在前行的路上得到上帝的祝福
[00:00:20.160 --> 00:00:22.160]  最終他們得勝
[00:00:22.160 --> 00:00:26.360]  不過今天接下來要讀的約書亞記第七章的內容
[00:00:26.360 --> 00:00:28.240]  雖然同樣是攻城
[00:00:28.240 --> 00:00:31.400]  但和上次有截然不同的結局
[00:00:31.400 --> 00:00:34.920]  今次以色列民是出乎意料地大敗
[00:00:34.920 --> 00:00:37.240]  為何會有這樣的結局呢?
[00:00:37.240 --> 00:00:38.720]  在七章一節
[00:00:38.720 --> 00:00:41.720]  聖經的作者給了我們一句主題句
[00:00:41.720 --> 00:00:44.960]  他說以色列人在當滅的物上犯了罪
[00:00:44.960 --> 00:00:47.120]  因為由大支派中
[00:00:47.120 --> 00:00:49.840]  謝拉的曾孫 撒底的孫子
[00:00:49.840 --> 00:00:52.560]  加米的兒子阿干取了當滅的物
[00:00:52.560 --> 00:00:57.520]  耶和華的怒氣就向以色列人發作
[00:00:57.520 --> 00:01:00.200]  以色列人從輝煌的得勝
[00:01:00.200 --> 00:01:02.360]  到今天慘痛的失敗
[00:01:02.360 --> 00:01:04.440]  其實這個巨大的反差
[00:01:04.440 --> 00:01:08.680]  都是在提醒我們信徒一個很重要的屬靈功課
[00:01:08.680 --> 00:01:10.200]  就是在基督裡面
[00:01:10.200 --> 00:01:11.840]  個人和群體
[00:01:11.840 --> 00:01:16.720]  其實是擁有一個不可以分割的關係
[00:01:16.720 --> 00:01:19.440]  我們說在基督裡面合一
[00:01:19.440 --> 00:01:21.760]  其實信徒自然而然
[00:01:21.760 --> 00:01:25.680]  就成為一個榮辱與共的群體
[00:01:25.680 --> 00:01:27.400]  所以其實透過今天的經文
[00:01:27.400 --> 00:01:30.320]  再次去嚴正告誡我們信徒
[00:01:30.320 --> 00:01:32.240]  個人暗中的罪
[00:01:32.240 --> 00:01:36.320]  其實是需要眾人去負上代價的
[00:01:36.320 --> 00:01:37.360]  在我們分享之前
[00:01:37.360 --> 00:01:40.160]  我們先低頭做一個祈禱
[00:01:40.160 --> 00:01:42.040]  天父 我們求祢的話語
[00:01:42.040 --> 00:01:43.720]  醒察我們的內心
[00:01:43.720 --> 00:01:48.360]  使到我們立刻為我們內心顯而未現的罪
[00:01:48.360 --> 00:01:50.480]  未同祢求饒恕的罪
[00:01:50.480 --> 00:01:52.320]  向祢去悔改
[00:01:52.320 --> 00:01:54.200]  以致我們同教會
[00:01:54.200 --> 00:01:56.880]  再一次去經歷祢自己的祝福
[00:01:56.880 --> 00:01:57.760]  以上的祈禱
[00:01:57.760 --> 00:02:00.000]  是奉靠著耶穌基督的名求
[00:02:00.000 --> 00:02:01.000]  阿們
[00:02:27.360 --> 00:02:30.520]  我們看看究竟在經文裡面
[00:02:30.520 --> 00:02:33.640]  作者怎樣一步一步帶領著我們
[00:02:33.640 --> 00:02:36.240]  去揭開這個慘痛的教訓
[00:02:36.240 --> 00:02:38.200]  所以今天的經文第七章
[00:02:38.200 --> 00:02:43.080]  可以分為三個序幕和一個中章
[00:02:43.080 --> 00:02:45.360]  一層一層揭示
[00:02:45.360 --> 00:02:48.880]  罪怎樣影響整個群體
[00:02:48.880 --> 00:02:50.640]  不過因著神的恩典
[00:02:50.640 --> 00:02:52.960]  亦都透露著神
[00:02:52.960 --> 00:02:55.400]  怎樣帶領著以色列的子民
[00:02:55.400 --> 00:02:58.360]  返回正路裡面
[00:02:58.360 --> 00:03:00.480]  在第二至第九節
[00:03:00.480 --> 00:03:04.680]  記載了以色列人攻陷的失敗
[00:03:04.680 --> 00:03:08.760]  以及約書亞去尋問上帝的經過
[00:03:08.760 --> 00:03:12.480]  讓我們一起去讀出二至九節
[00:03:26.400 --> 00:03:28.600]  他們回到約書亞那裡
[00:03:28.600 --> 00:03:29.720]  對他說
[00:03:29.720 --> 00:03:31.800]  眾民不必都想去
[00:03:31.800 --> 00:03:34.080]  只要二三千人想去
[00:03:34.080 --> 00:03:35.960]  就能攻取艾城
[00:03:35.960 --> 00:03:38.160]  不必勞累眾民都去
[00:03:38.160 --> 00:03:40.080]  因為那裡的人少
