
[00:00:00.000 --> 00:00:05.560]  今天會和大家一起繼續去看《使徒行傳》第十六章十一至十五節的經文
[00:00:05.560 --> 00:00:11.040]  今天再次和大家看《使徒行傳》十六章一到十五節的經文
[00:00:11.040 --> 00:00:12.360]  會看一個題目
[00:00:12.360 --> 00:00:18.480]  是一個真正的信徒有真正他們屬靈生命的主動性在裏面的
[00:00:18.480 --> 00:00:22.360]  真正的信徒有他的主動的生命在裏面
[00:00:22.360 --> 00:00:26.000]  很多基督徒經常都說要信靠神
[00:00:26.000 --> 00:00:28.920]  很多基督徒經常講我們要信靠神
[00:00:28.920 --> 00:00:31.200]  什麽叫信靠神呢?
[00:00:31.200 --> 00:00:32.560]  什麽叫信靠神呢?
[00:00:32.560 --> 00:00:38.560]  對於一般人來講信靠好像是一種很軟弱無能的狀態
[00:00:38.560 --> 00:00:42.400]  就是很多人來講信靠是一種很軟弱無能的狀態
[00:00:42.400 --> 00:00:46.000]  但是很多人誤會了信靠是依賴
[00:00:46.000 --> 00:00:49.760]  但是有很多人誤解信靠就是依賴
[00:00:49.760 --> 00:00:52.960]  不知道大家有沒有去過旅行
[00:00:52.960 --> 00:00:55.480]  不知道大家有沒有去過旅行
[00:00:55.480 --> 00:00:56.880]  有沒有人沒有去過旅行?
[00:00:56.880 --> 00:00:59.040]  有誰沒有去過旅行?
[00:00:59.040 --> 00:00:59.960]  每個人都去過
[00:00:59.960 --> 00:01:00.880]  每個人都去過旅行
[00:01:00.880 --> 00:01:04.760]  有沒有參加過一些真正的旅行團呢?
[00:01:04.760 --> 00:01:06.920]  有沒有參加過旅行團呢?
[00:01:06.920 --> 00:01:08.200]  有沒有人沒有參加過?
[00:01:08.200 --> 00:01:09.680]  有沒有參加過旅行團?
[00:01:09.680 --> 00:01:10.760]  大家有參加過
[00:01:10.760 --> 00:01:12.040]  每個人都參加過
[00:01:12.040 --> 00:01:14.800]  為什麽很多人喜歡去旅行團呢?
[00:01:14.800 --> 00:01:16.960]  為什麽很多人喜歡去旅行團呢?
[00:01:16.960 --> 00:01:22.200]  旅行團和自己去個別的自由行的旅行有什麽分別呢?
[00:01:22.200 --> 00:01:26.800]  這旅行團和個別的自由行有什麽區別呢?
[00:01:26.800 --> 00:01:31.440]  旅行團就是因爲什麽都被旅行社為你安排了
[00:01:31.440 --> 00:01:32.520]  你不用想了
[00:01:32.520 --> 00:01:36.040]  旅行團就是什麽都有旅行社安排好了
[00:01:36.040 --> 00:01:37.440]  你不用去思考
[00:01:37.440 --> 00:01:39.960]  所以很多人都喜歡去參加旅行團
[00:01:39.960 --> 00:01:42.320]  所以很多人爭議參加旅行團
[00:01:42.320 --> 00:01:47.800]  但是參加旅行團不是完全依賴旅行社的安排就可以了
[00:01:47.800 --> 00:01:51.160]  這不是我反正依賴旅行社的安排就行了
[00:01:51.160 --> 00:01:54.080]  牧師什麽都不是給了錢跟旅行團
[00:01:54.080 --> 00:01:56.320]  依賴它就可以了
[00:01:56.320 --> 00:01:58.480]  牧師不是給了錢
[00:01:58.480 --> 00:02:00.720]  當然就要依賴它了
[00:02:00.720 --> 00:02:02.320]  如果你是這樣的心態呢?
[00:02:02.320 --> 00:02:03.800]  如果你是這樣的心態
[00:02:03.800 --> 00:02:06.440]  我肯定擔保你一定被旅行社騙的
[00:02:06.440 --> 00:02:10.480]  我就是確保你一定會被旅行社所騙
[00:02:10.480 --> 00:02:11.560]  我去過這麽多次
[00:02:11.560 --> 00:02:15.640]  無論自己旅行、自由行或者是跟旅行團
[00:02:15.640 --> 00:02:17.920]  我發現一個很重要的特別
[00:02:17.920 --> 00:02:20.840]  我無論是自由行還是跟旅行團
[00:02:20.840 --> 00:02:22.200]  我發現這麽一個問題
[00:02:22.200 --> 00:02:23.680]  無論你怎麽去旅行都好
[00:02:23.680 --> 00:02:24.920]  無論怎樣去旅行
[00:02:24.920 --> 00:02:28.640]  你一定要帶著一個清晰的腦袋去參加
[00:02:28.640 --> 00:02:30.400]  不要完全依靠它
[00:02:30.400 --> 00:02:32.560]  你一定要帶著一個清晰的腦袋
[00:02:32.560 --> 00:02:34.760]  就不要完全依賴它
[00:02:34.760 --> 00:02:36.360]  特別是參加旅行團
[00:02:36.360 --> 00:02:37.560]  特別是參加旅行團
[00:02:37.560 --> 00:02:40.080]  如果你不帶著腦袋去參加
[00:02:40.080 --> 00:02:43.000]  沒有帶著清楚的思維去參加的話
[00:02:43.000 --> 00:02:45.800]  如果你不帶著一個清楚的思維去參加的話
[00:02:45.800 --> 00:02:47.760]  旅行團一定騙你的
[00:02:47.760 --> 00:02:50.720]  就是你心態一定會騙你
[00:02:50.720 --> 00:02:52.400]  騙你了
[00:02:52.400 --> 00:02:54.320]  翻白眼了
[00:02:54.320 --> 00:02:56.560]  他們騙了你你都不知道
[00:02:56.560 --> 00:02:59.160]  騙了你你還不知道是怎麽回事
[00:02:59.160 --> 00:03:01.320]  周宇馨就帶你去買東西
[00:03:01.320 --> 00:03:02.560]  周宇馨就是帶你去買東西
[00:03:02.560 --> 00:03:04.480]  我們不要說去買東西
[00:03:04.480 --> 00:03:06.640]  我們不會說去買東西
[00:03:06.640 --> 00:03:08.600]  但是旅行團很喜歡說
[00:03:08.600 --> 00:03:11.080]  我們行程緊逼
[00:03:11.080 --> 00:03:13.640]  就你現在經常說我們行程緊逼
[00:03:13.640 --> 00:03:15.920]  所以我們吃飯時間很短
[00:03:15.920 --> 00:03:17.200]  所以我們吃飯時間很短
[00:03:17.200 --> 00:03:19.360]  不過我們這些餐我們不包
[00:03:19.360 --> 00:03:20.760]  這個餐費我們是不包的
[00:03:20.760 --> 00:03:22.240]  如果你想包
[00:03:22.240 --> 00:03:23.880]  我們都可以給你包
[00:03:23.880 --> 00:03:25.040]  我們可以給你包
[00:03:25.040 --> 00:03:27.120]  不包你自己吃了過了時間
[00:03:27.120 --> 00:03:28.080]  我們的車開走了
[00:03:28.080 --> 00:03:30.320]  你就不能跟我們去旅行的了
[00:03:30.320 --> 00:03:37.560]  如果說你不參加我們指定的餐費的話
[00:03:37.560 --> 00:03:39.320]  如果你到外面去吃
[00:03:39.320 --> 00:03:40.920]  過了時間我們就不喝了
[00:03:40.920 --> 00:03:42.040]  是不是?
[00:03:42.040 --> 00:03:43.680]  第一件事就是恐嚇你
[00:03:43.680 --> 00:03:45.080]  第一件事就是恐嚇你
[00:03:45.080 --> 00:03:46.320]  然後怎麽樣呢?
[00:03:46.320 --> 00:03:46.960]  然後怎麽樣呢?
[00:03:46.960 --> 00:03:47.920]  就帶你去吃東西
[00:03:47.920 --> 00:03:48.760]  包餐
[00:03:48.760 --> 00:03:50.240]  就帶你去吃包餐
[00:03:50.240 --> 00:03:53.560]  但是你們牧師都曾經被旅行團騙過的
[00:03:53.560 --> 00:03:57.720]  牧師包括我自己也曾經被旅行社騙過
[00:03:57.720 --> 00:03:59.600]  我分享一次我的經驗給你聽
[00:03:59.600 --> 00:04:00.640]  我分享我的經驗給你聽
[00:04:00.640 --> 00:04:02.520]  不過我只有半個小時吃飯時間
[00:04:02.520 --> 00:04:03.760]  我們只有半個小時吃飯
[00:04:03.760 --> 00:04:05.120]  你可以自己去吃的
[00:04:05.120 --> 00:04:06.280]  你可以自己去吃
[00:04:06.280 --> 00:04:07.880]  不過我不知道你找不找得到
[00:04:07.880 --> 00:04:09.760]  我不知道你能不能找到
[00:04:09.760 --> 00:04:10.760]  不過你跟我吧
[00:04:10.760 --> 00:04:13.000]  我就包你一餐
[00:04:13.000 --> 00:04:14.560]  你要跟我我包你一餐
[00:04:14.560 --> 00:04:15.600]  我記得那一次
[00:04:15.600 --> 00:04:16.520]  我記得那一次
[00:04:16.520 --> 00:04:17.360]  他跟我這樣說
[00:04:17.360 --> 00:04:18.640]  我們去韓國旅行
[00:04:18.640 --> 00:04:20.640]  我們去韓國旅行
[00:04:20.640 --> 00:04:21.440]  我為什麽要跟團
[00:04:21.440 --> 00:04:22.640]  因為我不懂韓文
[00:04:22.640 --> 00:04:23.760]  我為什麽要跟團
[00:04:23.760 --> 00:04:25.400]  因為我不懂韓文
[00:04:25.400 --> 00:04:28.560]  他說我帶你去吃燒烤牛肉
[00:04:28.560 --> 00:04:32.480]  我帶你去吃叉燒牛肉
[00:04:32.480 --> 00:04:34.760]  燒烤又不是叉燒
[00:04:34.760 --> 00:04:36.040]  就是燒烤牛肉
[00:04:36.040 --> 00:04:38.720]  他說每個人定食的任食
[00:04:38.720 --> 00:04:40.280]  就每個人任吃
[00:04:40.280 --> 00:04:42.320]  就是五十萬韓幣
[00:04:42.320 --> 00:04:43.000]  就吃一餐
[00:04:43.000 --> 00:04:45.400]  就是五十萬韓幣
[00:04:45.400 --> 00:04:47.120]  你去別處找不到的
[00:04:47.120 --> 00:04:48.160]  你去別處找不到的
[00:04:48.160 --> 00:04:49.760]  附近都未必找到東西吃的
