
[00:00:00.000 --> 00:00:08.000]  各位電影姊妹,今天是聖誕節崇拜,所以下來跟大家分享一下神的訊息
[00:00:08.000 --> 00:00:14.000]  好,我想問一下大家,今天聖誕節崇拜,你帶了些什麼來參加崇拜?
[00:00:14.000 --> 00:00:20.000]  帶了什麼來?
[00:00:20.000 --> 00:00:22.000]  Connie,你帶了些什麼來?
[00:00:22.000 --> 00:00:29.000]  帶了食物來!哇!帶了食物來!好!送個禮物給你!
[00:00:31.000 --> 00:00:38.000]  我們來聖誕崇拜,等一下會有外賢,會帶食物來,還有帶什麼來?
[00:00:38.000 --> 00:00:42.000]  Apple媽媽,你帶了什麼來?
[00:00:42.000 --> 00:00:49.000]  哇!帶了心來崇拜!真的非常之好!
[00:00:49.000 --> 00:00:56.000]  好,感謝主!帶心來崇拜!帶食物!帶心來崇拜!
[00:00:56.000 --> 00:01:03.000]  有些人會帶新朋友來崇拜,來認識主,但是帶心很重要!
[00:01:03.000 --> 00:01:08.000]  各位電影姊妹,今天我們來看看聖經,剛才我們讀了一段經文,
[00:01:08.000 --> 00:01:16.000]  聖經裡面說到當時希律王,大希律的時候,耶穌就身在猶太伯利恆這個地方,
[00:01:18.000 --> 00:01:26.000]  有什麼人來到?有博士,有多少個博士來到?
[00:01:26.000 --> 00:01:31.000]  等一下我們再看好不好?
[00:01:31.000 --> 00:01:37.000]  有些博士從東方來到耶路撒冷,要崇拜這個新生王,耶穌基督,
[00:01:37.000 --> 00:01:43.000]  博士就是當時一些很有智慧,很有學問,觀星,很厲害的人,
[00:01:43.000 --> 00:01:49.000]  他們從東方來到,他們帶什麼來朝見這個新生王?
[00:01:49.000 --> 00:01:59.000]  黃金、乳香、活藥,是不是就這麼多?還有什麼?
[00:01:59.000 --> 00:02:06.000]  其實不止這麼簡單,他們帶了很多,不單止黃金、乳香、活藥,
[00:02:06.000 --> 00:02:09.000]  我們經常看聖經就看到這三樣東西最重要,
[00:02:09.000 --> 00:02:13.000]  小朋友聖誕節崇拜都抱著這三樣東西走進來,
[00:02:13.000 --> 00:02:19.000]  我們今天看一下,這些博士來朝拜新生王的時候,
[00:02:19.000 --> 00:02:27.000]  他帶了很多東西,第一樣,他帶了他的時間,
[00:02:27.000 --> 00:02:31.000]  為什麼這樣說?我們看一看這段經文,
[00:02:31.000 --> 00:02:35.000]  我們再讀一次第一第二次,預備,一二三,
[00:02:35.000 --> 00:02:55.000]  (文章)
[00:02:55.000 --> 00:02:59.000]  為什麼我說時間呢?第一,我們要看一下,
[00:02:59.000 --> 00:03:16.000]  (文章)
[00:03:16.000 --> 00:03:20.000]  前一陣子我聽到有個牧師分享這段經文,
