
[00:00:00.000 --> 00:00:05.380]  (主席)多謝各位,感謝您的恩典,讓我們有美好的天氣可以一同來到這裡聚集敬拜您
[00:00:05.380 --> 00:00:13.320]  我們求您的聖靈在我們中間幫助我們,改變我們的心,讓我們願意悔改來到跟隨您
[00:00:13.320 --> 00:00:15.820]  奉耶穌基督的名祈禱,阿們
[00:00:15.820 --> 00:00:24.060]  上個禮拜,代理主任穆斯就跟我們分享「真言」最後一段的經文
[00:00:24.060 --> 00:00:27.060]  是講到「賢慧的妻子」
[00:00:27.060 --> 00:00:30.060]  我希望大家還記得
[00:00:30.060 --> 00:00:38.060]  那段經文是「真言」最後一段,其實就代表我們結束了「真言」的思考
[00:00:38.060 --> 00:00:42.060]  所以我今天要跟大家開始思考詩篇
[00:00:42.060 --> 00:00:48.060]  不單止是今天這一段的系列,會一連思想15個禮拜
[00:00:48.060 --> 00:00:54.060]  但是我在未介紹這個系列的詩篇之前
[00:00:54.060 --> 00:00:58.060]  我還想講一些有關「真言」書的結構
[00:00:58.060 --> 00:01:04.060]  還有為甚麼上個禮拜穆斯會說最後一段的「真言」
[00:01:04.060 --> 00:01:09.060]  只是一個對賢慧妻子的理想
[00:01:09.060 --> 00:01:12.060]  而不是真有其人
[00:01:12.060 --> 00:01:16.060]  那段經文提到的賢慧妻子
[00:01:16.060 --> 00:01:20.060]  應該不可能是真有其人
[00:01:20.060 --> 00:01:28.060]  因為我們讀起來的時候都會發覺那個婦人好像超人那麼厲害
[00:01:28.060 --> 00:01:32.060]  這樣的人如果是真有其人的話
[00:01:32.060 --> 00:01:37.060]  他的名字是應該被記下來才對的
[00:01:37.060 --> 00:01:42.060]  但是在那段經文裡面,他是沒有記那位賢婦的名字
[00:01:42.060 --> 00:01:46.060]  此外,如果我們記得那段經文
[00:01:46.060 --> 00:01:52.060]  是在真言31章的第10節開始至第31節
[00:01:52.060 --> 00:01:56.060]  如果我們很快地計算一下減數的話
[00:01:56.060 --> 00:02:03.060]  就知道由第10節至第31節一共有22節的經文
[00:02:03.060 --> 00:02:08.060]  而每一節的經文在原文都是用希伯來文
[00:02:08.060 --> 00:02:13.060]  22個不同的字母順序來開始的
[00:02:13.060 --> 00:02:17.060]  就是說這段經文是希伯來文
[00:02:17.060 --> 00:02:23.060]  也是希伯來人喜歡用的字母詩
[00:02:23.060 --> 00:02:26.060]  其實聖經裡面有好幾篇的字母詩
[00:02:26.060 --> 00:02:33.060]  包括詩篇119篇,最長的詩篇都是一篇字母詩
[00:02:33.060 --> 00:02:38.060]  從這些線索看起來
[00:02:38.060 --> 00:02:42.060]  真言裡面的賢妻真是只是一個理想
[00:02:42.060 --> 00:02:47.060]  很可能就是當一個女兒出嫁的時候
[00:02:47.060 --> 00:02:51.060]  家人就唱這首詩歌提醒她
[00:02:51.060 --> 00:02:55.060]  嫁了人了,要好好做個賢妻了
[00:02:55.060 --> 00:03:03.060]  好,很多人又以為真言沒有什麼特別結構的
[00:03:03.060 --> 00:03:07.060]  只是將不同的真言收集在一起
[00:03:07.060 --> 00:03:12.060]  有一些專家就將真言用主題的方式去找一個結構
[00:03:12.060 --> 00:03:15.060]  如果你們參考一下不同的聖經前面
[00:03:15.060 --> 00:03:19.060]  都可能會有很多不同的結構建議
[00:03:19.060 --> 00:03:22.060]  但是我看了不少的參考書之後
[00:03:22.060 --> 00:03:27.060]  找到一個又簡單又符合猶太人文學特色的結構
[00:03:27.060 --> 00:03:29.060]  跟大家分享一下
[00:03:29.060 --> 00:03:34.060]  這個結構就是將真言分成八大段
[00:03:34.060 --> 00:03:39.060]  開始就是前言,一章一至七節
[00:03:39.060 --> 00:03:44.060]  第二大段就是教導兒女的真言
[00:03:44.060 --> 00:03:47.060]  由一章八節到九章十六節
[00:03:47.060 --> 00:03:51.060]  第三段講明是所羅門的真言
[00:03:51.060 --> 00:03:55.060]  由第十章一節開始到二十二章十六節
[00:03:55.060 --> 00:04:04.060]  然後就有智者的真言,由二十二章十七節到二十四章二十二節
[00:04:04.060 --> 00:04:06.060]  智者的真言
[00:04:06.060 --> 00:04:10.060]  接著那段又說是智者的真言
[00:04:10.060 --> 00:04:14.060]  如果你看二十四章二十三節,特別講到
[00:04:14.060 --> 00:04:16.060]  就到三十四節
[00:04:16.060 --> 00:04:19.060]  然後又有所羅門的真言
[00:04:19.060 --> 00:04:24.060]  接著也是一些教導兒女的真言
[00:04:24.060 --> 00:04:30.060]  最後就是那段言輔的詩歌,可以說是後記
[00:04:30.060 --> 00:04:34.060]  從這樣的八段經文看起來
[00:04:34.060 --> 00:04:41.060]  我們可以看出這個分析是猶太人文學時事
[00:04:41.060 --> 00:04:45.060]  很經常用的一個倒影平衡結構
[00:04:45.060 --> 00:04:48.060]  前言的內容是講智慧的益處
[00:04:48.060 --> 00:04:53.060]  和提出敬畏搖滑,就是智慧的開端
[00:04:53.060 --> 00:04:56.060]  而在書卷結束的時候
[00:04:56.060 --> 00:04:59.060]  就用了賢慧的妻子指出
[00:04:59.060 --> 00:05:02.060]  敬畏上主所帶來的益處
[00:05:02.060 --> 00:05:06.060]  其實就是智慧的益處
[00:05:06.060 --> 00:05:08.060]  如果我們還記得的話
[00:05:08.060 --> 00:05:11.060]  那位賢慧的妻子使得丈夫兒女
[00:05:11.060 --> 00:05:14.060]  瀑被和貧窮人都得到益處
[00:05:14.060 --> 00:05:16.060]  而她自己都得到益處
[00:05:16.060 --> 00:05:19.060]  她都得到上帝的讚賞
[00:05:19.060 --> 00:05:22.060]  所以就對應一開始的前言
[00:05:22.060 --> 00:05:25.060]  學針言,有得著智慧的人
[00:05:25.060 --> 00:05:28.060]  是會得著各種的益處
[00:05:28.060 --> 00:05:35.060]  而其他六段都是彼此對應的
[00:05:35.060 --> 00:05:38.060]  好了,針言就告一段落了
[00:05:38.060 --> 00:05:42.060]  我們現在就開始介紹一下詩篇
[00:05:42.060 --> 00:05:46.060]  120篇到134篇
[00:05:46.060 --> 00:05:50.060]  在和合本的聖經裏面
[00:05:50.060 --> 00:05:53.060]  在這15篇詩篇開始之前
[00:05:53.060 --> 00:05:55.060]  都有幾個小字寫著
[00:05:55.060 --> 00:05:57.060]  是上行之詩
[00:05:57.060 --> 00:06:00.060]  或者說大衛上行之詩
[00:06:00.060 --> 00:06:03.060]  為什麼叫這些詩做上行之詩
[00:06:03.060 --> 00:06:06.060]  而不是下行之詩呢?
[00:06:06.060 --> 00:06:08.060]  很多人就認為
[00:06:08.060 --> 00:06:09.060]  在古代的時候
[00:06:09.060 --> 00:06:14.060]  猶太人每年要上去耶路撒冷三次
[00:06:14.060 --> 00:06:16.060]  去敬拜上主
[00:06:16.060 --> 00:06:19.060]  去到耶路撒冷過節
[00:06:19.060 --> 00:06:22.060]  每當他們去耶路撒冷的時候
[00:06:22.060 --> 00:06:24.060]  他們就會按次序
[00:06:24.060 --> 00:06:28.060]  把這15篇詩一篇一篇地唱出來
[00:06:28.060 --> 00:06:31.060]  如月節是其中一個大節
[00:06:31.060 --> 00:06:34.060]  很多猶太人都會去耶路撒冷
[00:06:34.060 --> 00:06:36.060]  在盧伽福音
[00:06:36.060 --> 00:06:37.060]  我們都看到
[00:06:37.060 --> 00:06:39.060]  童年的主耶穌
[00:06:39.060 --> 00:06:43.060]  都跟著父母上去耶路撒冷過節
[00:06:43.060 --> 00:06:46.060]  從地理位置來說
[00:06:46.060 --> 00:06:51.060]  耶路撒冷是巴勒斯坦地區最高的城市
[00:06:51.060 --> 00:06:54.060]  所以如果你去耶路撒冷的話
[00:06:54.060 --> 00:06:58.060]  絕大多數的路程都是崎嶇的
[00:06:58.060 --> 00:07:00.060]  上山的路
[00:07:00.060 --> 00:07:02.060]  對那些朝聖者來說
[00:07:02.060 --> 00:07:05.060]  這種向上行的歷程
[00:07:05.060 --> 00:07:08.060]  不單止是一種地理的歷程
[00:07:08.060 --> 00:07:12.060]  也是一種屬靈上的歷程
[00:07:12.060 --> 00:07:15.060]  由於上耶路撒冷的歷程
[00:07:15.060 --> 00:07:19.060]  是一步一步地向高處而行
[00:07:19.060 --> 00:07:21.060]  一步比一步
[00:07:21.060 --> 00:07:24.060]  是更加親近上帝的歷程
[00:07:24.060 --> 00:07:26.060]  所以都可以比喻為
[00:07:26.060 --> 00:07:28.060]  信徒的生命
[00:07:28.060 --> 00:07:29.060]  我們的生命
[00:07:29.060 --> 00:07:33.060]  都是一步一級一級地去長進
[00:07:33.060 --> 00:07:35.060]  去到一個成長
[00:07:35.060 --> 00:07:37.060]  親近上帝的歷程
[00:07:37.060 --> 00:07:39.060]  從象徵意義來說
