
[00:00:00.000 --> 00:00:03.080]  在家裏的弟妹平安
[00:00:03.080 --> 00:00:06.180]  願神的恩典常與我們同在
[00:00:06.180 --> 00:00:07.980]  我們一起禱告
[00:00:07.980 --> 00:00:10.600]  主耶穌,我們讚美祢
[00:00:10.600 --> 00:00:13.340]  因為祢已經從死裏復活
[00:00:13.340 --> 00:00:16.280]  祢勝過罪
[00:00:16.280 --> 00:00:17.820]  勝過死亡
[00:00:17.820 --> 00:00:21.960]  讓祢復活的能力充滿我們
[00:00:21.960 --> 00:00:24.480]  讓祢復活的盼望
[00:00:24.480 --> 00:00:29.560]  引發在我們生命裏的力量
[00:00:30.200 --> 00:00:34.420]  我們要像昔日門徒那樣
[00:00:34.420 --> 00:00:35.860]  等候祢
[00:00:35.860 --> 00:00:37.660]  亦都
[00:00:37.660 --> 00:00:41.560]  來經歷祢給我們的能力
[00:00:41.560 --> 00:00:43.580]  我們去傳揚祢的福音
[00:00:43.580 --> 00:00:45.740]  傳揚祢的救恩
[00:00:45.740 --> 00:00:48.680]  求主差遣我們每一個
[00:00:48.680 --> 00:00:51.120]  由幫助我們
[00:00:51.120 --> 00:00:54.620]  有智慧有悟性的來領受祢的話語
[00:00:54.620 --> 00:00:56.220]  然後被祢差遣
[00:00:56.220 --> 00:00:57.800]  我們等候祢
[00:00:58.040 --> 00:01:01.160]  多謝您聽我們的祈禱奉主耶穌的名頭
[00:01:01.160 --> 00:01:02.160]  阿門
[00:01:02.160 --> 00:01:04.580]  由今年一月開始
[00:01:04.580 --> 00:01:06.760]  這個新型冠狀病毒
[00:01:06.760 --> 00:01:09.240]  傳遍全球
[00:01:09.240 --> 00:01:15.420]  至今已經有192萬人受到感染
[00:01:15.420 --> 00:01:18.820]  死亡人數超過11萬
[00:01:18.820 --> 00:01:25.120]  這些人有多少人認識耶穌呢?
[00:01:25.620 --> 00:01:32.400]  有多少人將會步向永遠的死亡呢?
[00:01:32.400 --> 00:01:35.280]  這不是一個數字那麼簡單
[00:01:35.280 --> 00:01:37.160]  是活生生的人命
[00:01:37.160 --> 00:01:39.360]  不單止這些死者
[00:01:39.360 --> 00:01:41.660]  還有死者的家人
[00:01:41.660 --> 00:01:43.140]  親友
[00:01:43.140 --> 00:01:44.560]  同事
[00:01:44.560 --> 00:01:50.180]  他們身邊的人
[00:01:50.180 --> 00:01:53.460]  會不會同樣去面對
[00:01:53.780 --> 00:01:55.760]  這個死亡的威脅呢?
[00:01:55.760 --> 00:02:00.620]  面對這麼嚴峻的疫情
[00:02:00.620 --> 00:02:04.540]  各國採取不同的措施
[00:02:04.540 --> 00:02:07.040]  有些是封閣
[00:02:07.040 --> 00:02:09.000]  有些是鎖城
[00:02:09.000 --> 00:02:11.720]  停止所有的社交聚會
[00:02:11.720 --> 00:02:14.380]  停止人與人之間的接觸
[00:02:14.380 --> 00:02:16.600]  留在家裡
[00:02:16.600 --> 00:02:21.200]  當所有的活動都停頓下來的時候
[00:02:22.660 --> 00:02:24.880]  有一件事是不可以停止的
[00:02:24.880 --> 00:02:26.880]  就是傳福音
[00:02:26.880 --> 00:02:30.120]  就算教會關門
[00:02:30.120 --> 00:02:32.640]  就算我們沒有實體的崇拜
[00:02:32.640 --> 00:02:34.680]  全部變成了網上
[00:02:34.680 --> 00:02:37.680]  甚至連探訪也沒有了
[00:02:37.680 --> 00:02:39.660]  我們也要傳福音
[00:02:39.660 --> 00:02:41.560]  為什麼呢?
[00:02:41.560 --> 00:02:42.880]  因為
[00:02:42.880 --> 00:02:48.600]  每天全球有成千上萬的人
[00:02:48.600 --> 00:02:50.360]  可能步向死亡
[00:02:50.360 --> 00:02:54.240]  或者正在經歷死亡的威脅這麼龐大的數字
[00:02:54.240 --> 00:02:56.660]  我們能夠無動於衷嗎?
[00:02:56.660 --> 00:02:59.480]  我們能夠採取什麼都不做嗎?
[00:02:59.480 --> 00:03:03.580]  傳福音是刻不容緩的
[00:03:03.580 --> 00:03:07.080]  縱然我們不能面對面
[00:03:07.080 --> 00:03:08.440]  當面跟別人說
[00:03:08.440 --> 00:03:11.340]  但是我相信我們可以打電話
[00:03:11.340 --> 00:03:13.220]  我們可以透過WhatsApp
[00:03:13.220 --> 00:03:18.380]  我知道有些教會甚至會做網上的報道會
[00:03:20.040 --> 00:03:22.860]  傳福音永遠都不會停止
[00:03:22.860 --> 00:03:28.100]  因為福音正是在人經歷著很黑暗
[00:03:28.100 --> 00:03:32.620]  很絕望的情況底下的盼望
[00:03:32.620 --> 00:03:37.420]  我們今天看提摩泰前書第二章
[00:03:37.420 --> 00:03:42.420]  保羅說:「我為此奉派作傳道、作使徒
[00:03:42.420 --> 00:03:45.320]  做信仰和真理的教師」
[00:03:45.320 --> 00:03:49.220]  不單止保羅被差派去傳道
[00:03:50.060 --> 00:03:53.720]  提摩泰、已忽所教會的信徒
[00:03:53.720 --> 00:03:57.440]  甚至乎今天的我們
[00:03:57.440 --> 00:04:00.680]  我們都是被差派去傳福音
[00:04:00.680 --> 00:04:02.580]  今天在這段經文
[00:04:02.580 --> 00:04:04.760]  我想大家去學兩件事
[00:04:04.760 --> 00:04:06.640]  第一:禱告
[00:04:06.640 --> 00:04:08.420]  第二:傳福音
[00:04:08.420 --> 00:04:13.720]  首先我們要為人人禱告一至二節
[00:04:13.720 --> 00:04:17.900]  所以我勸你首先要為人人祈求
[00:04:18.760 --> 00:04:22.920]  所以這個連接詞緊接著第一章
[00:04:22.920 --> 00:04:25.200]  第一章保羅提醒提摩泰
[00:04:25.200 --> 00:04:27.920]  耶穌基督已經來到世上
[00:04:27.920 --> 00:04:29.920]  祂是要拯救罪人
[00:04:29.920 --> 00:04:34.180]  我保羅是樣板
[00:04:34.180 --> 00:04:35.780]  我是罪人
[00:04:35.780 --> 00:04:38.680]  不單止我是罪魁
[00:04:38.680 --> 00:04:41.480]  但是我蒙了憐憫
[00:04:41.480 --> 00:04:43.520]  所以提摩泰
[00:04:43.520 --> 00:04:47.520]  你都要努力打爛美好的仗
[00:04:47.960 --> 00:04:51.960]  所以我勸你首先要去祈求
[00:04:51.960 --> 00:04:55.680]  提摩泰接了保羅這個棒
[00:04:55.680 --> 00:04:58.360]  他第一件事要做的是禱告
[00:04:58.360 --> 00:05:01.360]  祈求、禱告、代求、感謝
[00:05:01.360 --> 00:05:05.560]  基本上頭三個都是差不多的
[00:05:05.560 --> 00:05:09.040]  祈求就是你為某些事情
[00:05:09.040 --> 00:05:11.040]  或者某些需要來禱告
[00:05:11.040 --> 00:05:14.040]  第二樣禱告就是禱告
[00:05:14.040 --> 00:05:17.320]  第三代求就是為別人
[00:05:17.640 --> 00:05:23.720]  為他的困難或者他的苦難
[00:05:23.720 --> 00:05:26.480]  向神申訴或者呼求
[00:05:26.480 --> 00:05:29.680]  而最後我們一定要感謝
[00:05:29.680 --> 00:05:31.680]  因為保羅在接撒羅尼加前書
[00:05:31.680 --> 00:05:33.880]  都提醒我們凡事借恩
[00:05:33.880 --> 00:05:35.480]  我們要感恩
[00:05:35.480 --> 00:05:42.480]  其實幾樣東西不一定要很仔細地分別出來
[00:05:42.480 --> 00:05:44.960]  總之我們知道我們是為別人
[00:05:44.960 --> 00:05:47.560]  為自己來禱告
[00:05:48.640 --> 00:05:53.680]  這裏禱告的強調是為人人
[00:05:53.680 --> 00:05:57.080]  因為「人人」這個字眼
[00:05:57.080 --> 00:06:00.080]  你會看到它除了在這裏出現
[00:06:00.080 --> 00:06:03.080]  在第四節和第六節都出現過
[00:06:03.080 --> 00:06:06.080]  「人人」是我們的焦點
[00:06:06.080 --> 00:06:08.080]  不單是禱告的焦點
[00:06:08.080 --> 00:06:10.080]  亦是上帝的焦點
[00:06:10.080 --> 00:06:12.080]  因為神願意人人得救
[00:06:14.080 --> 00:06:18.080]  當然我們知道傳福音一定是祈禱
[00:06:18.080 --> 00:06:20.080]  無論你是個人報道
[00:06:20.080 --> 00:06:22.080]  或者你出三福堂
[00:06:22.080 --> 00:06:25.080]  你知道祈禱是最重要的
[00:06:25.080 --> 00:06:31.080]  禱告亦是初期教會一個很重要的教會生活
[00:06:31.080 --> 00:06:35.080]  甚至說是一個很機要的教會活動
[00:06:35.080 --> 00:06:38.080]  Fundamental的Activity
[00:06:38.080 --> 00:06:43.080]  當時禱告甚至是教會的標記
[00:06:44.080 --> 00:06:45.080]  Trademark
[00:06:45.080 --> 00:06:49.080]  耶穌復活離開了門徒聖天之後
