
[00:00:00.000 --> 00:00:03.200]  感謝神今天和大家一起敬拜我們的上帝
[00:00:03.200 --> 00:00:05.520]  首先我祝福每一位的父親
[00:00:05.520 --> 00:00:07.320]  父親節快樂
[00:00:07.320 --> 00:00:08.600]  真的要感謝神
[00:00:08.600 --> 00:00:11.280]  神給我們每一個人都有一個父親
[00:00:11.280 --> 00:00:15.360]  父親對我們每一個人的生命成長都很重要
[00:00:15.360 --> 00:00:18.280]  他的一言一語、一舉一動
[00:00:18.280 --> 00:00:20.280]  都直接影響我們的一生
[00:00:20.280 --> 00:00:21.440]  有時候很奇妙
[00:00:21.440 --> 00:00:24.600]  你會不經意地說了一句口頭禪
[00:00:24.600 --> 00:00:27.000]  或者做了一個小動作
[00:00:27.000 --> 00:00:32.840]  所謂母愛如海 父愛如山
[00:00:32.840 --> 00:00:37.000]  父愛就好像一座屹立不倒的山一樣
[00:00:37.000 --> 00:00:40.280]  給我們有很大的安全感
[00:00:40.280 --> 00:00:41.800]  但是有人問
[00:00:41.800 --> 00:00:46.600]  是不是每一個人都得到如山一般的父愛呢?
[00:00:46.600 --> 00:00:48.200]  或者我們反過來問
[00:00:48.200 --> 00:00:49.880]  其實是不是每一個父親
[00:00:49.880 --> 00:00:54.000]  都懂得用足夠的愛去愛他的子女呢?
[00:00:54.000 --> 00:00:55.760]  作為父親的我
[00:00:55.760 --> 00:00:59.040]  我知道這個天職是絕對不容易的
[00:00:59.040 --> 00:01:00.440]  不過我感謝主
[00:01:00.440 --> 00:01:04.600]  因為聖經裏面給我們看到很多不同的父親
[00:01:04.600 --> 00:01:07.840]  我發覺他們不是每一個人都天下無敵
[00:01:07.840 --> 00:01:11.880]  他們都有自己的掙扎和難處
[00:01:11.880 --> 00:01:14.960]  正正在這些難處和掙扎裏
[00:01:14.960 --> 00:01:16.960]  我學到很多功課
[00:01:16.960 --> 00:01:19.960]  給我很多啟迪和反思
[00:01:19.960 --> 00:01:25.320]  如果今天要你在聖經裏面找一個最佳父親
[00:01:25.320 --> 00:01:27.760]  我不知道你會選擇哪一個
[00:01:27.760 --> 00:01:29.760]  聖經裏面有很多父親
[00:01:29.760 --> 00:01:31.600]  無論是舊約還是新約
[00:01:31.600 --> 00:01:33.600]  我們從左邊看
[00:01:33.600 --> 00:01:38.560]  譬如我們有方舟建造者羅亞
[00:01:38.560 --> 00:01:41.360]  信心之父亞伯拉罕
[00:01:41.360 --> 00:01:43.680]  合神心意的大衛
[00:01:43.680 --> 00:01:47.520]  新約有耶穌的父親約瑟
[00:01:47.520 --> 00:01:52.120]  和垂名浪子心的慈父
[00:01:52.120 --> 00:01:57.160]  今天要選一個最佳父親在聖經裏面
[00:01:57.160 --> 00:01:58.720]  是不容易的
[00:01:58.720 --> 00:02:03.560]  但我覺得最具代表性的都是亞伯拉罕
[00:02:03.560 --> 00:02:05.640]  亞伯拉罕實至名歸
[00:02:05.640 --> 00:02:06.960]  Abraham
[00:02:06.960 --> 00:02:09.160]  Father of Many的意思
[00:02:09.160 --> 00:02:11.160]  萬國之父
[00:02:11.160 --> 00:02:13.160]  亞伯拉罕的傳奇
[00:02:13.160 --> 00:02:16.920]  莫過於他一百歲的時候做別人的父親
[00:02:16.920 --> 00:02:18.920]  這件事不容易
[00:02:18.920 --> 00:02:24.480]  但峰迴路轉的就是當他的兒子以撒長大懂事之後
[00:02:24.480 --> 00:02:29.200]  上帝竟然要他把這個寶貝兒子獻上
[00:02:29.200 --> 00:02:31.800]  有人會覺得很荒謬
[00:02:31.800 --> 00:02:33.120]  很無理
[00:02:33.120 --> 00:02:36.440]  甚至會覺得神為何這麼殘忍
[00:02:36.440 --> 00:02:38.760]  無論你覺得如何
[00:02:38.760 --> 00:02:40.760]  其實你再看回經文的時候
[00:02:40.760 --> 00:02:44.560]  你會發覺亞伯拉罕做父親那一刻
[00:02:44.560 --> 00:02:46.560]  其實有很多心路歷程
[00:02:46.560 --> 00:02:48.560]  很值得我們學習
[00:02:48.560 --> 00:02:53.680]  而他真的完全地完成了上帝交付給他的一份
[00:02:53.680 --> 00:02:55.680]  這麼寶貴的天職
[00:02:55.680 --> 00:02:59.600]  我們一起在經文裏重溫一下
[00:02:59.600 --> 00:03:03.600]  當時亞伯拉罕的一些心路歷程和一些學習
[00:03:03.600 --> 00:03:05.600]  雖然你現在在家
[00:03:05.600 --> 00:03:08.480]  我也鼓勵你可以一起讀聖經
[00:03:08.480 --> 00:03:10.880]  今天我們讀大概十四節
[00:03:10.880 --> 00:03:13.960]  《創世紀》二十二章一至十四節
[00:03:13.960 --> 00:03:15.480]  經文這樣說
[00:03:15.480 --> 00:03:19.560]  「這時以後神試驗亞伯拉罕對他說
[00:03:19.560 --> 00:03:23.560]  「亞伯拉罕,他回答,我在這裡」
[00:03:23.560 --> 00:03:25.560]  我希望在讀下去的時候
[00:03:25.560 --> 00:03:30.000]  你留意一下亞伯拉罕所說的那句話
[00:03:30.000 --> 00:03:32.000]  第二節「神說
[00:03:32.000 --> 00:03:35.480]  帶著你的兒子就是你所愛的徒生子以撒
[00:03:35.480 --> 00:03:36.960]  到摩尼亞去
[00:03:36.960 --> 00:03:39.720]  在我所要指示你的一座山上
[00:03:39.720 --> 00:03:41.720]  把他獻為凡席
[00:03:41.720 --> 00:03:43.720]  亞伯拉罕清早起來
[00:03:43.720 --> 00:03:48.720]  預備了來帶著兩個同僕和自己的兒子以撒
[00:03:48.720 --> 00:03:51.720]  亦都劈好了獻凡濟用的柴
