
[00:00:00.000 --> 00:00:01.860]  大家不知道有沒有這種經歷
[00:00:01.860 --> 00:00:04.380]  就是當我們跟別人傳福音
[00:00:04.380 --> 00:00:07.600]  或者跟一些未信的人去談到
[00:00:07.600 --> 00:00:10.820]  關於我們的信仰的時候
[00:00:10.820 --> 00:00:14.680]  很多時候對方會提出一個問題
[00:00:14.680 --> 00:00:18.440]  對方會問 或者他出於好奇也好
[00:00:18.440 --> 00:00:21.260]  或者他故意去考驗我們也好
[00:00:21.260 --> 00:00:24.880]  他會問 你們這本聖經那麼厚
[00:00:24.880 --> 00:00:27.080]  究竟是講什麼呢
[00:00:28.760 --> 00:00:32.120]  如果我們平時沒什麼準備要回答這個問題的時候
[00:00:32.120 --> 00:00:35.160]  真的會一時間被他問起
[00:00:35.160 --> 00:00:38.080]  聖經那麼大本
[00:00:38.080 --> 00:00:42.040]  還沒看完又很難回答
[00:00:42.040 --> 00:00:44.200]  看完更加難回答 因為聖經裡面
[00:00:44.200 --> 00:00:46.920]  講那麼多東西
[00:00:46.920 --> 00:00:49.240]  每樣東西都重要
[00:00:49.240 --> 00:00:52.240]  那我怎麼可以告訴他
[00:00:52.240 --> 00:00:54.960]  聖經是什麼呢 他給我多少時間呢
[00:00:54.960 --> 00:00:56.960]  四年最好 三年最好
[00:00:56.960 --> 00:00:59.920]  一天看一章 看完講完
[00:00:59.920 --> 00:01:04.320]  但是我們知道對方問一句這樣的說話的時候
[00:01:04.320 --> 00:01:05.680]  我們會意會到
[00:01:05.680 --> 00:01:08.680]  對方是希望我們用一個簡單的答案
[00:01:08.680 --> 00:01:10.920]  或者一句說話就算了
[00:01:10.920 --> 00:01:14.360]  我們怎麼說呢
[00:01:14.360 --> 00:01:17.640]  哪樣東西最重要呢
[00:01:17.640 --> 00:01:21.520]  怎麼一句說話就可以講出整個聖經的中心思想呢
[00:01:26.040 --> 00:01:28.600]  我在諸學班裡面
[00:01:28.600 --> 00:01:33.440]  也很多次會用這個問題來挑戰班裡面的同學
[00:01:33.440 --> 00:01:34.840]  我會說
[00:01:34.840 --> 00:01:37.880]  如果只是准你用三個字
[00:01:37.880 --> 00:01:41.200]  來總結聖經究竟是講什麼呢
[00:01:41.200 --> 00:01:43.200]  你會用哪三個字呢
[00:01:43.200 --> 00:01:48.560]  想不想到啊
[00:01:48.560 --> 00:01:52.200]  你可能會說
[00:01:52.200 --> 00:01:55.680]  神創造 很偉大
[00:01:56.240 --> 00:02:00.520]  又好像不是完全講得出整本聖經是講什麼
[00:02:00.520 --> 00:02:02.160]  因為聖經六十六卷
[00:02:02.160 --> 00:02:04.480]  只是第一卷裡面突然之間
[00:02:04.480 --> 00:02:07.360]  一二章裡面是講神創造而已
[00:02:07.360 --> 00:02:12.160]  不是很完整地講得出整本聖經是講什麼
[00:02:12.160 --> 00:02:14.960]  那你會想
[00:02:14.960 --> 00:02:17.360]  主降生
[00:02:17.360 --> 00:02:20.720]  或者主受死
[00:02:20.720 --> 00:02:21.960]  主復活
[00:02:22.960 --> 00:02:26.760]  這些是很重要的信息
[00:02:26.760 --> 00:02:32.400]  但是又好像不完全講得出整本聖經的意思
[00:02:32.400 --> 00:02:36.880]  再不然主再來 主審判
[00:02:36.880 --> 00:02:45.160]  又好像不只是編織了在末日的時代裡面
[00:02:47.360 --> 00:02:53.480]  究竟什麼是可以代表整本聖經呢
[00:02:53.480 --> 00:02:57.320]  哪三個字可以講呢
[00:02:57.320 --> 00:03:04.320]  能夠用三個字來講出聖經的中心思想
[00:03:04.320 --> 00:03:06.120]  這三個字一定不簡單
[00:03:06.120 --> 00:03:07.960]  這三個字是非常重要
[00:03:07.960 --> 00:03:09.160]  我的意思是
[00:03:09.160 --> 00:03:13.520]  這三個字所帶出來的信息是非常重要
[00:03:16.640 --> 00:03:18.040]  是哪三個字
[00:03:18.040 --> 00:03:20.320]  你應該猜到了
[00:03:20.320 --> 00:03:24.240]  神愛你
[00:03:24.240 --> 00:03:26.920]  或者你可以說神愛我
[00:03:26.920 --> 00:03:30.440]  你要想想
[00:03:30.440 --> 00:03:37.840]  每一卷的聖經都可以用神愛我來作為總結
[00:03:37.840 --> 00:03:41.440]  你想想
[00:03:41.440 --> 00:03:44.520]  神創造天地萬物 造我們人類為了什麼
[00:03:44.520 --> 00:03:46.320]  愛我們
[00:03:47.600 --> 00:03:51.800]  主降生 主受死 主復活 為了什麼
[00:03:51.800 --> 00:03:52.960]  愛我們
[00:03:52.960 --> 00:03:56.280]  主再來 主要審判 為了什麼
[00:03:56.280 --> 00:03:57.800]  愛我們
[00:03:57.800 --> 00:04:01.760]  聖經裡面很多教訓是做什麼
[00:04:01.760 --> 00:04:04.040]  愛我們
[00:04:04.040 --> 00:04:06.640]  大家同不同意嗎
[00:04:06.640 --> 00:04:12.320]  唯有這句話是可以總結了聖經的中心思想
[00:04:12.320 --> 00:04:15.880]  或者所有聖經所導向的一件事
[00:04:17.640 --> 00:04:21.120]  當我們聽到神愛我的時候
[00:04:21.120 --> 00:04:23.200]  你有沒有想到
[00:04:23.200 --> 00:04:24.640]  神愛我
[00:04:24.640 --> 00:04:26.640]  神竟然真的愛我
[00:04:26.640 --> 00:04:29.760]  如果神知道我是一個怎樣的人
[00:04:29.760 --> 00:04:31.840]  祂會不會再愛我呢
[00:04:31.840 --> 00:04:35.360]  聖經說
[00:04:35.360 --> 00:04:37.360]  神會愛我們
[00:04:37.360 --> 00:04:40.840]  又如果神知道我是一個怎樣的人
[00:04:40.840 --> 00:04:42.840]  祂會不會再愛我呢
[00:04:42.840 --> 00:04:46.840]  又如果神知道我是一個怎樣的人
[00:04:46.840 --> 00:04:48.840]  祂會不會再愛我們呢
[00:04:48.840 --> 00:04:50.840]  又如果神知道我是一個怎樣的人
[00:04:50.840 --> 00:04:52.840]  祂會不會再愛我們呢
[00:04:52.840 --> 00:04:54.840]  又如果神知道我是一個怎樣的人
[00:04:54.840 --> 00:04:56.840]  祂會不會再愛我們呢
[00:04:56.840 --> 00:04:58.840]  又如果神知道我是一個怎樣的人
[00:04:58.840 --> 00:05:00.840]  祂會不會再愛我們呢
[00:05:00.840 --> 00:05:02.840]  又如果神知道我是一個怎樣的人
[00:05:02.840 --> 00:05:04.840]  祂會不會再愛我們呢
[00:05:04.840 --> 00:05:06.840]  又如果神知道我是一個怎樣的人
[00:05:06.840 --> 00:05:08.840]  祂會不會再愛我們呢
[00:05:08.840 --> 00:05:10.840]  又如果神知道我是一個怎樣的人
[00:05:10.840 --> 00:05:12.840]  祂會不會再愛我們呢
[00:05:12.840 --> 00:05:14.840]  又如果神知道我是一個怎樣的人
[00:05:14.840 --> 00:05:16.840]  祂會不會再愛我們呢
[00:05:16.840 --> 00:05:18.840]  又如果神知道我是一個怎樣的人
[00:05:18.840 --> 00:05:20.840]  祂會不會再愛我們呢
[00:05:20.840 --> 00:05:22.840]  又如果神知道我是一個怎樣的人
[00:05:22.840 --> 00:05:24.840]  祂會不會再愛我們呢
[00:05:24.840 --> 00:05:26.840]  又如果神知道我是一個怎樣的人
[00:05:26.840 --> 00:05:28.840]  祂會不會再愛我們呢
[00:05:28.840 --> 00:05:30.840]  又如果神知道我是一個怎樣的人
[00:05:30.840 --> 00:05:32.840]  祂會不會再愛我們呢
[00:05:32.840 --> 00:05:34.840]  又如果神知道我是一個怎樣的人
[00:05:34.840 --> 00:05:36.840]  祂會不會再愛我們呢
[00:05:36.840 --> 00:05:38.840]  祂會不會再愛我們呢
[00:05:38.840 --> 00:05:40.840]  又如果神知道我是一個怎樣的人
[00:05:40.840 --> 00:05:42.840]  祂會不會再愛我們呢
[00:05:42.840 --> 00:05:44.840]  又如果神知道我是一個怎樣的人
[00:05:44.840 --> 00:05:46.840]  祂會不會再愛我們呢
[00:05:46.840 --> 00:05:48.840]  又如果神知道我是一個怎樣的人
[00:05:48.840 --> 00:05:50.840]  祂會不會再愛我們呢
[00:05:50.840 --> 00:05:52.840]  又如果神知道我是一個怎樣的人
[00:05:52.840 --> 00:05:54.840]  祂會不會再愛我們呢
[00:05:54.840 --> 00:05:56.840]  又如果神知道我是一個怎樣的人
[00:05:56.840 --> 00:05:58.840]  祂會不會再愛我們呢
[00:05:58.840 --> 00:06:00.840]  又如果神知道我是一個怎樣的人
[00:06:00.840 --> 00:06:02.840]  祂會不會再愛我們呢
[00:06:02.840 --> 00:06:04.840]  又如果神知道我是一個怎樣的人
[00:06:04.840 --> 00:06:06.840]  祂會不會再愛我們呢
[00:06:06.840 --> 00:06:08.840]  又如果神知道我是一個怎樣的人
[00:06:08.840 --> 00:06:10.840]  祂會不會再愛我們呢
[00:06:10.840 --> 00:06:12.840]  又如果神知道我是一個怎樣的人
[00:06:12.840 --> 00:06:14.840]  祂會不會再愛我們呢
[00:06:14.840 --> 00:06:16.840]  又如果神知道我是一個怎樣的人
