
[00:00:00.000 --> 00:00:03.360]  首先想大家看看這個圖片
[00:00:03.360 --> 00:00:09.800]  誰是第一次見到這個圖片的?
[00:00:09.800 --> 00:00:13.280]  也有一部份
[00:00:13.280 --> 00:00:16.160]  其他人也見過吧?應該這樣說
[00:00:16.160 --> 00:00:18.440]  這個圖片是甚麼呢?
[00:00:18.440 --> 00:00:23.040]  你看到有一個像咖啡杯的杯蓋
[00:00:23.040 --> 00:00:25.000]  延伸出來比較大
[00:00:25.000 --> 00:00:28.600]  右邊寫著「四個牧養範疇」
[00:00:29.120 --> 00:00:33.240]  左邊的杯身寫著「四個分靈牧區」
[00:00:33.240 --> 00:00:38.200]  這個圖片我希望大家能夠認識
[00:00:38.200 --> 00:00:43.160]  今後我們也會經常見到、熟悉一點
[00:00:43.160 --> 00:00:51.240]  因為這是我們教會未來牧養方向的一個圖示
[00:00:51.240 --> 00:00:53.600]  其實是一個簡化的結構
[00:00:53.600 --> 00:00:56.760]  透過一個「四個牧養範疇」
[00:00:56.760 --> 00:00:57.960]  包括了甚麼呢?
[00:00:58.400 --> 00:00:59.280]  大家看到嗎?
[00:00:59.280 --> 00:01:03.320]  培訓、關固、佈道、外展
[00:01:03.320 --> 00:01:09.640]  四個方面能夠深化我們弟兄姊妹認識神的道
[00:01:09.640 --> 00:01:11.200]  去實踐真理
[00:01:11.200 --> 00:01:15.600]  更加能夠去進行主的話
[00:01:15.600 --> 00:01:17.760]  成為大使命的教會
[00:01:17.760 --> 00:01:23.560]  另外這個杯身有四個分靈的牧區
[00:01:23.560 --> 00:01:29.000]  包括了長者、成年、青少年和兒童
[00:01:29.000 --> 00:01:36.520]  在座當中應該大部份是在成年長者的牧區裏面
[00:01:36.520 --> 00:01:40.280]  你說這個牧區將來會怎樣呢?
[00:01:40.280 --> 00:01:42.960]  當然現有的團契裏面
[00:01:42.960 --> 00:01:46.960]  都會按靈進入牧區裏面
[00:01:46.960 --> 00:01:48.560]  但是我沒有團契
[00:01:48.560 --> 00:01:53.640]  其實將來一些聚會、學習、活動
[00:01:53.640 --> 00:01:57.520]  我們都可能寫哪個牧區適合哪些人士參加
[00:01:57.520 --> 00:02:00.440]  你就按靈可以去參加
[00:02:00.440 --> 00:02:01.760]  可以去學習
[00:02:01.760 --> 00:02:03.800]  當然團體教會的時候
[00:02:03.800 --> 00:02:05.720]  不分年齡都可以參加
[00:02:05.720 --> 00:02:08.680]  但有更多可能是按靈參加的時候
[00:02:08.680 --> 00:02:12.920]  更加聚集我們適齡的人一起
[00:02:12.920 --> 00:02:15.880]  能夠得到這四個牧養
[00:02:15.880 --> 00:02:23.600]  這個是我們接下來的牧養藍圖
[00:02:23.600 --> 00:02:26.160]  當然這個圖很簡單
[00:02:26.160 --> 00:02:29.160]  對於教會一個組織行政來說
[00:02:29.160 --> 00:02:31.280]  就有不簡單的變化
[00:02:31.280 --> 00:02:33.760]  因為對我們現有的組織
[00:02:33.760 --> 00:02:37.440]  對我們現有的各部的安排
[00:02:37.440 --> 00:02:39.920]  都有一定程度的改變
[00:02:39.920 --> 00:02:43.840]  尤其是我們在這兩個的關係裏面
[00:02:43.840 --> 00:02:45.200]  是很特別的
[00:02:45.200 --> 00:02:48.760]  好像這個牧養範疇分了出來
[00:02:48.760 --> 00:02:50.320]  人就分了一邊
[00:02:50.320 --> 00:02:53.280]  變了就好像牧區裏面
[00:02:53.280 --> 00:02:56.200]  一定會跟這個牧養範疇結合
[00:02:56.200 --> 00:02:59.880]  才能夠產生一個牧養的作用在裏面
