
[00:00:00.000 --> 00:00:03.480]  我可能會覺得很奇怪
[00:00:03.480 --> 00:00:08.320]  我當然是想付足
[00:00:08.320 --> 00:00:11.320]  我在人的面前付足就夠了
[00:00:11.320 --> 00:00:13.840]  或者我自己靜靜地
[00:00:13.840 --> 00:00:16.480]  真是禾稈冚珍珠
[00:00:16.480 --> 00:00:19.760]  好法 不過不要讓那麼多人知道
[00:00:19.760 --> 00:00:23.720]  在自己的面前付足也可以的
[00:00:23.720 --> 00:00:29.320]  為什麼要在神的面前付足呢?
[00:00:29.320 --> 00:00:30.880]  這是什麼樣的神呢?
[00:00:30.880 --> 00:00:36.040]  基督教說的話有時真是很奇怪的
[00:00:36.040 --> 00:00:38.520]  所以我先打個問號
[00:00:38.520 --> 00:00:44.160]  讓大家思想一下這個問題
[00:00:44.160 --> 00:00:47.480]  一開始的時候第十三節
[00:00:47.480 --> 00:00:51.600]  背景是有這樣的事情產生
[00:00:51.600 --> 00:00:56.760]  以至帶出剛才的結論
[00:00:56.760 --> 00:00:59.320]  究竟發生什麼事呢?
[00:00:59.320 --> 00:01:01.080]  原來那裡告訴我們
[00:01:01.080 --> 00:01:05.720]  眾人當中有一個人對耶穌說
[00:01:05.720 --> 00:01:08.200]  「夫子」不是「老夫子」
[00:01:08.200 --> 00:01:09.760]  是「老師」
[00:01:09.760 --> 00:01:15.760]  當時稱呼先生、師長、老師
[00:01:15.760 --> 00:01:19.520]  可見耶穌當時對著很多人
[00:01:19.520 --> 00:01:23.480]  在講聖經的道理
[00:01:23.480 --> 00:01:28.400]  這些聽道的人當中
[00:01:28.400 --> 00:01:32.640]  竟然有一個人公開對耶穌說
[00:01:32.640 --> 00:01:37.480]  「老師 請你吩咐我的兄長
[00:01:37.480 --> 00:01:41.240]  跟我分開家業」
[00:01:41.240 --> 00:01:44.760]  聖經真是很奇怪
[00:01:44.760 --> 00:01:47.160]  很濃縮地
[00:01:47.160 --> 00:01:50.240]  又不講太多背景
[00:01:50.240 --> 00:01:52.960]  前因後果地突然間發出一句
[00:01:52.960 --> 00:02:00.480]  聖經的真理竟然有人在那裡說什麼?
[00:02:00.480 --> 00:02:03.920]  要耶穌吩咐他的兄長
[00:02:03.920 --> 00:02:06.120]  跟他分家產
[00:02:06.120 --> 00:02:10.280]  這是什麼意思呢?
[00:02:10.280 --> 00:02:11.880]  想深一層
[00:02:11.880 --> 00:02:14.000]  就是兩兄弟
[00:02:14.000 --> 00:02:16.960]  因為家產的問題
[00:02:16.960 --> 00:02:20.440]  鬧得兩人談不攏
[00:02:20.440 --> 00:02:23.080]  私下談不攏 在家談不攏
[00:02:23.080 --> 00:02:24.760]  在其他地方談不攏
[00:02:24.760 --> 00:02:27.560]  要在公開的場合
[00:02:27.560 --> 00:02:33.280]  請宗教領袖出手
[00:02:33.280 --> 00:02:35.360]  這弟弟的投訴
[00:02:35.360 --> 00:02:38.680]  肯定他覺得自己是冤屈的
[00:02:38.680 --> 00:02:41.520]  當然哥哥欺負他
[00:02:41.520 --> 00:02:43.080]  不公平對待他
[00:02:43.080 --> 00:02:44.840]  可能分少一點給他
[00:02:44.840 --> 00:02:49.880]  或者藏起一共父母留下多少
[00:02:49.880 --> 00:02:50.880]  不告訴他
[00:02:50.880 --> 00:02:53.440]  引致他懷疑哥哥
[00:02:53.440 --> 00:02:55.800]  總之是虧欠他
[00:02:55.800 --> 00:02:57.240]  不公平
[00:02:57.240 --> 00:02:59.560]  他要訴諸於
[00:02:59.560 --> 00:03:01.560]  不是法庭
[00:03:01.560 --> 00:03:04.280]  訴諸於公眾
[00:03:04.280 --> 00:03:06.680]  訴諸於道德的高地
[00:03:06.680 --> 00:03:09.080]  找一個宗教的領袖
[00:03:09.080 --> 00:03:12.520]  找一個講很高的做人道理
[00:03:12.520 --> 00:03:16.360]  然後大家看著他哥哥
[00:03:16.360 --> 00:03:20.080]  「你不要了 弟弟了 收手吧」
[00:03:20.080 --> 00:03:23.080]  差不多了
[00:03:23.080 --> 00:03:27.720]  哥哥如果是當場的話
[00:03:27.720 --> 00:03:30.240]  肯定要麼就伸冤
[00:03:30.240 --> 00:03:31.920]  要麼就跟弟弟爭論
[00:03:31.920 --> 00:03:34.800]  要麼就頭凹凸眼濕濕
[00:03:34.800 --> 00:03:38.080]  但聖經沒有再記載
[00:03:38.080 --> 00:03:41.720]  他哥哥有沒有在當中申辯
[00:03:41.720 --> 00:03:43.760]  可能他哥哥也不在當中
[00:03:43.760 --> 00:03:46.200]  也沒有形容
[00:03:46.200 --> 00:03:48.200]  但你們看到這件事
[00:03:48.200 --> 00:03:49.320]  就覺得
[00:03:49.320 --> 00:03:51.640]  怎麼搞成這樣
[00:03:51.640 --> 00:03:54.920]  一家人兩兄弟
[00:03:54.920 --> 00:03:56.920]  一世人兩兄弟
[00:03:56.920 --> 00:04:00.680]  用不著在公開的情況下
[00:04:00.680 --> 00:04:04.240]  講到全世界都知道
[00:04:04.240 --> 00:04:06.760]  你哥哥在欺負你
[00:04:06.760 --> 00:04:08.960]  原來錢銀
[00:04:08.960 --> 00:04:11.400]  真是叫人無情講
[00:04:11.400 --> 00:04:13.880]  一家人又如何呢
[00:04:13.880 --> 00:04:16.560]  沒錢的時候就一齊
[00:04:16.560 --> 00:04:18.560]  去捱富裕
[00:04:18.560 --> 00:04:20.720]  吃鹹魚
[00:04:20.720 --> 00:04:23.960]  但當有錢
[00:04:23.960 --> 00:04:28.560]  就牽涉到很多這些增產的問題
[00:04:28.560 --> 00:04:31.360]  我們也不用
[00:04:31.360 --> 00:04:33.840]  只看聖經的時代
[00:04:33.840 --> 00:04:36.000]  幾千年前的事
[00:04:36.000 --> 00:04:38.080]  只是今天
[00:04:38.080 --> 00:04:40.080]  要活在香港
[00:04:40.080 --> 00:04:44.560]  我們一把年紀的都記得
[00:04:44.560 --> 00:04:47.360]  以前新馬斯曾的家族
