
[00:00:00.000 --> 00:00:08.480]  (悲傷音樂)
[00:00:08.480 --> 00:00:10.920]  頂姐妹主內平安
[00:00:10.920 --> 00:00:15.440]  香港現時的疫情相信都影響著大家日常的生活
[00:00:15.440 --> 00:00:19.080]  為了盡量避免社區傳染的風險
[00:00:19.080 --> 00:00:22.920]  可能大家未能如常回到教會
[00:00:22.920 --> 00:00:26.080]  同時大家都盡量減少見面的機會
[00:00:26.080 --> 00:00:28.360]  我希望透過短片的形式
[00:00:28.360 --> 00:00:31.560]  為大家送上慰問和鼓勵
[00:00:31.560 --> 00:00:33.720]  以弗所書一章一節說
[00:00:33.720 --> 00:00:38.000]  奉神旨意作基督耶穌使徒的保羅
[00:00:38.000 --> 00:00:40.680]  寫信給在以弗所的聖徒
[00:00:40.680 --> 00:00:44.560]  就是在基督耶穌內有忠心的人
[00:00:44.560 --> 00:00:49.640]  保羅是向以弗所這間地上的教會問安
[00:00:49.640 --> 00:00:52.480]  見浸就是一間地上的教會
[00:00:52.480 --> 00:00:56.400]  我們都是在基督耶穌內的人
[00:00:56.400 --> 00:01:01.920]  在這段時間即使你不能回到教會崇拜或聚會
[00:01:01.920 --> 00:01:05.920]  但我們每一個都仍然是憐於基督
[00:01:05.920 --> 00:01:07.600]  在一個非常時期
[00:01:07.600 --> 00:01:11.120]  我們作為信徒更要發揮合一
[00:01:11.120 --> 00:01:14.920]  關心和互相守望的精神
[00:01:14.920 --> 00:01:17.720]  做一個忠心的信徒
[00:01:17.720 --> 00:01:20.920]  如果你最近多了時間留在家
[00:01:20.920 --> 00:01:24.840]  我希望你能藉著這個機會多讀經
[00:01:24.840 --> 00:01:29.280]  以及在家裡和家人一起祈禱
[00:01:29.280 --> 00:01:33.800]  傳言仰望和謹靠我們的上帝
[00:01:33.800 --> 00:01:36.320]  詩篇106篇第四節說
[00:01:36.320 --> 00:01:40.120]  耶和華啊!你用恩惠待你的百姓
[00:01:40.120 --> 00:01:43.160]  求你也用這恩惠紀念我
[00:01:43.160 --> 00:01:46.080]  開你的舊恩眷顧我
