
[00:00:00.000 --> 00:00:03.400]  唔知大家平時有無留意法庭嘅新聞呢?
[00:00:03.400 --> 00:00:06.020]  喺香港嘅報章當中
[00:00:06.020 --> 00:00:08.840]  我哋經常都會睇到一啲法庭嘅消息嘅
[00:00:08.840 --> 00:00:12.480]  就算我哋唔係嗰個案件嘅陪審團之一
[00:00:12.480 --> 00:00:15.520]  偶然我哋都會對某一啲案件
[00:00:15.520 --> 00:00:17.360]  按我哋自己嘅道德
[00:00:17.360 --> 00:00:19.640]  同埋價值嘅標準作出判斷
[00:00:19.640 --> 00:00:22.840]  今日我哋嚟睇下呢個人保羅
[00:00:22.840 --> 00:00:24.640]  點樣面對審訊呢?
[00:00:24.640 --> 00:00:26.640]  佢點解要被審問呢?
[00:00:26.640 --> 00:00:29.360]  咁首先講下個背景先
[00:00:29.640 --> 00:00:33.480]  背景由《史唐人傳》第21章開始講起
[00:00:33.480 --> 00:00:36.520]  上一個禮拜陳崇良傳到
[00:00:36.520 --> 00:00:38.440]  就同我哋講《史唐人傳》第21章
[00:00:38.440 --> 00:00:40.200]  之後就我接力啦
[00:00:40.200 --> 00:00:42.200]  21章第17節嗰度開始
[00:00:42.200 --> 00:00:44.680]  就講到保羅喺耶路撒冷嘅遭遇
[00:00:44.680 --> 00:00:47.000]  到第27節
[00:00:47.000 --> 00:00:50.200]  嗰度話哪七日章完
[00:00:50.200 --> 00:00:52.200]  從亞細亞來的猶太人
[00:00:52.200 --> 00:00:53.880]  看見保羅載奠女
[00:00:53.880 --> 00:00:56.520]  就聳動了眾人下手拿他
[00:00:56.920 --> 00:00:59.800]  提到佢被亞細亞來的猶太人
[00:00:59.800 --> 00:01:01.400]  喺聖殿裏面捉住
[00:01:01.400 --> 00:01:02.680]  佢哋打佢
[00:01:02.680 --> 00:01:04.200]  甚至想殺佢
[00:01:04.200 --> 00:01:07.480]  好彩有人向千夫長報信
[00:01:07.480 --> 00:01:09.960]  所謂千夫長
[00:01:09.960 --> 00:01:12.280]  好明顯佢係管一千個士兵嘅
[00:01:12.280 --> 00:01:14.280]  即係羅馬嘅官階
[00:01:14.280 --> 00:01:18.280]  千夫長即刻帶人嚟阻止呢個暴力嘅事件
[00:01:18.280 --> 00:01:20.680]  但係千夫長就不由分說
[00:01:20.680 --> 00:01:22.120]  就鎖咗保羅先
[00:01:22.120 --> 00:01:23.400]  佢明明畀人打
[00:01:23.400 --> 00:01:24.760]  畀人幾乎要殺
[00:01:24.760 --> 00:01:26.760]  但竟然鎖咗嗰個受害人
[00:01:26.760 --> 00:01:29.000]  當時保羅喺佢嘅批准之下
[00:01:29.000 --> 00:01:32.840]  於是即時向猶太嘅百姓作出申辯
[00:01:32.840 --> 00:01:36.360]  無奈呢啲猶太人就唔接受佢嘅解釋
[00:01:36.360 --> 00:01:38.920]  仲要求將佢定死罪
