
[00:00:00.000 --> 00:00:03.000]  這是考試 寫出相反字
[00:00:03.000 --> 00:00:05.000]  八分
[00:00:05.000 --> 00:00:08.000]  我想這是一個小學的策略
[00:00:08.000 --> 00:00:11.000]  左的相反
[00:00:11.000 --> 00:00:14.000]  反過來
[00:00:14.000 --> 00:00:16.000]  上應該是下
[00:00:16.000 --> 00:00:17.000]  反過來
[00:00:17.000 --> 00:00:19.000]  小來
[00:00:19.000 --> 00:00:21.000]  拿多少分呢
[00:00:21.000 --> 00:00:23.000]  零分
[00:00:23.000 --> 00:00:27.000]  我們今天就說聖靈
[00:00:27.000 --> 00:00:29.000]  或者是我們的生活裡面
[00:00:29.000 --> 00:00:31.000]  聖靈引導我們
[00:00:31.000 --> 00:00:33.000]  使我們明白耶穌
[00:00:33.000 --> 00:00:35.000]  引導我們的生活
[00:00:35.000 --> 00:00:37.000]  究竟那個是聖靈
[00:00:37.000 --> 00:00:39.000]  真的
[00:00:39.000 --> 00:00:41.000]  還是零雞蛋的零
[00:00:41.000 --> 00:00:43.000]  是假的呢
[00:00:43.000 --> 00:00:45.000]  今天這段聖經
[00:00:45.000 --> 00:00:47.000]  當時信耶穌的人之後
[00:00:47.000 --> 00:00:49.000]  信了 很清楚信
[00:00:49.000 --> 00:00:51.000]  不過
[00:00:51.000 --> 00:00:53.000]  後來就給一些
[00:00:53.000 --> 00:00:55.000]  假的信徒
[00:00:55.000 --> 00:00:57.000]  假先知
[00:00:57.000 --> 00:00:59.000]  敗壞的
[00:00:59.000 --> 00:01:01.000]  信耶穌也重要
[00:01:01.000 --> 00:01:03.000]  不過我說的更重要
[00:01:03.000 --> 00:01:05.000]  例如這樣
[00:01:05.000 --> 00:01:07.000]  這個零是假的
[00:01:07.000 --> 00:01:09.000]  在背景裡面
[00:01:09.000 --> 00:01:11.000]  今天想想
[00:01:11.000 --> 00:01:13.000]  究竟什麼在指引我們的生活
[00:01:13.000 --> 00:01:15.000]  是真的聖靈呢
[00:01:15.000 --> 00:01:17.000]  還是零蛋的零
[00:01:17.000 --> 00:01:19.000]  第一件事在這段經文裡面說
[00:01:25.000 --> 00:01:27.000]  第一件事是要測試
[00:01:27.000 --> 00:01:29.000]  這件事
[00:01:29.000 --> 00:01:31.000]  我們信了耶穌 信了這個階段
[00:01:31.000 --> 00:01:33.000]  值得我們想想
[00:01:33.000 --> 00:01:35.000]  究竟是什麼零
[00:01:35.000 --> 00:01:37.000]  在推動我們的生活
[00:01:37.000 --> 00:01:39.000]  親愛的弟兄
[00:01:39.000 --> 00:01:43.000]  一切的零 你們不可盜信
[00:01:43.000 --> 00:01:45.000]  總要試驗那些零
[00:01:45.000 --> 00:01:47.000]  是出於神的不思
[00:01:47.000 --> 00:01:49.000]  因為世上有很多假先知
[00:01:49.000 --> 00:01:51.000]  已經出來了
