
[00:00:00.000 --> 00:00:02.000]  早晨,各位聽眾姊妹
[00:00:02.000 --> 00:00:04.000]  我們一起來思想上帝的說話
[00:00:04.000 --> 00:00:07.000]  我們先做一次低頭禱告
[00:00:07.000 --> 00:00:10.000]  多謝天父讓我們可以來到敬拜祢
[00:00:10.000 --> 00:00:15.000]  能夠敬拜祢實在是歡喜快樂的事
[00:00:15.000 --> 00:00:18.000]  我們又多謝祢讓我們有自由
[00:00:18.000 --> 00:00:21.000]  去到聆聽,去到思想祢的話
[00:00:21.000 --> 00:00:24.000]  後主都幫助我們
[00:00:24.000 --> 00:00:28.000]  真的讓祢的話語指引我們
[00:00:28.000 --> 00:00:30.000]  使我們更加知道
[00:00:30.000 --> 00:00:35.000]  我們在世上應當承擔的使命是什麼
[00:00:35.000 --> 00:00:37.000]  願祢在今早
[00:00:37.000 --> 00:00:40.000]  藉祢的話語,藉著聖靈的工作
[00:00:40.000 --> 00:00:43.000]  再一次感動我們每一個
[00:00:43.000 --> 00:00:47.000]  奉耶穌基督的聖名,阿們
[00:00:47.000 --> 00:00:50.000]  今天的講題就是
[00:00:50.000 --> 00:00:55.000]  神的禍場,你的攻場
[00:00:55.000 --> 00:00:58.000]  我們會繼續思想到
[00:00:58.000 --> 00:01:01.000]  教會不單只是一個蒙召的群體
[00:01:01.000 --> 00:01:06.000]  也是一個奉派,被差遣的群體
[00:01:06.000 --> 00:01:10.000]  講到禍場,攻場
[00:01:10.000 --> 00:01:12.000]  我們會想起什麼呢
[00:01:12.000 --> 00:01:17.000]  想起宣教,想起宣教士
[00:01:17.000 --> 00:01:20.000]  可能就會想到我們的Friendly
[00:01:20.000 --> 00:01:22.000]  葉靖兒宣教士
[00:01:22.000 --> 00:01:25.000]  被我們差派到日本
[00:01:25.000 --> 00:01:31.000]  在日本的地方向當地人傳福音
[00:01:31.000 --> 00:01:33.000]  聖經裡面講到
[00:01:33.000 --> 00:01:37.000]  上帝是一個差傳的上帝
[00:01:37.000 --> 00:01:40.000]  主動去差派
[00:01:40.000 --> 00:01:43.000]  不過如果差傳宣教
[00:01:43.000 --> 00:01:44.000]  我們想到的時候
[00:01:44.000 --> 00:01:47.000]  只是想到宣教士的事情
