
[00:00:00.000 --> 00:00:03.040]  我今日呢同大家講父親節喎
[00:00:03.040 --> 00:00:05.540]  咁就揀咗個題目叫HAPPY FATHER'S DAY啦
[00:00:05.540 --> 00:00:06.960]  父親節快樂
[00:00:06.960 --> 00:00:08.280]  快唔快樂呀 大家
[00:00:08.280 --> 00:00:10.980]  有 係
[00:00:10.980 --> 00:00:13.440]  首先好多謝 Passage Gym 啦 邀請我啦
[00:00:13.440 --> 00:00:15.960]  要講下啲 都要講啲客氣嘅說話
[00:00:15.960 --> 00:00:17.480]  都多謝 Passage Gym
[00:00:17.480 --> 00:00:18.960]  咁 呃
[00:00:18.960 --> 00:00:21.520]  可能 我唔知佢咩原因去邀請我啦
[00:00:21.520 --> 00:00:24.080]  可能因為我已經係一個爸爸啦 咁樣
[00:00:24.080 --> 00:00:25.440]  咁啊
[00:00:25.440 --> 00:00:27.680]  即係佢一邀請我 話父親節講喎
[00:00:27.680 --> 00:00:29.760]  咁我即刻就應承啦 咁樣
[00:00:29.760 --> 00:00:33.400]  但係後尾發覺原來講父親節嘅主要訊息呢
[00:00:33.400 --> 00:00:36.040]  其實好唔簡單 好唔容易
[00:00:36.040 --> 00:00:39.480]  因為呢 大家對爸爸嘅印象呢 好唔同
[00:00:39.480 --> 00:00:43.760]  我識得唔少 譬如單親家庭長大嘅朋友 弟兄姊妹啦
[00:00:43.760 --> 00:00:47.080]  媽媽離開咗 或 咩原因都好 離開咗
[00:00:47.080 --> 00:00:49.840]  爸爸一個人照顧大佢哋嘅時候呢
[00:00:49.840 --> 00:00:50.720]  會點呀
[00:00:50.720 --> 00:00:52.440]  同爸爸關係可能好好啦 係咪呀
[00:00:52.440 --> 00:00:54.120]  好黐住爸爸啦
[00:00:54.120 --> 00:00:57.200]  好錫爸爸 爸爸又好錫佢哋
[00:00:57.200 --> 00:00:59.440]  我都聽過有弟兄姊妹呢 佢話呢
[00:00:59.440 --> 00:01:03.080]  父親節嗰個禮拜呢 就唔返崇拜啦
[00:01:03.080 --> 00:01:05.160]  因為呢 返崇拜就講父親節吖嘛
[00:01:05.160 --> 00:01:06.600]  好討厭呀 直頭唔想聽
[00:01:06.600 --> 00:01:09.880]  因為好同爸爸關係好差 好差
[00:01:09.880 --> 00:01:11.440]  我曾經呢 有個朋友呢
[00:01:11.440 --> 00:01:14.240]  佢同我講佢細個時間呢
[00:01:14.240 --> 00:01:16.600]  爸爸 佢爸爸呢 因為佢做錯咗啲嘢呢
[00:01:16.600 --> 00:01:18.880]  係燒紅隻鑊 係燒紅隻鑊呀
[00:01:18.880 --> 00:01:20.480]  係追住佢嚟辣架
[00:01:20.480 --> 00:01:22.080]  係咪好誇張
[00:01:22.080 --> 00:01:23.920]  佢話呢世都唔會原諒我爸爸
[00:01:23.920 --> 00:01:25.000]  其實佢做咗啲咩呢 就係呢
[00:01:25.000 --> 00:01:27.960]  佢放學返嚟呢 返到屋企呢 好肚餓啦
[00:01:27.960 --> 00:01:30.200]  係咪想 係阿媽個銀包度攞咗啲錢
[00:01:30.200 --> 00:01:31.640]  落街買咗啲嘢食
[00:01:31.640 --> 00:01:33.120]  跟住爸爸就咁樣做
[00:01:33.120 --> 00:01:36.360]  好多嘅傷害 好多嘅傷痛喺裏面
[00:01:36.360 --> 00:01:38.320]  又或者呢 有一啲人好似我咁樣呀
[00:01:38.320 --> 00:01:40.520]  有啲弟兄姊妹同埋朋友都好似我咁樣
[00:01:40.520 --> 00:01:42.640]  就係呢 同爸爸關係都幾好呀
[00:01:42.640 --> 00:01:45.320]  但係呢 爸爸已經離開咗呢個世界啦
[00:01:45.320 --> 00:01:47.160]  到呢個佳節嘅時間呢
[00:01:47.160 --> 00:01:49.400]  多多咗一份嘅 多咗一份嘅思念
[00:01:49.400 --> 00:01:53.120]  或者多咗一份嘅傷感
[00:01:53.120 --> 00:01:55.640]  除咗呢啲 以上種種嘅原因呢
[00:01:55.640 --> 00:01:59.440]  令到我覺得父親節嘅訊息難講之外呢
[00:01:59.440 --> 00:02:01.200]  另一個原因就係呢
[00:02:01.200 --> 00:02:03.320]  一路我哋都呢一段時間呢
[00:02:03.320 --> 00:02:05.000]  呢幾日呢都經歷緊嘅就係
[00:02:05.000 --> 00:02:06.800]  即係香港嘅嗰個困難啦
[00:02:06.800 --> 00:02:08.960]  作為爸爸 我心裏面都好
[00:02:08.960 --> 00:02:10.880]  瞪下一代去著急
[00:02:10.880 --> 00:02:12.640]  好瞪下一代嚟去著緊
[00:02:12.640 --> 00:02:16.120]  彷彿見到佢哋都已經好似冇一個嘅
[00:02:16.120 --> 00:02:20.600]  失去咗一啲嘅盼望 失去咗一啲嘅希望咁樣
[00:02:20.600 --> 00:02:23.240]  我諗我點樣講呢個訊息
[00:02:23.240 --> 00:02:24.840]  好難 好艱難
[00:02:24.840 --> 00:02:26.840]  其實我有半年多 有好多嘅時間去預備
[00:02:26.840 --> 00:02:29.000]  因為Pastor Jim 同我講 邀請我嘅時間呢
[00:02:29.000 --> 00:02:31.320]  其實講緊係半年多以前
[00:02:31.320 --> 00:02:33.880]  但係一路呢都冇一個嘅方向
[00:02:33.880 --> 00:02:35.480]  至少兩三個禮拜之前呢
[00:02:35.480 --> 00:02:38.080]  開始有啲嘅眉目
[00:02:38.080 --> 00:02:40.040]  神彷彿呢同我講 佢話
[00:02:40.040 --> 00:02:45.520]  我 唔係 你哋地上面嘅爸爸
[00:02:45.520 --> 00:02:51.000]  我 係 你哋 天上面嘅爸爸
[00:02:51.000 --> 00:02:52.640]  係呀 原來呢好多時
[00:02:52.640 --> 00:02:56.800]  我哋都會將地上面爸爸嗰個嘅形象
[00:02:56.800 --> 00:03:00.360]  投射到呢位嘅天父嘅身上
[00:03:00.360 --> 00:03:02.160]  但係咁樣其實會扭曲咗
